time_ms,mode,pitch_deg,roll_deg,target_pitch,target_roll,control_pitch,control_roll,motor_pitch_pos,motor_roll_pos
2271,4,3.7,-170.83,0,0,0,0,0,0
2310,4,3.7,-170.83,0,0,0,0,0,0
2348,4,3.7,-170.83,0,0,0,0,0,0
2386,4,3.7,-170.83,0,0,0,0,0,0
2423,4,3.7,-170.83,0,0,0,0,0,0
2461,4,3.7,-170.83,0,0,0,0,0,0
2500,4,3.7,-170.83,0,0,0,0,0,0
2541,4,3.7,-170.83,0,0,0,0,0,0
2580,4,3.7,-170.83,0,0,0,0,0,0
2618,4,3.7,-170.83,0,0,0,0,0,0
2655,4,3.71,-170.83,0,0,0,0,0,0
2692,4,3.71,-170.83,0,0,0,0,0,0
2731,4,3.71,-170.83,0,0,0,0,0,0
2769,4,3.71,-170.83,0,0,0,0,0,0
2806,4,3.71,-170.83,0,0,0,0,0,0
2843,4,3.71,-170.83,0,0,0,0,0,0
2882,4,3.71,-170.83,0,0,0,0,0,0
2920,4,3.71,-170.83,0,0,0,0,0,0
2957,4,3.71,-170.83,0,0,0,0,0,0
2994,4,3.71,-170.83,0,0,0,0,0,0
3033,4,3.71,-170.83,0,0,0,0,0,0
3071,4,3.71,-170.83,0,0,0,0,0,0
3108,1,3.71,-170.83,0,0,0,0,0,0
3145,4,3.71,-170.83,0,0,0,0,0,0
3183,4,3.71,-170.83,0,0,0,0,0,0
3222,4,3.71,-170.83,0,0,0,0,0,0
3259,4,3.71,-170.83,0,0,0,0,0,0
3296,4,3.71,-170.83,0,0,0,0,0,0
3334,4,3.71,-170.83,0,0,0,0,0,0
3372,4,3.71,-170.83,0,0,0,0,0,0
3409,4,3.71,-170.83,0,0,0,0,0,0
3446,4,3.71,-170.83,0,0,0,0,0,0
3484,4,3.71,-170.83,0,0,0,0,0,0
3523,4,3.71,-170.83,0,0,0,0,0,0
3560,4,3.71,-170.79,0,0,0,0,0,0
3597,4,3.72,-170.76,0,0,0,0,0,0
3635,4,3.71,-170.8,0,0,0,0,0,0
3673,4,3.71,-170.8,0,0,0,0,0,0
3710,4,3.72,-170.8,0,0,0,0,0,0
3747,4,3.71,-170.81,0,0,0,0,0,0
3785,4,3.71,-170.8,0,0,0,0,0,0
3824,4,3.71,-170.79,0,0,0,0,0,0
3861,4,3.71,-170.81,0,0,0,0,0,0
3898,4,3.71,-170.81,0,0,0,0,0,0
3936,4,3.71,-170.81,0,0,0,0,0,0
3974,4,3.71,-170.81,0,0,0,0,0,0
4011,4,3.71,-170.81,0,0,0,0,0,0
4048,4,3.71,-170.81,0,0,0,0,0,0
4086,4,3.71,-170.81,0,0,0,0,0,0
4125,4,3.71,-170.81,0,0,0,0,0,0
4162,4,3.71,-170.81,0,0,0,0,0,0
4199,4,3.71,-170.81,0,0,0,0,0,0
4237,4,3.71,-170.81,0,0,0,0,0,0
4275,4,3.71,-170.81,0,0,0,0,0,0
4312,4,3.71,-170.81,0,0,0,0,0,0
4349,4,3.71,-170.83,0,0,0,0,0,0
4387,4,3.71,-170.83,0,0,0,0,0,0
4426,4,3.71,-170.83,0,0,0,0,0,0
4463,4,3.71,-170.83,0,0,0,0,0,0
4500,4,3.71,-170.83,0,0,0,0,0,0
4548,4,3.71,-170.83,0,0,0,0,0,0
4587,4,3.71,-170.83,0,0,0,0,0,0
4625,4,3.71,-170.83,0,0,0,0,0,0
4662,4,3.71,-170.85,0,0,0,0,0,0
4699,4,3.7,-170.92,0,0,0,0,0,0
4738,4,3.7,-170.98,0,0,0,0,0,0
4771,4,3.69,-171.06,21.24,26.16,-0.37,-0.04,0.36,0.46
4805,4,3.69,-171.18,21.28,26.2,-0.37,-0.04,0.37,0.46
4840,4,3.04,-171.21,21.44,26.19,-0.31,-0.04,0.37,0.46
4873,4,1.68,-171.42,21.58,26.24,-0.18,-0.04,0.37,0.46
4907,4,-0.37,-171.61,21.62,26.26,0.02,-0.04,0.38,0.46
4942,4,-1.48,-171.55,21.6,26.21,0.12,-0.04,0.38,0.46
4976,4,-1.66,-171.49,21.5,26.22,0.14,-0.04,0.38,0.46
5009,4,-1.02,-171.41,21.47,26.23,0.08,-0.04,0.38,0.46
5044,4,-0.42,-171.44,21.44,26.24,0.02,-0.04,0.37,0.46
5078,4,0.07,-171.75,21.47,26.28,-0.03,-0.04,0.37,0.46
5111,4,0.07,-171.97,21.48,26.33,-0.03,-0.04,0.37,0.46
5146,4,-0.08,-172.13,21.48,26.34,-0.01,-0.03,0.37,0.46
5179,4,-0.15,-172.38,21.48,26.37,0,-0.03,0.37,0.46
5213,4,-0.13,-172.58,21.48,26.4,-0.01,-0.03,0.37,0.46
5247,4,-0.16,-172.63,21.47,26.41,0,-0.03,0.37,0.46
5281,4,-0.11,-172.75,21.48,26.44,-0.01,-0.03,0.37,0.46
5314,4,-0.13,-172.98,21.48,26.48,-0.01,-0.03,0.37,0.46
5348,4,-0.16,-173.31,21.48,26.52,0,-0.02,0.37,0.46
5383,4,-0.12,-173.52,21.48,26.55,-0.01,-0.02,0.37,0.46
5416,4,-0.14,-173.76,21.48,26.6,-0.01,-0.02,0.37,0.46
5450,4,-0.15,-174.11,21.48,26.64,0,-0.01,0.37,0.46
5485,4,-0.15,-174.34,21.48,26.68,-0.01,-0.01,0.37,0.47
5518,4,-0.15,-174.69,21.48,26.72,0,-0.01,0.37,0.47
5553,4,-0.19,-174.96,21.47,26.77,0,-0.01,0.37,0.47
5587,4,-0.16,-175.19,21.48,26.79,0,0,0.37,0.47
5621,4,-0.15,-175.44,21.48,26.81,0,0,0.37,0.47
5656,4,-0.18,-175.58,21.47,26.84,0,0,0.37,0.47
5689,4,-0.16,-175.67,21.48,26.84,0,0,0.37,0.47
5724,4,-0.15,-175.7,21.47,26.84,0,0,0.37,0.47
5758,4,-0.17,-175.74,21.48,26.85,0,0,0.37,0.47
5792,4,-0.16,-175.76,21.47,26.85,0,0,0.37,0.47
5827,4,-0.15,-175.76,21.48,26.85,0,0,0.37,0.47
5860,4,-0.17,-175.8,21.47,26.85,0,0,0.37,0.47
5895,4,-0.19,-175.81,21.47,26.86,0,0,0.37,0.47
5929,4,-0.16,-175.8,21.48,26.86,0,0,0.37,0.47
5962,4,-0.17,-175.82,21.48,26.86,0,0,0.37,0.47
5997,4,-0.17,-175.81,21.47,26.86,0,0,0.37,0.47
6031,4,-0.14,-175.9,21.48,26.87,-0.01,0.01,0.37,0.47
6064,4,-0.15,-175.95,21.48,26.88,0,0.01,0.37,0.47
6099,4,-0.16,-175.94,21.48,26.88,0,0.01,0.37,0.47
6132,4,-0.14,-176,21.48,26.89,-0.01,0.01,0.37,0.47
6166,4,-0.15,-176.03,21.48,26.89,-0.01,0.01,0.37,0.47
6200,4,-0.16,-176.05,21.47,26.89,0,0.01,0.37,0.47
6246,4,-0.13,-176.06,21.48,26.89,-0.01,0.01,0.37,0.47
6280,4,-0.15,-176.08,21.48,26.89,0,0.01,0.37,0.47
6313,4,-0.15,-176.07,21.48,26.89,-0.01,0.01,0.37,0.47
6348,4,-0.12,-176.07,21.48,26.9,-0.01,0.01,0.37,0.47
6382,4,-0.11,-176.11,21.49,26.89,-0.01,0.01,0.37,0.47
6415,4,-0.12,-176.11,21.48,26.9,-0.01,0.01,0.37,0.47
6450,4,-0.11,-176.11,21.48,26.9,-0.01,0.01,0.37,0.47
6483,4,-0.11,-176.14,21.48,26.91,-0.01,0.01,0.37,0.47
6517,4,-0.12,-176.15,21.48,26.91,-0.01,0.01,0.37,0.47
6551,4,-0.12,-176.16,21.48,26.91,-0.01,0.01,0.37,0.47
6584,4,-0.11,-176.16,21.49,26.9,-0.01,0.01,0.37,0.47
6618,4,-0.11,-176.16,21.48,26.91,-0.01,0.01,0.37,0.47
6651,4,-0.11,-176.16,21.48,26.91,-0.01,0.01,0.37,0.47
6685,4,-0.1,-176.17,21.49,26.91,-0.01,0.01,0.37,0.47
6718,4,-0.11,-176.18,21.48,26.91,-0.01,0.01,0.37,0.47
6752,4,-0.1,-176.18,21.48,26.91,-0.01,0.01,0.37,0.47
6786,4,-0.09,-176.2,21.49,26.91,-0.01,0.01,0.37,0.47
6820,4,-0.09,-176.2,21.48,26.91,-0.01,0.01,0.37,0.47
6854,4,-0.09,-176.2,21.49,26.91,-0.01,0.01,0.37,0.47
6889,4,-0.09,-176.2,21.49,26.92,-0.01,0.01,0.37,0.47
6922,4,-0.09,-176.2,21.49,26.91,-0.01,0.01,0.37,0.47
6956,4,-0.09,-176.2,21.48,26.92,-0.01,0.01,0.37,0.47
6990,4,-0.09,-176.21,21.48,26.91,-0.01,0.01,0.37,0.47
7024,4,-0.09,-176.21,21.48,26.91,-0.01,0.01,0.37,0.47
7059,4,-0.09,-176.21,21.49,26.92,-0.01,0.01,0.37,0.47
7093,4,-0.09,-176.21,21.48,26.92,-0.01,0.01,0.37,0.47
7163,4,-0.09,-176.21,21.48,26.92,-0.01,0.01,0.37,0.47
7196,4,-0.08,-176.21,21.48,26.92,-0.01,0.01,0.37,0.47
7231,4,-0.08,-176.21,21.49,26.92,-0.01,0.01,0.37,0.47
7265,4,-0.08,-176.21,21.49,26.92,-0.01,0.01,0.37,0.47
7309,4,-0.08,-176.21,21.48,26.92,-0.01,0.01,0.37,0.47
7343,4,-0.08,-176.21,21.48,26.93,-0.01,0.01,0.37,0.47
7377,4,-0.08,-176.21,21.49,26.92,-0.01,0.01,0.37,0.47
7453,4,-0.08,-176.25,21.49,26.92,-0.01,0.01,0.37,0.47
7487,4,-0.08,-176.25,21.48,26.93,-0.01,0.01,0.37,0.47
7520,4,-0.08,-176.25,21.48,26.92,-0.01,0.01,0.37,0.47
