time_ms,mode,pitch_deg,roll_deg,target_pitch,target_roll,control_pitch,control_roll,motor_pitch_pos,motor_roll_pos
4913,4,4.03,-175.6,20.7,-27.19,-0.08,0.02,0.36,-0.47
4932,4,4.02,-175.58,20.7,-27.18,-0.08,0.02,0.36,-0.47
4954,4,4.01,-175.56,20.71,-27.2,-0.08,0.02,0.36,-0.47
4976,4,3.97,-175.56,20.72,-27.17,-0.08,0.02,0.36,-0.47
4997,4,3.89,-175.58,20.74,-27.19,-0.08,0.02,0.36,-0.47
5020,4,3.8,-175.36,20.75,-27.25,-0.08,0.01,0.36,-0.48
5039,4,3.7,-175.11,20.77,-27.26,-0.08,0.01,0.36,-0.48
5062,4,3.58,-175.11,20.79,-27.23,-0.08,0,0.36,-0.48
5082,4,3.45,-175.27,20.81,-27.22,-0.07,0.01,0.36,-0.47
5101,4,3.32,-175.34,20.82,-27.22,-0.07,0.01,0.36,-0.47
5123,4,3.19,-175.24,20.84,-27.24,-0.07,0.01,0.36,-0.48
5144,4,3.01,-175.11,20.86,-27.23,-0.06,0,0.36,-0.48
5166,4,2.89,-175.18,20.88,-27.25,-0.06,0,0.36,-0.48
5187,4,2.75,-175.2,20.9,-27.31,-0.06,0,0.36,-0.48
5210,4,2.6,-174.91,20.93,-27.37,-0.06,0,0.36,-0.48
5229,4,2.47,-174.6,20.93,-27.37,-0.05,-0.01,0.36,-0.48
5248,4,2.38,-174.41,20.94,-27.35,-0.05,-0.01,0.36,-0.48
5272,4,2.37,-174.38,20.94,-27.32,-0.05,-0.01,0.36,-0.48
5291,4,2.39,-174.58,20.93,-27.3,-0.05,-0.01,0.36,-0.48
5313,4,2.4,-174.83,20.94,-27.3,-0.05,-0.01,0.36,-0.48
5333,4,2.37,-175.04,20.94,-27.28,-0.05,0,0.36,-0.48
5353,4,2.36,-175.23,20.93,-27.25,-0.05,0,0.36,-0.48
5374,4,2.35,-175.5,20.94,-27.23,-0.05,0.01,0.36,-0.48
5396,4,2.35,-175.66,20.94,-27.21,-0.05,0.01,0.36,-0.47
5419,4,2.35,-175.75,20.94,-27.21,-0.05,0.01,0.36,-0.47
5438,4,2.34,-175.8,20.94,-27.21,-0.05,0.01,0.36,-0.47
5458,4,2.33,-175.79,20.94,-27.22,-0.05,0.01,0.36,-0.47
5481,4,2.33,-175.75,20.94,-27.22,-0.05,0.01,0.36,-0.47
5500,4,2.33,-175.76,20.94,-27.22,-0.05,0.01,0.36,-0.47
5521,4,2.35,-175.83,20.94,-27.21,-0.05,0.01,0.36,-0.47
5540,4,2.35,-175.93,20.94,-27.21,-0.05,0.01,0.36,-0.47
5563,4,2.35,-175.95,20.94,-27.22,-0.05,0.01,0.36,-0.47
5583,4,2.35,-175.93,20.94,-27.22,-0.05,0.01,0.36,-0.47
5603,4,2.37,-175.91,20.94,-27.23,-0.05,0.01,0.36,-0.48
5623,4,2.36,-175.92,20.95,-27.24,-0.05,0.01,0.36,-0.48
5642,4,2.33,-175.91,20.94,-27.24,-0.05,0.01,0.36,-0.48
5664,4,2.32,-175.88,20.94,-27.25,-0.05,0.01,0.36,-0.48
5684,4,2.31,-175.83,20.94,-27.25,-0.05,0.01,0.36,-0.48
5702,4,2.31,-175.76,20.95,-27.26,-0.05,0.01,0.36,-0.48
5725,4,2.31,-175.76,20.95,-27.26,-0.05,0.01,0.36,-0.48
5746,4,2.31,-175.78,20.95,-27.27,-0.05,0.01,0.36,-0.48
5768,4,2.29,-175.77,20.95,-27.27,-0.05,0.01,0.36,-0.48
5787,4,2.28,-175.75,20.95,-27.27,-0.05,0.01,0.36,-0.48
5809,4,2.27,-175.71,20.95,-27.3,-0.05,0.01,0.36,-0.48
5829,4,2.27,-175.58,20.95,-27.32,-0.05,0.01,0.36,-0.48
5848,4,2.27,-175.4,20.95,-27.35,-0.05,0,0.36,-0.48
5871,4,2.29,-175.23,20.95,-27.37,-0.05,0,0.36,-0.48
5890,4,2.28,-175.1,20.95,-27.38,-0.05,0,0.36,-0.48
5913,4,2.26,-174.96,20.95,-27.42,-0.05,-0.01,0.36,-0.48
5933,4,2.26,-174.79,20.95,-27.43,-0.05,-0.01,0.36,-0.48
5952,4,2.26,-174.62,20.95,-27.46,-0.05,-0.01,0.36,-0.48
5975,4,2.26,-174.46,20.95,-27.48,-0.05,-0.02,0.36,-0.48
5994,4,2.26,-174.33,20.96,-27.49,-0.05,-0.02,0.36,-0.48
6016,4,2.26,-174.21,20.96,-27.51,-0.05,-0.02,0.36,-0.48
6037,4,2.26,-174.11,20.96,-27.52,-0.05,-0.03,0.36,-0.48
6059,4,2.26,-173.98,20.95,-27.54,-0.05,-0.03,0.36,-0.48
6078,4,2.26,-173.84,20.95,-27.56,-0.05,-0.03,0.36,-0.48
6100,4,2.26,-173.7,20.95,-27.58,-0.05,-0.03,0.36,-0.48
