time_ms,mode,pitch_deg,roll_deg,target_pitch,target_roll,control_pitch,control_roll,motor_pitch_pos,motor_roll_pos
1884,4,-0.32,-169.82,0.00,0.00,0.00,0.00,0.00,0.00
1909,4,-0.32,-169.82,0.00,0.00,0.00,0.00,0.00,0.00
1934,4,-0.32,-169.82,0.00,0.00,0.00,0.00,0.00,0.00
1959,4,-0.32,-169.82,0.00,0.00,0.00,0.00,0.00,0.00
1984,4,-0.32,-169.82,0.00,0.00,0.00,0.00,0.00,0.00
2008,4,-0.32,-169.83,0.00,0.00,0.00,0.00,0.00,0.00
2034,4,-0.32,-169.84,0.00,0.00,0.00,0.00,0.00,0.00
2058,4,-0.33,-169.84,0.00,0.00,0.00,0.00,0.00,0.00
2082,4,-0.32,-169.82,0.00,0.00,0.00,0.00,0.00,0.00
2107,4,-0.32,-169.79,0.00,0.00,0.00,0.00,0.00,0.00
2132,4,-0.33,-169.81,0.00,0.00,0.00,0.00,0.00,0.00
2157,4,-0.33,-169.84,0.00,0.00,0.00,0.00,0.00,0.00
2182,4,-0.33,-169.86,0.00,0.00,0.00,0.00,0.00,0.00
2207,4,-0.33,-169.86,0.00,0.00,0.00,0.00,0.00,0.00
2232,4,-0.33,-169.83,0.00,0.00,0.00,0.00,0.00,0.00
2257,4,-0.33,-169.83,0.00,0.00,0.00,0.00,0.00,0.00
2282,4,-0.33,-169.84,0.00,0.00,0.00,0.00,0.00,0.00
2307,4,-0.33,-169.84,0.00,0.00,0.00,0.00,0.00,0.00
2332,4,-0.33,-169.84,0.00,0.00,0.00,0.00,0.00,0.00
2357,4,-0.33,-169.86,0.00,0.00,0.00,0.00,0.00,0.00
2381,4,-0.33,-169.89,0.00,0.00,0.00,0.00,0.00,0.00
2406,4,-0.33,-169.89,0.00,0.00,0.00,0.00,0.00,0.00
2431,4,-0.33,-169.87,0.00,0.00,0.00,0.00,0.00,0.00
2456,4,-0.33,-169.87,0.00,0.00,0.00,0.00,0.00,0.00
2480,4,-0.33,-169.89,0.00,0.00,0.00,0.00,0.00,0.00
2506,4,-0.33,-169.91,0.00,0.00,0.00,0.00,0.00,0.00
2530,4,-0.33,-169.93,0.00,0.00,0.00,0.00,0.00,0.00
2555,4,-0.34,-169.91,0.00,0.00,0.00,0.00,0.00,0.00
2579,4,-0.34,-169.91,0.00,0.00,0.00,0.00,0.00,0.00
2605,4,-0.34,-169.92,0.00,0.00,0.00,0.00,0.00,0.00
2629,4,-0.34,-169.93,0.00,0.00,0.00,0.00,0.00,0.00
2654,4,-0.34,-169.93,0.00,0.00,0.00,0.00,0.00,0.00
2679,4,-0.34,-169.93,0.00,0.00,0.00,0.00,0.00,0.00
2703,4,-0.34,-169.93,0.00,0.00,0.00,0.00,0.00,0.00
2727,4,-0.34,-169.93,0.00,0.00,0.00,0.00,0.00,0.00
2752,4,-0.34,-169.93,0.00,0.00,0.00,0.00,0.00,0.00
2776,4,-0.35,-169.93,0.00,0.00,0.00,0.00,0.00,0.00
2800,4,-0.35,-169.93,0.00,0.00,0.00,0.00,0.00,0.00
2825,4,-0.35,-169.94,0.00,0.00,0.00,0.00,0.00,0.00
2850,4,-0.35,-169.96,0.00,0.00,0.00,0.00,0.00,0.00
2874,4,-0.35,-169.96,0.00,0.00,0.00,0.00,0.00,0.00
2899,4,-0.35,-169.96,0.00,0.00,0.00,0.00,0.00,0.00
2923,4,-0.35,-169.96,0.00,0.00,0.00,0.00,0.00,0.00
2949,4,-0.35,-169.96,0.00,0.00,0.00,0.00,0.00,0.00
2973,4,-0.35,-169.97,0.00,0.00,0.00,0.00,0.00,0.00
2998,4,-0.35,-169.97,0.00,0.00,0.00,0.00,0.00,0.00
3022,4,-0.35,-169.97,0.00,0.00,0.00,0.00,0.00,0.00
3048,4,-0.35,-169.97,0.00,0.00,0.00,0.00,0.00,0.00
3072,4,-0.35,-169.97,0.00,0.00,0.00,0.00,0.00,0.00
3097,4,-0.35,-169.98,0.00,0.00,0.00,0.00,0.00,0.00
3121,4,-0.35,-169.99,0.00,0.00,0.00,0.00,0.00,0.00
3147,4,-0.34,-170.00,0.00,0.00,0.00,0.00,0.00,0.00
3171,4,-0.35,-169.99,0.00,0.00,0.00,0.00,0.00,0.00
3196,4,-0.35,-169.97,0.00,0.00,0.00,0.00,0.00,0.00
3221,4,-0.35,-169.98,0.00,0.00,0.00,0.00,0.00,0.00
3246,4,-0.34,-170.00,0.00,0.00,0.00,0.00,0.00,0.00
3271,4,-0.34,-170.00,0.00,0.00,0.00,0.00,0.00,0.00
3296,4,-0.34,-170.00,0.00,0.00,0.00,0.00,0.00,0.00
3321,4,-0.34,-170.01,0.00,0.00,0.00,0.00,0.00,0.00
3347,4,-0.34,-170.01,0.00,0.00,0.00,0.00,0.00,0.00
3371,4,-0.34,-170.01,0.00,0.00,0.00,0.00,0.00,0.00
3397,4,-0.34,-170.01,0.00,0.00,0.00,0.00,0.00,0.00
3421,4,-0.34,-170.01,0.00,0.00,0.00,0.00,0.00,0.00
3447,4,-0.34,-170.03,0.00,0.00,0.00,0.00,0.00,0.00
3472,4,-0.35,-170.06,0.00,0.00,0.00,0.00,0.00,0.00
3497,4,-0.33,-170.15,0.00,0.00,0.00,0.00,0.00,0.00
3522,4,-0.33,-170.75,0.00,0.00,0.00,0.00,0.00,0.00
3547,4,-0.43,-171.54,0.00,0.00,0.00,0.00,0.00,0.00
3572,4,-0.47,-171.39,0.00,0.00,0.00,0.00,0.00,0.00
3597,4,-0.45,-170.66,0.00,0.00,0.00,0.00,0.00,0.00
3622,4,-0.43,-170.33,0.00,0.00,0.00,0.00,0.00,0.00
3648,4,-0.47,-170.35,0.00,0.00,0.00,0.00,0.00,0.00
3672,4,-0.52,-170.76,0.00,0.00,0.00,0.00,0.00,0.00
3698,4,-0.62,-171.20,0.00,0.00,0.00,0.00,0.00,0.00
3722,4,-0.63,-171.06,0.00,0.00,0.00,0.00,0.00,0.00
3748,4,-0.58,-170.86,0.00,0.00,0.00,0.00,0.00,0.00
3773,4,-0.55,-170.79,0.00,0.00,0.00,0.00,0.00,0.00
3798,4,-0.57,-170.92,0.00,0.00,0.00,0.00,0.00,0.00
3823,4,-0.58,-171.06,0.00,0.00,0.00,0.00,0.00,0.00
3848,4,-0.58,-171.06,0.00,0.00,0.00,0.00,0.00,0.00
3873,4,-0.59,-170.89,0.00,0.00,0.00,0.00,0.00,0.00
3898,4,-0.55,-170.54,0.00,0.00,0.00,0.00,0.00,0.00
3923,4,-0.55,-170.30,0.00,0.00,0.00,0.00,0.00,0.00
3949,4,-0.55,-169.80,0.00,0.00,0.00,0.00,0.00,0.00
3973,4,-0.54,-169.27,0.00,0.00,0.00,0.00,0.00,0.00
3999,4,-0.53,-168.15,0.00,0.00,0.00,0.00,0.00,0.00
4069,4,-0.50,-166.29,0.00,0.00,0.00,0.00,0.00,0.00
4074,4,-0.50,-166.27,21.44,-28.42,0.01,-0.14,0.37,-0.50
4094,4,-0.52,-166.36,21.45,-28.41,0.01,-0.14,0.37,-0.50
4115,4,-0.57,-166.41,21.44,-28.38,0.01,-0.14,0.37,-0.50
4137,4,-0.53,-166.42,21.45,-28.37,0.01,-0.15,0.37,-0.50
4160,4,-0.49,-166.58,21.45,-28.28,0.01,-0.14,0.37,-0.50
4178,4,-0.54,-166.78,21.44,-28.23,0.01,-0.14,0.37,-0.50
4202,4,-0.53,-166.86,21.43,-28.22,0.01,-0.14,0.37,-0.49
4222,4,-0.43,-167.09,21.42,-28.16,0.00,-0.14,0.37,-0.49
4241,4,-0.35,-167.63,21.42,-28.14,0.00,-0.13,0.37,-0.49
4263,4,-0.35,-168.28,21.43,-28.05,0.00,-0.12,0.37,-0.49
4282,4,-0.45,-168.74,21.44,-28.02,0.01,-0.11,0.37,-0.49
4304,4,-0.53,-168.80,21.43,-28.02,0.01,-0.11,0.37,-0.49
4326,4,-0.47,-168.85,21.43,-27.94,0.01,-0.11,0.37,-0.49
4347,4,-0.43,-169.16,21.44,-27.88,0.00,-0.10,0.37,-0.49
4366,4,-0.47,-169.70,21.44,-27.80,0.01,-0.09,0.37,-0.49
4388,4,-0.54,-170.31,21.44,-27.76,0.01,-0.08,0.37,-0.49
4411,4,-0.56,-170.85,21.44,-27.69,0.01,-0.07,0.37,-0.48
4430,4,-0.52,-171.07,21.44,-27.67,0.01,-0.07,0.37,-0.48
4453,4,-0.53,-171.22,21.44,-27.64,0.01,-0.07,0.37,-0.48
4473,4,-0.57,-171.44,21.44,-27.60,0.01,-0.06,0.37,-0.48
4492,4,-0.59,-171.68,21.44,-27.60,0.01,-0.06,0.37,-0.48
4514,4,-0.56,-171.91,21.44,-27.56,0.01,-0.05,0.37,-0.48
4534,4,-0.55,-172.08,21.44,-27.56,0.01,-0.05,0.37,-0.48
4554,4,-0.57,-172.11,21.44,-27.57,0.01,-0.05,0.37,-0.48
4575,4,-0.55,-171.99,21.44,-27.59,0.01,-0.06,0.37,-0.48
4595,4,-0.53,-171.77,21.44,-27.64,0.01,-0.06,0.37,-0.48
4615,4,-0.55,-171.50,21.44,-27.68,0.01,-0.07,0.37,-0.48
4634,4,-0.56,-171.23,21.44,-27.71,0.01,-0.07,0.37,-0.48
4654,4,-0.53,-170.98,21.44,-27.73,0.01,-0.08,0.37,-0.49
4675,4,-0.52,-170.78,21.44,-27.75,0.01,-0.08,0.37,-0.49
4695,4,-0.53,-170.62,21.44,-27.77,0.01,-0.09,0.37,-0.49
4715,4,-0.54,-170.50,21.44,-27.79,0.01,-0.09,0.37,-0.49
4734,4,-0.53,-170.38,21.44,-27.79,0.01,-0.09,0.37,-0.49
4756,4,-0.51,-170.19,21.44,-27.84,0.01,-0.10,0.37,-0.49
4777,4,-0.51,-170.12,21.44,-27.81,0.01,-0.10,0.37,-0.49
4800,4,-0.51,-170.09,21.44,-27.81,0.01,-0.10,0.37,-0.49
4823,4,-0.51,-170.12,21.44,-27.81,0.01,-0.10,0.37,-0.49
4843,4,-0.51,-170.14,21.43,-27.83,0.01,-0.10,0.37,-0.49
4863,4,-0.51,-170.16,21.44,-27.81,0.01,-0.10,0.37,-0.49
4882,4,-0.51,-170.12,21.44,-27.80,0.01,-0.10,0.37,-0.49
4902,4,-0.51,-170.11,21.44,-27.80,0.01,-0.10,0.37,-0.49
4923,4,-0.51,-170.17,21.44,-27.78,0.01,-0.10,0.37,-0.49
4941,4,-0.51,-170.29,21.44,-27.80,0.01,-0.10,0.37,-0.49
4964,4,-0.51,-170.40,21.44,-27.75,0.01,-0.09,0.37,-0.49
4983,4,-0.51,-170.40,21.44,-27.77,0.01,-0.09,0.37,-0.49
5006,4,-0.50,-170.33,21.44,-27.82,0.01,-0.10,0.37,-0.49
5026,4,-0.51,-170.26,21.44,-27.81,0.01,-0.10,0.37,-0.49
5046,4,-0.51,-170.25,21.44,-27.84,0.01,-0.10,0.37,-0.49
5066,4,-0.53,-170.22,21.44,-27.84,0.01,-0.10,0.37,-0.49
5085,4,-0.51,-170.17,21.44,-27.82,0.01,-0.10,0.37,-0.49
5107,4,-0.49,-170.02,21.44,-27.85,0.01,-0.10,0.37,-0.49
5128,4,-0.49,-169.96,21.44,-27.83,0.01,-0.11,0.37,-0.49
5150,4,-0.49,-169.96,21.44,-27.81,0.01,-0.11,0.37,-0.49
5173,4,-0.50,-170.02,21.44,-27.83,0.01,-0.10,0.37,-0.49
5192,4,-0.49,-170.14,21.44,-27.80,0.01,-0.10,0.37,-0.49
5215,4,-0.49,-170.26,21.44,-27.77,0.01,-0.10,0.37,-0.49
5234,4,-0.50,-170.32,21.44,-27.78,0.01,-0.10,0.37,-0.49
5256,4,-0.50,-170.30,21.44,-27.81,0.01,-0.10,0.37,-0.49
5276,4,-0.51,-170.29,21.44,-27.80,0.01,-0.10,0.37,-0.49
5295,4,-0.53,-170.27,21.44,-27.82,0.01,-0.10,0.37,-0.49
5317,4,-0.53,-170.19,21.44,-27.79,0.01,-0.10,0.37,-0.49
5338,4,-0.51,-170.07,21.44,-27.84,0.01,-0.10,0.37,-0.49
5360,4,-0.51,-170.04,21.44,-27.82,0.01,-0.11,0.37,-0.49
5381,4,-0.51,-170.04,21.44,-27.79,0.01,-0.11,0.37,-0.49
5405,4,-0.51,-170.05,21.44,-27.82,0.01,-0.11,0.37,-0.49
5425,4,-0.50,-170.06,21.44,-27.80,0.01,-0.11,0.37,-0.49
5443,4,-0.50,-170.16,21.44,-27.82,0.01,-0.10,0.37,-0.49
5466,4,-0.52,-170.22,21.44,-27.77,0.01,-0.10,0.37,-0.49
5484,4,-0.53,-170.23,21.44,-27.77,0.01,-0.10,0.37,-0.49
5507,4,-0.53,-170.22,21.44,-27.80,0.01,-0.10,0.37,-0.49
5526,4,-0.53,-170.21,21.44,-27.78,0.01,-0.10,0.37,-0.49
5546,4,-0.55,-170.25,21.44,-27.80,0.01,-0.10,0.37,-0.49
5568,4,-0.55,-170.24,21.44,-27.76,0.01,-0.10,0.37,-0.49
5587,4,-0.56,-170.19,21.44,-27.77,0.01,-0.10,0.37,-0.49
5609,4,-0.56,-170.15,21.44,-27.81,0.01,-0.10,0.37,-0.49
5630,4,-0.56,-170.18,21.44,-27.77,0.01,-0.10,0.37,-0.49
5652,4,-0.56,-170.21,21.44,-27.77,0.01,-0.10,0.37,-0.49
5675,4,-0.56,-170.21,21.44,-27.81,0.01,-0.10,0.37,-0.49
5695,4,-0.56,-170.20,21.44,-27.81,0.01,-0.10,0.37,-0.49
5715,4,-0.57,-170.21,21.44,-27.82,0.01,-0.10,0.37,-0.49
5733,4,-0.57,-170.18,21.44,-27.80,0.01,-0.10,0.37,-0.49
5756,4,-0.57,-170.12,21.44,-27.81,0.01,-0.11,0.37,-0.49
5776,4,-0.56,-170.06,21.44,-27.79,0.01,-0.11,0.37,-0.49
5796,4,-0.57,-170.04,21.44,-27.80,0.01,-0.11,0.37,-0.49
5816,4,-0.58,-170.04,21.44,-27.83,0.01,-0.11,0.37,-0.49
5835,4,-0.58,-170.08,21.44,-27.81,0.01,-0.11,0.37,-0.49
5857,4,-0.59,-170.10,21.44,-27.80,0.01,-0.11,0.37,-0.49
5877,4,-0.60,-170.08,21.44,-27.78,0.01,-0.11,0.37,-0.49
5896,4,-0.60,-170.05,21.44,-27.79,0.01,-0.11,0.37,-0.49
5917,4,-0.58,-170.04,21.44,-27.80,0.01,-0.11,0.37,-0.49
5936,4,-0.59,-170.08,21.44,-27.82,0.01,-0.11,0.37,-0.49
5959,4,-0.60,-170.12,21.44,-27.78,0.01,-0.11,0.37,-0.49
5979,4,-0.60,-170.10,21.44,-27.77,0.01,-0.11,0.37,-0.49
5999,4,-0.60,-170.06,21.44,-27.77,0.01,-0.11,0.37,-0.49
6019,4,-0.60,-170.09,21.44,-27.78,0.01,-0.11,0.37,-0.49
6038,4,-0.59,-170.19,21.44,-27.78,0.01,-0.10,0.37,-0.49
6060,4,-0.60,-170.34,21.44,-27.75,0.01,-0.10,0.37,-0.49
6081,4,-0.60,-170.33,21.43,-27.80,0.01,-0.10,0.37,-0.49
6104,4,-0.60,-170.29,21.44,-27.77,0.01,-0.10,0.37,-0.49
6123,4,-0.61,-170.25,21.44,-27.80,0.01,-0.10,0.37,-0.49
