time_ms,mode,pitch_deg,roll_deg,target_pitch,target_roll,control_pitch,control_roll,motor_pitch_pos,motor_roll_pos
4315,3,-0.31,-173.37,21.37,27.43,0.01,-0.13,0.37,0.48
4334,3,-0.31,-173.79,21.37,27.48,0.01,-0.11,0.37,0.48
4357,3,-0.37,-174.42,21.37,27.54,0.01,-0.07,0.37,0.48
4377,3,-0.38,-175,21.37,27.55,0.01,-0.03,0.37,0.48
4395,3,-0.37,-175.27,21.37,27.57,0.01,-0.01,0.37,0.48
4418,3,-0.42,-175.17,21.36,27.57,0.02,-0.02,0.37,0.48
4436,3,-0.39,-174.94,21.37,27.56,0.02,-0.03,0.37,0.48
4459,3,-0.34,-174.92,21.37,27.55,0.01,-0.03,0.37,0.48
4479,3,-0.32,-175.2,21.37,27.54,0.01,-0.02,0.37,0.48
4498,3,-0.35,-175.51,21.37,27.55,0.01,0,0.37,0.48
4520,3,-0.42,-175.55,21.37,27.54,0.02,0.01,0.37,0.48
4541,3,-0.41,-175.03,21.36,27.52,0.02,-0.03,0.37,0.48
4563,3,-0.35,-174.7,21.37,27.51,0.01,-0.05,0.37,0.48
4584,3,-0.37,-174.65,21.38,27.51,0.01,-0.05,0.37,0.48
4607,3,-0.47,-174.81,21.38,27.52,0.02,-0.04,0.37,0.48
4627,3,-0.52,-174.98,21.37,27.53,0.03,-0.03,0.37,0.48
4646,3,-0.49,-175.05,21.37,27.55,0.02,-0.03,0.37,0.48
4666,3,-0.41,-175.09,21.37,27.56,0.02,-0.02,0.37,0.48
4685,3,-0.37,-175.14,21.37,27.55,0.01,-0.02,0.37,0.48
4709,3,-0.38,-175.22,21.37,27.54,0.01,-0.01,0.37,0.48
4729,3,-0.42,-175.25,21.37,27.53,0.02,-0.01,0.37,0.48
4747,3,-0.42,-175.22,21.36,27.52,0.02,-0.01,0.37,0.48
4770,3,-0.39,-175.09,21.37,27.5,0.02,-0.02,0.37,0.48
4789,3,-0.4,-174.9,21.37,27.49,0.02,-0.04,0.37,0.48
4811,3,-0.43,-174.68,21.37,27.47,0.02,-0.05,0.37,0.48
4833,3,-0.4,-174.42,21.36,27.49,0.02,-0.07,0.37,0.48
4854,3,-0.39,-174.36,21.37,27.49,0.02,-0.07,0.37,0.48
4873,3,-0.42,-174.42,21.37,27.51,0.02,-0.07,0.37,0.48
4895,3,-0.42,-174.56,21.37,27.53,0.02,-0.06,0.37,0.48
4914,3,-0.4,-174.69,21.37,27.53,0.02,-0.05,0.37,0.48
4936,3,-0.41,-174.74,21.37,27.53,0.02,-0.05,0.37,0.48
4957,3,-0.42,-174.75,21.37,27.52,0.02,-0.05,0.37,0.48
4977,3,-0.4,-174.73,21.37,27.52,0.02,-0.05,0.37,0.48
4997,3,-0.38,-174.73,21.37,27.52,0.01,-0.05,0.37,0.48
5016,3,-0.42,-174.72,21.37,27.51,0.02,-0.05,0.37,0.48
5035,3,-0.43,-174.7,21.37,27.51,0.02,-0.05,0.37,0.48
5058,3,-0.4,-174.67,21.37,27.51,0.02,-0.05,0.37,0.48
5078,3,-0.38,-174.63,21.37,27.51,0.01,-0.05,0.37,0.48
5098,3,-0.39,-174.62,21.37,27.51,0.02,-0.05,0.37,0.48
5118,3,-0.4,-174.63,21.37,27.52,0.02,-0.05,0.37,0.48
5136,3,-0.4,-174.67,21.37,27.52,0.02,-0.05,0.37,0.48
5159,3,-0.4,-174.7,21.37,27.52,0.02,-0.05,0.37,0.48
5179,3,-0.4,-174.7,21.37,27.52,0.02,-0.05,0.37,0.48
5199,3,-0.39,-174.68,21.37,27.52,0.02,-0.05,0.37,0.48
5219,3,-0.38,-174.66,21.37,27.51,0.01,-0.05,0.37,0.48
5238,3,-0.4,-174.65,21.37,27.52,0.02,-0.05,0.37,0.48
5260,3,-0.4,-174.67,21.37,27.52,0.02,-0.05,0.37,0.48
5281,3,-0.4,-174.68,21.37,27.52,0.02,-0.05,0.37,0.48
5301,3,-0.4,-174.67,21.37,27.52,0.02,-0.05,0.37,0.48
5321,3,-0.4,-174.66,21.37,27.52,0.02,-0.05,0.37,0.48
5341,3,-0.4,-174.65,21.37,27.52,0.02,-0.05,0.37,0.48
5360,3,-0.4,-174.64,21.37,27.52,0.02,-0.05,0.37,0.48
5381,3,-0.4,-174.64,21.37,27.52,0.02,-0.05,0.37,0.48
5401,3,-0.41,-174.66,21.37,27.52,0.02,-0.05,0.37,0.48
5421,3,-0.4,-174.65,21.37,27.52,0.02,-0.05,0.37,0.48
5439,3,-0.4,-174.64,21.37,27.52,0.02,-0.05,0.37,0.48
5462,3,-0.41,-174.61,21.37,27.52,0.02,-0.05,0.37,0.48
5483,3,-0.41,-174.6,21.37,27.52,0.02,-0.05,0.37,0.48
5501,3,-0.41,-174.63,21.37,27.53,0.02,-0.05,0.37,0.48
5523,3,-0.41,-174.64,21.37,27.53,0.02,-0.05,0.37,0.48
5545,3,-0.41,-174.66,21.37,27.53,0.02,-0.05,0.37,0.48
5566,3,-0.41,-174.66,21.37,27.52,0.02,-0.05,0.37,0.48
5585,3,-0.41,-174.62,21.37,27.52,0.02,-0.05,0.37,0.48
5607,3,-0.41,-174.6,21.37,27.53,0.02,-0.05,0.37,0.48
5630,3,-0.41,-174.61,21.37,27.53,0.02,-0.05,0.37,0.48
5650,3,-0.41,-174.62,21.37,27.53,0.02,-0.05,0.37,0.48
5669,3,-0.41,-174.63,21.37,27.53,0.02,-0.05,0.37,0.48
5688,3,-0.41,-174.63,21.37,27.53,0.02,-0.05,0.37,0.48
5711,3,-0.42,-174.62,21.37,27.53,0.02,-0.05,0.37,0.48
5731,3,-0.42,-174.62,21.37,27.52,0.02,-0.05,0.37,0.48
5751,3,-0.41,-174.61,21.37,27.53,0.02,-0.05,0.37,0.48
5771,3,-0.41,-174.6,21.37,27.53,0.02,-0.05,0.37,0.48
5790,3,-0.42,-174.6,21.37,27.53,0.02,-0.05,0.37,0.48
5813,3,-0.42,-174.6,21.37,27.53,0.02,-0.05,0.37,0.48
5833,3,-0.42,-174.61,21.36,27.53,0.02,-0.05,0.37,0.48
5853,3,-0.42,-174.61,21.37,27.53,0.02,-0.05,0.37,0.48
5873,3,-0.42,-174.6,21.37,27.53,0.02,-0.05,0.37,0.48
5891,3,-0.42,-174.6,21.37,27.53,0.02,-0.05,0.37,0.48
5914,3,-0.42,-174.59,21.37,27.54,0.02,-0.06,0.37,0.48
5934,3,-0.42,-174.59,21.37,27.54,0.02,-0.06,0.37,0.48
5954,3,-0.42,-174.59,21.37,27.54,0.02,-0.06,0.37,0.48
5974,3,-0.42,-174.58,21.37,27.54,0.02,-0.06,0.37,0.48
5994,3,-0.42,-174.6,21.37,27.54,0.02,-0.05,0.37,0.48
6014,3,-0.42,-174.61,21.37,27.54,0.02,-0.05,0.37,0.48
6034,3,-0.42,-174.6,21.37,27.54,0.02,-0.05,0.37,0.48
6054,3,-0.43,-174.58,21.37,27.54,0.02,-0.06,0.37,0.48
6074,3,-0.43,-174.58,21.37,27.54,0.02,-0.06,0.37,0.48
6093,3,-0.42,-174.57,21.37,27.54,0.02,-0.06,0.37,0.48
6113,3,-0.42,-174.57,21.37,27.55,0.02,-0.06,0.37,0.48
6134,3,-0.42,-174.57,21.37,27.54,0.02,-0.06,0.37,0.48
6153,3,-0.43,-174.58,21.36,27.55,0.02,-0.06,0.37,0.48
6174,3,-0.43,-174.59,21.37,27.55,0.02,-0.06,0.37,0.48
6192,3,-0.43,-174.58,21.37,27.55,0.02,-0.06,0.37,0.48
6215,3,-0.43,-174.58,21.37,27.55,0.02,-0.06,0.37,0.48
6235,3,-0.43,-174.58,21.37,27.55,0.02,-0.06,0.37,0.48
6255,3,-0.43,-174.58,21.37,27.55,0.02,-0.06,0.37,0.48
6275,3,-0.43,-174.58,21.36,27.55,0.02,-0.06,0.37,0.48
6296,3,-0.42,-174.6,21.37,27.55,0.02,-0.05,0.37,0.48
6316,3,-0.42,-174.6,21.37,27.55,0.02,-0.05,0.37,0.48
6336,3,-0.42,-174.6,21.36,27.55,0.02,-0.05,0.37,0.48
6356,3,-0.42,-174.6,21.37,27.55,0.02,-0.05,0.37,0.48
6376,3,-0.42,-174.6,21.37,27.55,0.02,-0.05,0.37,0.48
6396,3,-0.42,-174.6,21.37,27.55,0.02,-0.05,0.37,0.48
6416,3,-0.42,-174.6,21.36,27.55,0.02,-0.05,0.37,0.48
6436,3,-0.43,-174.61,21.37,27.55,0.02,-0.05,0.37,0.48
6456,3,-0.43,-174.61,21.37,27.55,0.02,-0.05,0.37,0.48
6476,3,-0.43,-174.61,21.37,27.55,0.02,-0.05,0.37,0.48
