time_ms,mode,pitch_deg,roll_deg,target_pitch,target_roll,control_pitch,control_roll,motor_pitch_pos,motor_roll_pos
5133,3,-0.95,-176.48,21.42,-26.86,0.06,0.07,0.37,-0.47
5156,3,-0.95,-176.57,21.41,-26.87,0.06,0.07,0.37,-0.47
5175,3,-0.95,-176.66,21.42,-26.92,0.06,0.08,0.37,-0.47
5197,3,-0.93,-176.54,21.41,-26.98,0.06,0.07,0.37,-0.47
5217,3,-0.93,-176.32,21.41,-26.98,0.06,0.06,0.37,-0.47
5239,3,-0.98,-176.04,21.41,-26.96,0.06,0.04,0.37,-0.47
5260,3,-0.96,-175.76,21.41,-26.95,0.06,0.02,0.37,-0.47
5280,3,-0.91,-175.57,21.41,-26.96,0.06,0.01,0.37,-0.47
5300,3,-0.88,-175.6,21.41,-27.01,0.05,0.01,0.37,-0.47
5318,3,-0.91,-175.71,21.41,-27.02,0.06,0.02,0.37,-0.47
5341,3,-0.99,-175.86,21.41,-27.01,0.06,0.03,0.37,-0.47
5361,3,-0.97,-175.85,21.4,-27.01,0.06,0.03,0.37,-0.47
5381,3,-0.85,-175.65,21.39,-26.99,0.05,0.01,0.37,-0.47
5401,3,-0.76,-175.52,21.4,-27,0.04,0.01,0.37,-0.47
5420,3,-0.71,-175.51,21.4,-27.01,0.04,0,0.37,-0.47
5441,3,-0.73,-175.54,21.4,-27.02,0.04,0.01,0.37,-0.47
5463,3,-0.78,-175.52,21.4,-27.03,0.05,0.01,0.37,-0.47
5484,3,-0.77,-175.46,21.4,-27.03,0.05,0,0.37,-0.47
5507,3,-0.72,-175.33,21.4,-27.04,0.04,-0.01,0.37,-0.47
5525,3,-0.7,-175.17,21.4,-27.05,0.04,-0.02,0.37,-0.47
5548,3,-0.71,-175.01,21.4,-27.07,0.04,-0.03,0.37,-0.47
5566,3,-0.73,-174.91,21.4,-27.07,0.04,-0.03,0.37,-0.47
5589,3,-0.74,-174.92,21.4,-27.05,0.04,-0.03,0.37,-0.47
5609,3,-0.74,-175.03,21.39,-27.03,0.04,-0.03,0.37,-0.47
5628,3,-0.7,-175.16,21.4,-27.03,0.04,-0.02,0.37,-0.47
5651,3,-0.69,-175.25,21.4,-27.03,0.04,-0.01,0.37,-0.47
5670,3,-0.72,-175.23,21.4,-27.05,0.04,-0.01,0.37,-0.47
5692,3,-0.73,-175.12,21.4,-27.08,0.04,-0.02,0.37,-0.47
5712,3,-0.72,-175,21.4,-27.08,0.04,-0.03,0.37,-0.47
5731,3,-0.72,-174.91,21.4,-27.08,0.04,-0.03,0.37,-0.47
5752,3,-0.71,-174.82,21.4,-27.07,0.04,-0.04,0.37,-0.47
5774,3,-0.69,-174.77,21.4,-27.07,0.04,-0.04,0.37,-0.47
5797,3,-0.7,-174.76,21.4,-27.08,0.04,-0.04,0.37,-0.47
5816,3,-0.72,-174.81,21.4,-27.07,0.04,-0.04,0.37,-0.47
5839,3,-0.72,-174.91,21.4,-27.05,0.04,-0.03,0.37,-0.47
5859,3,-0.7,-175.04,21.4,-27.04,0.04,-0.03,0.37,-0.47
5878,3,-0.7,-175.15,21.4,-27.04,0.04,-0.02,0.37,-0.47
5899,3,-0.73,-175.23,21.4,-27.04,0.04,-0.01,0.37,-0.47
5918,3,-0.72,-175.24,21.4,-27.06,0.04,-0.01,0.37,-0.47
5938,3,-0.7,-175.17,21.4,-27.07,0.04,-0.02,0.37,-0.47
5958,3,-0.7,-175.04,21.4,-27.07,0.04,-0.03,0.37,-0.47
5977,3,-0.69,-174.95,21.4,-27.07,0.04,-0.03,0.37,-0.47
6000,3,-0.69,-174.91,21.4,-27.07,0.04,-0.03,0.37,-0.47
6019,3,-0.69,-174.88,21.4,-27.07,0.04,-0.04,0.37,-0.47
6042,3,-0.7,-174.84,21.4,-27.07,0.04,-0.04,0.37,-0.47
6062,3,-0.72,-174.78,21.4,-27.07,0.04,-0.04,0.37,-0.47
6081,3,-0.7,-174.75,21.4,-27.06,0.04,-0.04,0.37,-0.47
6102,3,-0.7,-174.78,21.4,-27.05,0.04,-0.04,0.37,-0.47
6121,3,-0.72,-174.86,21.4,-27.05,0.04,-0.04,0.37,-0.47
6143,3,-0.73,-174.92,21.4,-27.05,0.04,-0.03,0.37,-0.47
6163,3,-0.75,-174.93,21.4,-27.04,0.04,-0.03,0.37,-0.47
6183,3,-0.73,-174.92,21.4,-27.05,0.04,-0.03,0.37,-0.47
6203,3,-0.73,-174.91,21.4,-27.05,0.04,-0.03,0.37,-0.47
6223,3,-0.73,-174.89,21.4,-27.05,0.04,-0.04,0.37,-0.47
6243,3,-0.73,-174.89,21.4,-27.05,0.04,-0.04,0.37,-0.47
6264,3,-0.74,-174.89,21.4,-27.05,0.04,-0.04,0.37,-0.47
6283,3,-0.74,-174.87,21.39,-27.05,0.04,-0.04,0.37,-0.47
6304,3,-0.74,-174.84,21.4,-27.05,0.04,-0.04,0.37,-0.47
6324,3,-0.74,-174.79,21.4,-27.05,0.04,-0.04,0.37,-0.47
6344,3,-0.74,-174.76,21.4,-27.05,0.04,-0.04,0.37,-0.47
6364,3,-0.74,-174.75,21.4,-27.04,0.04,-0.04,0.37,-0.47
6383,3,-0.75,-174.75,21.4,-27.04,0.04,-0.04,0.37,-0.47
6404,3,-0.75,-174.75,21.4,-27.04,0.04,-0.04,0.37,-0.47
6422,3,-0.75,-174.76,21.4,-27.04,0.04,-0.04,0.37,-0.47
6445,3,-0.75,-174.77,21.4,-27.03,0.04,-0.04,0.37,-0.47
6465,3,-0.75,-174.79,21.39,-27.03,0.04,-0.04,0.37,-0.47
6484,3,-0.75,-174.81,21.4,-27.03,0.04,-0.04,0.37,-0.47
6505,3,-0.76,-174.84,21.4,-27.03,0.04,-0.04,0.37,-0.47
6527,3,-0.76,-174.84,21.4,-27.03,0.04,-0.04,0.37,-0.47
6548,3,-0.76,-174.83,21.4,-27.03,0.04,-0.04,0.37,-0.47
6570,3,-0.76,-174.81,21.4,-27.03,0.04,-0.04,0.37,-0.47
6593,3,-0.76,-174.8,21.4,-27.03,0.04,-0.04,0.37,-0.47
6613,3,-0.77,-174.78,21.4,-27.03,0.05,-0.04,0.37,-0.47
6633,3,-0.77,-174.75,21.4,-27.03,0.05,-0.05,0.37,-0.47
6653,3,-0.76,-174.73,21.4,-27.03,0.04,-0.05,0.37,-0.47
6671,3,-0.77,-174.72,21.4,-27.04,0.05,-0.05,0.37,-0.47
6694,3,-0.76,-174.73,21.39,-27.02,0.04,-0.05,0.37,-0.47
6714,3,-0.77,-174.73,21.4,-27.02,0.05,-0.05,0.37,-0.47
6734,3,-0.77,-174.72,21.39,-27.02,0.05,-0.05,0.37,-0.47
6754,3,-0.77,-174.74,21.39,-27.04,0.05,-0.05,0.37,-0.47
6773,3,-0.77,-174.78,21.4,-27.03,0.05,-0.04,0.37,-0.47
6795,3,-0.78,-174.83,21.4,-27.03,0.05,-0.04,0.37,-0.47
6816,3,-0.78,-174.81,21.39,-27.02,0.05,-0.04,0.37,-0.47
6835,3,-0.78,-174.78,21.4,-27.04,0.05,-0.04,0.37,-0.47
6856,3,-0.78,-174.76,21.39,-27.02,0.05,-0.04,0.37,-0.47
6878,3,-0.78,-174.74,21.39,-27.03,0.05,-0.05,0.37,-0.47
6900,3,-0.78,-174.72,21.4,-27.02,0.05,-0.05,0.37,-0.47
6921,3,-0.77,-174.71,21.39,-27.03,0.05,-0.05,0.37,-0.47
6944,3,-0.78,-174.67,21.39,-27.03,0.05,-0.05,0.37,-0.47
6964,3,-0.79,-174.68,21.39,-27.04,0.05,-0.05,0.37,-0.47
6984,3,-0.78,-174.69,21.39,-27.04,0.05,-0.05,0.37,-0.47
7004,3,-0.79,-174.66,21.4,-27.02,0.05,-0.05,0.37,-0.47
7023,3,-0.78,-174.62,21.4,-27,0.05,-0.05,0.37,-0.47
7045,3,-0.79,-174.59,21.4,-27.02,0.05,-0.06,0.37,-0.47
7066,3,-0.79,-174.62,21.39,-27.02,0.05,-0.05,0.37,-0.47
7085,3,-0.8,-174.74,21.39,-27,0.05,-0.05,0.37,-0.47
7107,3,-0.79,-174.82,21.39,-27.02,0.05,-0.04,0.37,-0.47
7127,3,-0.78,-174.83,21.39,-27.01,0.05,-0.04,0.37,-0.47
7148,3,-0.78,-174.83,21.4,-27,0.05,-0.04,0.37,-0.47
7170,3,-0.79,-174.78,21.39,-27.02,0.05,-0.04,0.37,-0.47
7192,3,-0.8,-174.73,21.39,-27.01,0.05,-0.05,0.37,-0.47
7211,3,-0.78,-174.7,21.4,-27.04,0.05,-0.05,0.37,-0.47
7233,3,-0.78,-174.63,21.39,-27.03,0.05,-0.05,0.37,-0.47
7256,3,-0.79,-174.59,21.4,-27.03,0.05,-0.06,0.37,-0.47
7275,3,-0.79,-174.57,21.4,-27.04,0.05,-0.06,0.37,-0.47
7297,3,-0.8,-174.57,21.39,-27.01,0.05,-0.06,0.37,-0.47
7317,3,-0.8,-174.58,21.39,-26.98,0.05,-0.06,0.37,-0.47
7337,3,-0.8,-174.57,21.39,-26.99,0.05,-0.06,0.37,-0.47
7357,3,-0.8,-174.59,21.39,-26.97,0.05,-0.06,0.37,-0.47
7376,3,-0.79,-174.68,21.39,-26.94,0.05,-0.05,0.37,-0.47
7398,3,-0.77,-174.78,21.38,-26.94,0.05,-0.04,0.37,-0.47
7418,3,-0.74,-174.81,21.38,-26.93,0.04,-0.04,0.37,-0.47
7438,3,-0.69,-174.75,21.37,-26.98,0.04,-0.04,0.37,-0.47
7459,3,-0.55,-174.76,21.36,-27.04,0.03,-0.04,0.37,-0.47
7481,3,-0.52,-175.03,21.36,-27.02,0.03,-0.03,0.37,-0.47
7504,3,-0.47,-175.31,21.35,-26.99,0.02,-0.01,0.37,-0.47
7523,3,-0.46,-175.62,21.36,-26.97,0.02,0.01,0.37,-0.47
7545,3,-0.44,-175.81,21.35,-26.99,0.02,0.02,0.37,-0.47
7566,3,-0.42,-175.7,21.35,-27.04,0.02,0.02,0.37,-0.47
7585,3,-0.35,-175.4,21.35,-27.08,0.01,0,0.37,-0.47
7608,3,-0.31,-175.02,21.36,-27.07,0.01,-0.03,0.37,-0.47
7627,3,-0.33,-174.62,21.37,-27.04,0.01,-0.05,0.37,-0.47
7649,3,-0.4,-174.08,21.36,-27.03,0.02,-0.09,0.37,-0.47
7669,3,-0.34,-173.95,21.35,-27.06,0.01,-0.1,0.37,-0.47
7689,3,-0.3,-173.99,21.34,-27.11,0.01,-0.09,0.37,-0.47
7710,3,-0.28,-174.46,21.36,-27.02,0.01,-0.06,0.37,-0.47
7732,3,-0.41,-175.03,21.35,-26.96,0.02,-0.03,0.37,-0.47
7755,3,-0.41,-175.38,21.34,-26.91,0.02,0,0.37,-0.47
7774,3,-0.32,-175.47,21.35,-26.93,0.01,0,0.37,-0.47
7797,3,-0.24,-175.34,21.35,-26.98,0,-0.01,0.37,-0.47
7817,3,-0.23,-175.06,21.35,-27.04,0,-0.02,0.37,-0.47
7835,3,-0.26,-174.8,21.36,-27.09,0,-0.04,0.37,-0.47
