time_ms,mode,pitch_deg,roll_deg,target_pitch,target_roll,control_pitch,control_roll,motor_pitch_pos,motor_roll_pos
5310,3,-1.25,-172.42,21.41,-27.27,0.08,-0.2,0.38,-0.48
5329,3,-1.29,-172.44,21.41,-27.28,0.09,-0.19,0.38,-0.48
5351,3,-1.3,-172.51,21.41,-27.22,0.09,-0.19,0.38,-0.48
5373,3,-1.24,-172.77,21.41,-27.22,0.08,-0.17,0.38,-0.48
5392,3,-1.17,-173.06,21.41,-27.18,0.08,-0.15,0.38,-0.48
5414,3,-1.2,-173.22,21.41,-27.07,0.08,-0.14,0.38,-0.47
5433,3,-1.15,-173.32,21.4,-27.02,0.08,-0.14,0.37,-0.47
5456,3,-1.05,-173.58,21.39,-27.05,0.07,-0.12,0.37,-0.47
5476,3,-0.99,-174.19,21.39,-27.03,0.06,-0.08,0.37,-0.47
5495,3,-1,-174.95,21.39,-27.02,0.06,-0.03,0.37,-0.47
5516,3,-1.08,-175.45,21.39,-27.01,0.07,0,0.37,-0.47
5535,3,-1.11,-175.52,21.38,-27.02,0.07,0.01,0.37,-0.47
5557,3,-1.01,-175.15,21.38,-27.09,0.06,-0.02,0.37,-0.47
5578,3,-0.89,-174.61,21.37,-27.13,0.05,-0.05,0.37,-0.47
5596,3,-0.82,-174.17,21.38,-27.17,0.05,-0.08,0.37,-0.48
5619,3,-0.83,-173.86,21.39,-27.18,0.05,-0.1,0.37,-0.48
5638,3,-0.9,-173.62,21.38,-27.15,0.06,-0.12,0.37,-0.48
5659,3,-0.86,-173.47,21.38,-27.12,0.05,-0.13,0.37,-0.48
5679,3,-0.82,-173.49,21.38,-27.12,0.05,-0.13,0.37,-0.48
5699,3,-0.8,-173.59,21.39,-27.08,0.05,-0.12,0.37,-0.47
5721,3,-0.89,-173.88,21.38,-27.09,0.05,-0.1,0.37,-0.47
5742,3,-0.88,-174.11,21.38,-27.05,0.05,-0.09,0.37,-0.47
5761,3,-0.83,-174.35,21.38,-27.05,0.05,-0.07,0.37,-0.47
5783,3,-0.84,-174.53,21.38,-27.07,0.05,-0.06,0.37,-0.47
5806,3,-0.86,-174.64,21.38,-27.05,0.05,-0.05,0.37,-0.47
5826,3,-0.85,-174.59,21.38,-27.08,0.05,-0.06,0.37,-0.47
5844,3,-0.85,-174.34,21.38,-27.11,0.05,-0.07,0.37,-0.47
5867,3,-0.86,-174.06,21.38,-27.14,0.05,-0.09,0.37,-0.48
5886,3,-0.87,-173.84,21.38,-27.15,0.05,-0.1,0.37,-0.48
5909,3,-0.84,-173.72,21.38,-27.15,0.05,-0.11,0.37,-0.48
5929,3,-0.83,-173.69,21.38,-27.14,0.05,-0.11,0.37,-0.48
5949,3,-0.86,-173.69,21.39,-27.14,0.05,-0.11,0.37,-0.48
5969,3,-0.88,-173.7,21.38,-27.13,0.05,-0.11,0.37,-0.48
5987,3,-0.86,-173.76,21.38,-27.1,0.05,-0.11,0.37,-0.47
6010,3,-0.84,-173.84,21.38,-27.12,0.05,-0.1,0.37,-0.48
6030,3,-0.84,-173.98,21.38,-27.09,0.05,-0.1,0.37,-0.47
6048,3,-0.85,-174.17,21.38,-27.09,0.05,-0.08,0.37,-0.47
6070,3,-0.86,-174.39,21.38,-27.09,0.05,-0.07,0.37,-0.47
6092,3,-0.86,-174.39,21.38,-27.1,0.05,-0.07,0.37,-0.47
6114,3,-0.83,-174.29,21.38,-27.09,0.05,-0.08,0.37,-0.47
6135,3,-0.83,-174.14,21.38,-27.14,0.05,-0.08,0.37,-0.48
6158,3,-0.82,-174.01,21.38,-27.12,0.05,-0.09,0.37,-0.47
6178,3,-0.83,-173.95,21.38,-27.13,0.05,-0.1,0.37,-0.48
6196,3,-0.83,-173.88,21.38,-27.1,0.05,-0.1,0.37,-0.47
6219,3,-0.84,-173.85,21.38,-27.14,0.05,-0.1,0.37,-0.48
6237,3,-0.83,-173.85,21.38,-27.14,0.05,-0.1,0.37,-0.48
6260,3,-0.82,-173.92,21.38,-27.1,0.05,-0.1,0.37,-0.47
6281,3,-0.82,-173.97,21.39,-27.09,0.05,-0.1,0.37,-0.47
6300,3,-0.83,-174.02,21.38,-27.09,0.05,-0.09,0.37,-0.47
6322,3,-0.81,-174.17,21.39,-27.06,0.05,-0.08,0.37,-0.47
6341,3,-0.81,-174.3,21.39,-27.07,0.05,-0.07,0.37,-0.47
6363,3,-0.81,-174.37,21.38,-27.1,0.05,-0.07,0.37,-0.47
6382,3,-0.8,-174.41,21.38,-27.1,0.05,-0.07,0.37,-0.47
6404,3,-0.81,-174.37,21.39,-27.09,0.05,-0.07,0.37,-0.47
6426,3,-0.82,-174.24,21.39,-27.14,0.05,-0.08,0.37,-0.47
6448,3,-0.81,-174.1,21.38,-27.12,0.05,-0.09,0.37,-0.47
6470,3,-0.8,-174,21.39,-27.13,0.05,-0.09,0.37,-0.48
6490,3,-0.81,-173.91,21.39,-27.11,0.05,-0.1,0.37,-0.47
6512,3,-0.81,-173.86,21.39,-27.1,0.05,-0.1,0.37,-0.47
6532,3,-0.81,-173.87,21.38,-27.11,0.05,-0.1,0.37,-0.47
6551,3,-0.82,-173.96,21.39,-27.07,0.05,-0.1,0.37,-0.47
6572,3,-0.82,-174.19,21.38,-27.1,0.05,-0.08,0.37,-0.47
6594,3,-0.82,-174.28,21.39,-27.06,0.05,-0.08,0.37,-0.47
6616,3,-0.8,-174.34,21.39,-27.1,0.05,-0.07,0.37,-0.47
6637,3,-0.8,-174.32,21.39,-27.11,0.05,-0.07,0.37,-0.47
6656,3,-0.81,-174.26,21.38,-27.13,0.05,-0.08,0.37,-0.47
6679,3,-0.82,-174.18,21.38,-27.1,0.05,-0.08,0.37,-0.47
6698,3,-0.81,-174.04,21.38,-27.1,0.05,-0.09,0.37,-0.47
6721,3,-0.8,-173.88,21.38,-27.12,0.05,-0.1,0.37,-0.48
6741,3,-0.8,-173.82,21.39,-27.12,0.05,-0.11,0.37,-0.48
6761,3,-0.81,-173.85,21.39,-27.1,0.05,-0.1,0.37,-0.47
6780,3,-0.83,-173.9,21.39,-27.07,0.05,-0.1,0.37,-0.47
6800,3,-0.84,-173.95,21.38,-27.08,0.05,-0.1,0.37,-0.47
6821,3,-0.83,-174.01,21.38,-27.07,0.05,-0.09,0.37,-0.47
6841,3,-0.82,-174.12,21.39,-27.07,0.05,-0.09,0.37,-0.47
6863,3,-0.83,-174.24,21.38,-27.09,0.05,-0.08,0.37,-0.47
6884,3,-0.84,-174.3,21.38,-27.08,0.05,-0.07,0.37,-0.47
6906,3,-0.85,-174.23,21.38,-27.09,0.05,-0.08,0.37,-0.47
