time_ms,mode,pitch_deg,roll_deg,target_pitch,target_roll,control_pitch,control_roll,motor_pitch_pos,motor_roll_pos
2272,3,3.45,-170.75,0,0,0,0,0,0
2311,3,3.45,-170.75,0,0,0,0,0,0
2349,3,3.44,-170.75,0,0,0,0,0,0
2388,3,3.44,-170.75,0,0,0,0,0,0
2425,3,3.44,-170.75,0,0,0,0,0,0
2462,3,3.44,-170.75,0,0,0,0,0,0
2500,3,3.44,-170.75,0,0,0,0,0,0
2541,3,3.44,-170.75,0,0,0,0,0,0
2580,3,3.44,-170.75,0,0,0,0,0,0
2619,3,3.44,-170.75,0,0,0,0,0,0
2656,3,3.44,-170.75,0,0,0,0,0,0
2693,1,3.44,-170.75,0,0,0,0,0,0
2731,3,3.44,-170.75,0,0,0,0,0,0
2770,3,3.44,-170.75,0,0,0,0,0,0
2807,3,3.44,-170.75,0,0,0,0,0,0
2844,3,3.44,-170.74,0,0,0,0,0,0
2882,3,3.44,-170.74,0,0,0,0,0,0
2921,3,3.44,-170.74,0,0,0,0,0,0
2958,3,3.45,-170.73,0,0,0,0,0,0
2995,3,3.45,-170.73,0,0,0,0,0,0
3033,3,3.45,-170.73,0,0,0,0,0,0
3072,3,3.45,-170.73,0,0,0,0,0,0
3109,3,3.45,-170.73,0,0,0,0,0,0
3146,3,3.45,-170.73,0,0,0,0,0,0
3184,3,3.45,-170.73,0,0,0,0,0,0
3222,3,3.44,-170.7,0,0,0,0,0,0
3259,3,3.44,-170.73,0,0,0,0,0,0
3296,3,3.44,-170.75,0,0,0,0,0,0
3334,3,3.45,-170.73,0,0,0,0,0,0
3373,3,3.44,-170.72,0,0,0,0,0,0
3410,3,3.44,-170.72,0,0,0,0,0,0
3447,3,3.44,-170.72,0,0,0,0,0,0
3485,3,3.44,-170.72,0,0,0,0,0,0
3523,3,3.44,-170.72,0,0,0,0,0,0
3560,3,3.44,-170.72,0,0,0,0,0,0
3598,3,3.44,-170.72,0,0,0,0,0,0
3635,3,3.44,-170.72,0,0,0,0,0,0
3674,3,3.44,-170.72,0,0,0,0,0,0
3711,3,3.44,-170.72,0,0,0,0,0,0
3748,3,3.44,-170.72,0,0,0,0,0,0
3786,3,3.44,-170.72,0,0,0,0,0,0
3824,3,3.44,-170.72,0,0,0,0,0,0
3861,3,3.44,-170.72,0,0,0,0,0,0
3899,3,3.44,-170.73,0,0,0,0,0,0
3936,3,3.45,-170.73,0,0,0,0,0,0
3974,3,3.44,-170.69,0,0,0,0,0,0
4011,3,3.45,-170.69,0,0,0,0,0,0
