time_ms,mode,pitch_deg,roll_deg,target_pitch,target_roll,control_pitch,control_roll,motor_pitch_pos,motor_roll_pos
2275,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
2313,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
2352,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
2390,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
2427,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
2465,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
2503,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
2541,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
2579,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
2616,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
2655,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
2693,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
2731,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
2769,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
2806,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
2844,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
2883,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
2920,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
2958,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
2996,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
3034,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
3072,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
3109,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
3147,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
3185,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
3224,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
3261,1,1.91,-172.01,0.00,0.00,0.00,0.00,0.00,0.00
3298,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
3336,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
3375,1,1.91,-172.02,0.00,0.00,0.00,0.00,0.00,0.00
3412,1,1.91,-172.02,0.00,0.00,0.00,0.00,0.00,0.00
3449,1,1.91,-172.02,0.00,0.00,0.00,0.00,0.00,0.00
3487,1,1.91,-172.01,0.00,0.00,0.00,0.00,0.00,0.00
3525,1,1.91,-172.01,0.00,0.00,0.00,0.00,0.00,0.00
3563,1,1.91,-172.01,0.00,0.00,0.00,0.00,0.00,0.00
3600,1,1.91,-172.01,0.00,0.00,0.00,0.00,0.00,0.00
3648,1,1.91,-172.01,0.00,0.00,0.00,0.00,0.00,0.00
3686,1,1.91,-172.01,0.00,0.00,0.00,0.00,0.00,0.00
3725,1,1.91,-172.01,0.00,0.00,0.00,0.00,0.00,0.00
3762,1,1.91,-172.01,0.00,0.00,0.00,0.00,0.00,0.00
3799,1,1.91,-172.01,0.00,0.00,0.00,0.00,0.00,0.00
3838,1,1.91,-172.01,0.00,0.00,0.00,0.00,0.00,0.00
3876,1,1.91,-172.01,0.00,0.00,0.00,0.00,0.00,0.00
3913,1,1.91,-172.01,0.00,0.00,0.00,0.00,0.00,0.00
3950,1,1.91,-172.01,0.00,0.00,0.00,0.00,0.00,0.00
3989,1,1.91,-172.01,0.00,0.00,0.00,0.00,0.00,0.00
4027,1,1.91,-172.01,0.00,0.00,0.00,0.00,0.00,0.00
4064,1,1.91,-172.01,0.00,0.00,0.00,0.00,0.00,0.00
4101,1,1.91,-172.01,0.00,0.00,0.00,0.00,0.00,0.00
4139,1,1.91,-172.01,0.00,0.00,0.00,0.00,0.00,0.00
4178,1,1.91,-172.02,0.00,0.00,0.00,0.00,0.00,0.00
4215,1,1.91,-172.03,0.00,0.00,0.00,0.00,0.00,0.00
4252,1,1.91,-172.01,0.00,0.00,0.00,0.00,0.00,0.00
4290,1,1.91,-172.01,0.00,0.00,0.00,0.00,0.00,0.00
4327,1,1.91,-172.08,0.00,0.00,0.00,0.00,0.00,0.00
4364,1,1.91,-172.19,0.00,0.00,0.00,0.00,0.00,0.00
4401,1,1.91,-172.37,0.00,0.00,0.00,0.00,0.00,0.00
4440,1,1.91,-172.53,0.00,0.00,0.00,0.00,0.00,0.00
4478,1,1.91,-172.66,0.00,0.00,0.00,0.00,0.00,0.00
4515,1,1.91,-172.57,0.00,0.00,0.00,0.00,0.00,0.00
4585,1,1.89,-172.73,21.46,27.33,-0.30,-0.27,0.37,0.47
4618,1,1.88,-172.89,21.50,27.43,-0.30,-0.25,0.37,0.47
4653,1,1.40,-173.56,21.56,27.53,-0.21,-0.17,0.37,0.48
4687,1,0.40,-174.90,21.56,27.63,-0.05,-0.03,0.38,0.48
4721,1,-0.75,-176.61,21.50,27.65,0.11,0.13,0.38,0.48
4756,1,-0.98,-176.95,21.47,27.55,0.08,0.12,0.38,0.48
4789,1,-0.49,-176.77,21.52,27.53,-0.02,0.09,0.38,0.48
4823,1,-0.28,-176.74,21.54,27.61,-0.03,0.09,0.38,0.48
4858,1,-0.39,-176.60,21.51,27.58,0.00,0.08,0.38,0.48
4891,1,-0.35,-176.26,21.52,27.54,-0.01,0.04,0.38,0.48
4925,1,-0.38,-176.23,21.52,27.57,-0.01,0.05,0.38,0.48
4959,1,-0.39,-176.21,21.51,27.57,-0.00,0.05,0.38,0.48
4993,1,-0.31,-176.07,21.53,27.56,-0.02,0.03,0.38,0.48
5027,1,-0.37,-176.13,21.51,27.58,-0.00,0.04,0.38,0.48
5060,1,-0.35,-176.25,21.52,27.58,-0.01,0.05,0.38,0.48
5095,1,-0.37,-176.25,21.52,27.57,-0.01,0.05,0.38,0.48
5129,1,-0.39,-176.31,21.51,27.58,-0.00,0.06,0.38,0.48
5163,1,-0.39,-176.43,21.52,27.58,-0.01,0.07,0.38,0.48
5198,1,-0.38,-176.35,21.51,27.56,-0.01,0.06,0.38,0.48
5231,1,-0.38,-176.17,21.51,27.57,-0.01,0.04,0.38,0.48
5265,1,-0.39,-176.21,21.51,27.58,-0.00,0.05,0.38,0.48
5299,1,-0.38,-176.27,21.51,27.58,-0.01,0.05,0.38,0.48
5333,1,-0.38,-176.34,21.52,27.57,-0.01,0.06,0.38,0.48
5367,1,-0.38,-176.34,21.52,27.57,-0.01,0.06,0.38,0.48
5400,1,-0.38,-176.25,21.51,27.57,-0.01,0.05,0.38,0.48
5446,1,-0.38,-176.18,21.52,27.58,-0.00,0.04,0.38,0.48
5481,1,-0.39,-176.29,21.51,27.58,-0.00,0.06,0.38,0.48
5514,1,-0.39,-176.34,21.51,27.57,-0.00,0.06,0.38,0.48
5549,1,-0.39,-176.30,21.51,27.57,-0.00,0.05,0.38,0.48
5582,1,-0.40,-176.26,21.51,27.58,-0.00,0.05,0.38,0.48
5616,1,-0.40,-176.27,21.51,27.58,-0.00,0.05,0.38,0.48
5651,1,-0.39,-176.31,21.52,27.57,-0.00,0.06,0.38,0.48
5684,1,-0.40,-176.32,21.51,27.57,-0.00,0.06,0.38,0.48
5718,1,-0.39,-176.27,21.51,27.57,-0.00,0.05,0.38,0.48
5751,1,-0.40,-176.23,21.51,27.57,-0.00,0.05,0.38,0.48
5785,1,-0.40,-176.25,21.51,27.57,-0.00,0.05,0.38,0.48
5820,1,-0.40,-176.30,21.51,27.57,-0.00,0.06,0.38,0.48
5853,1,-0.40,-176.28,21.51,27.57,-0.00,0.05,0.38,0.48
5888,1,-0.40,-176.25,21.51,27.57,-0.00,0.05,0.38,0.48
5922,1,-0.40,-176.28,21.51,27.57,-0.00,0.06,0.38,0.48
5956,1,-0.40,-176.29,21.51,27.56,-0.00,0.06,0.38,0.48
5991,1,-0.40,-176.28,21.51,27.56,-0.00,0.05,0.38,0.48
