time_ms,mode,pitch_deg,roll_deg,target_pitch,target_roll,control_pitch,control_roll,motor_pitch_pos,motor_roll_pos
6116,1,-0.38,-172.39,21.33,-27.58,0.01,-0.18,0.37,-0.48
6136,1,-0.37,-172.42,21.33,-27.58,0.01,-0.17,0.37,-0.48
6159,1,-0.4,-172.51,21.33,-27.52,0.01,-0.16,0.37,-0.48
6178,1,-0.39,-172.75,21.33,-27.46,0.01,-0.15,0.37,-0.48
6201,1,-0.36,-173.18,21.34,-27.32,0.01,-0.12,0.37,-0.48
6220,1,-0.43,-173.71,21.33,-27.26,0.02,-0.09,0.37,-0.48
6243,1,-0.44,-174.22,21.32,-27.25,0.01,-0.07,0.37,-0.48
6263,1,-0.36,-174.71,21.32,-27.26,0,-0.05,0.37,-0.48
6282,1,-0.29,-175.27,21.32,-27.23,0,-0.02,0.37,-0.48
6303,1,-0.3,-175.9,21.32,-27.16,0.01,0.01,0.37,-0.47
6322,1,-0.42,-176.48,21.31,-27.12,0.02,0.04,0.37,-0.47
6344,1,-0.46,-176.69,21.31,-27.13,0.02,0.03,0.37,-0.47
6365,1,-0.31,-176.23,21.31,-27.19,0,-0.02,0.37,-0.47
6387,1,-0.22,-175.81,21.31,-27.2,0,-0.04,0.37,-0.48
6410,1,-0.2,-175.63,21.31,-27.19,0,-0.04,0.37,-0.48
6429,1,-0.27,-175.73,21.3,-27.15,0.01,-0.02,0.37,-0.47
6452,1,-0.28,-175.95,21.3,-27.13,0.01,-0.01,0.37,-0.47
6471,1,-0.21,-176.15,21.3,-27.13,0,0,0.37,-0.47
6492,1,-0.14,-176.25,21.3,-27.14,0,0,0.37,-0.47
6512,1,-0.14,-176.3,21.3,-27.14,0,0,0.37,-0.47
6530,1,-0.19,-176.33,21.29,-27.14,0.01,0,0.37,-0.47
6553,1,-0.21,-176.29,21.29,-27.14,0,0,0.37,-0.47
6571,1,-0.17,-176.22,21.3,-27.14,0,-0.01,0.37,-0.47
6594,1,-0.15,-176.19,21.3,-27.13,0,-0.01,0.37,-0.47
6614,1,-0.15,-176.19,21.3,-27.13,0,0,0.37,-0.47
6632,1,-0.14,-176.19,21.3,-27.14,0,0,0.37,-0.47
6655,1,-0.15,-176.19,21.3,-27.14,0,0,0.37,-0.47
6674,1,-0.19,-176.2,21.29,-27.14,0.01,0,0.37,-0.47
6695,1,-0.17,-176.28,21.29,-27.13,0,0,0.37,-0.47
6718,1,-0.11,-176.33,21.3,-27.13,0,0,0.37,-0.47
6740,1,-0.12,-176.28,21.3,-27.15,0,0,0.37,-0.47
6759,1,-0.16,-176.18,21.29,-27.16,0.01,-0.01,0.37,-0.47
6778,1,-0.19,-176.12,21.29,-27.15,0,-0.01,0.37,-0.47
6801,1,-0.16,-176.13,21.29,-27.14,0,-0.01,0.37,-0.47
6819,1,-0.12,-176.18,21.29,-27.13,0,0,0.37,-0.47
6842,1,-0.13,-176.22,21.29,-27.14,0,0,0.37,-0.47
6861,1,-0.16,-176.22,21.29,-27.15,0,0,0.37,-0.47
6881,1,-0.16,-176.2,21.29,-27.15,0,0,0.37,-0.47
6904,1,-0.16,-176.21,21.3,-27.14,0,0,0.37,-0.47
6923,1,-0.16,-176.22,21.29,-27.14,0,0,0.37,-0.47
6945,1,-0.15,-176.22,21.3,-27.14,0,0,0.37,-0.47
6966,1,-0.15,-176.2,21.3,-27.14,0,0,0.37,-0.47
6985,1,-0.17,-176.2,21.29,-27.14,0,0,0.37,-0.47
7005,1,-0.18,-176.2,21.3,-27.14,0,0,0.37,-0.47
7025,1,-0.17,-176.21,21.29,-27.14,0,0,0.37,-0.47
7046,1,-0.14,-176.21,21.3,-27.13,0,0,0.37,-0.47
7066,1,-0.14,-176.22,21.3,-27.13,0,0,0.37,-0.47
7086,1,-0.15,-176.23,21.3,-27.13,0,0,0.37,-0.47
7108,1,-0.17,-176.24,21.29,-27.14,0,0,0.37,-0.47
7129,1,-0.16,-176.22,21.29,-27.14,0,0,0.37,-0.47
7148,1,-0.14,-176.21,21.29,-27.14,0,0,0.37,-0.47
7170,1,-0.13,-176.23,21.3,-27.14,0,0,0.37,-0.47
7193,1,-0.15,-176.25,21.29,-27.14,0,0,0.37,-0.47
7213,1,-0.17,-176.24,21.3,-27.14,0,0,0.37,-0.47
7231,1,-0.17,-176.21,21.29,-27.14,0,0,0.37,-0.47
7254,1,-0.14,-176.2,21.3,-27.14,0,0,0.37,-0.47
7272,1,-0.14,-176.21,21.29,-27.14,0,0,0.37,-0.47
7295,1,-0.15,-176.24,21.29,-27.14,0,0,0.37,-0.47
7315,1,-0.15,-176.23,21.3,-27.14,0,0,0.37,-0.47
7335,1,-0.15,-176.22,21.29,-27.14,0,0,0.37,-0.47
7355,1,-0.15,-176.22,21.29,-27.14,0,0,0.37,-0.47
7375,1,-0.15,-176.22,21.29,-27.13,0,0,0.37,-0.47
7395,1,-0.15,-176.22,21.29,-27.14,0,0,0.37,-0.47
7415,1,-0.15,-176.22,21.29,-27.14,0,0,0.37,-0.47
7435,1,-0.16,-176.22,21.29,-27.14,0,0,0.37,-0.47
7455,1,-0.16,-176.22,21.29,-27.14,0,0,0.37,-0.47
7473,1,-0.15,-176.22,21.29,-27.13,0,0,0.37,-0.47
7496,1,-0.15,-176.22,21.29,-27.14,0,0,0.37,-0.47
7516,1,-0.15,-176.21,21.3,-27.14,0,0,0.37,-0.47
7535,1,-0.15,-176.21,21.3,-27.14,0,0,0.37,-0.47
7557,1,-0.16,-176.21,21.29,-27.14,0,0,0.37,-0.47
7577,1,-0.15,-176.21,21.29,-27.14,0,0,0.37,-0.47
7598,1,-0.14,-176.21,21.3,-27.14,0,0,0.37,-0.47
7618,1,-0.14,-176.21,21.29,-27.13,0,0,0.37,-0.47
7638,1,-0.14,-176.21,21.3,-27.14,0,0,0.37,-0.47
7658,1,-0.14,-176.19,21.3,-27.14,0,0,0.37,-0.47
