time_ms,mode,pitch_deg,roll_deg,target_pitch,target_roll,control_pitch,control_roll,motor_pitch_pos,motor_roll_pos
4854,1,-1.27,-172.59,21.49,-27.63,0.04,-0.13,0.38,-0.48
4873,1,-1.3,-172.83,21.48,-27.6,0.05,-0.13,0.38,-0.48
4893,1,-1.32,-172.95,21.48,-27.54,0.05,-0.13,0.38,-0.48
4912,1,-1.35,-173.21,21.48,-27.49,0.05,-0.11,0.38,-0.48
4934,1,-1.35,-173.63,21.48,-27.42,0.05,-0.09,0.38,-0.48
4956,1,-1.32,-173.95,21.48,-27.37,0.04,-0.08,0.38,-0.48
4979,1,-1.3,-174.37,21.48,-27.34,0.04,-0.05,0.38,-0.48
4999,1,-1.33,-174.87,21.48,-27.34,0.05,-0.03,0.38,-0.48
5017,1,-1.39,-175.33,21.47,-27.31,0.05,-0.01,0.38,-0.48
5040,1,-1.4,-175.65,21.48,-27.26,0.05,0,0.38,-0.48
5058,1,-1.35,-175.8,21.48,-27.25,0.04,0,0.38,-0.48
5081,1,-1.33,-175.8,21.48,-27.24,0.05,-0.01,0.38,-0.48
5100,1,-1.36,-175.77,21.48,-27.25,0.05,-0.01,0.38,-0.48
5120,1,-1.39,-175.75,21.48,-27.26,0.05,-0.01,0.38,-0.48
5141,1,-1.39,-175.75,21.48,-27.25,0.05,-0.01,0.38,-0.48
5160,1,-1.39,-175.81,21.47,-27.24,0.05,-0.01,0.38,-0.48
5182,1,-1.39,-175.91,21.48,-27.22,0.05,0,0.38,-0.48
5203,1,-1.38,-176.05,21.48,-27.21,0.05,0.01,0.38,-0.47
5222,1,-1.37,-176.21,21.48,-27.2,0.05,0.02,0.38,-0.47
5243,1,-1.38,-176.38,21.48,-27.2,0.05,0.02,0.38,-0.47
5262,1,-1.38,-176.46,21.48,-27.2,0.05,0.02,0.38,-0.47
5284,1,-1.38,-176.45,21.48,-27.22,0.05,0.02,0.38,-0.47
5305,1,-1.38,-176.25,21.47,-27.23,0.05,0,0.38,-0.48
5327,1,-1.36,-176,21.48,-27.26,0.05,-0.01,0.38,-0.48
5346,1,-1.35,-175.74,21.48,-27.26,0.05,-0.03,0.38,-0.48
5368,1,-1.35,-175.49,21.48,-27.29,0.05,-0.03,0.38,-0.48
5387,1,-1.35,-175.33,21.48,-27.29,0.05,-0.04,0.38,-0.48
5409,1,-1.34,-175.28,21.48,-27.3,0.05,-0.04,0.38,-0.48
5429,1,-1.33,-175.25,21.48,-27.32,0.05,-0.04,0.38,-0.48
5449,1,-1.36,-175.16,21.48,-27.34,0.05,-0.04,0.38,-0.48
5470,1,-1.38,-174.93,21.47,-27.37,0.05,-0.06,0.38,-0.48
5493,1,-1.36,-174.63,21.47,-27.4,0.05,-0.07,0.38,-0.48
5512,1,-1.31,-174.32,21.48,-27.42,0.04,-0.09,0.38,-0.48
5532,1,-1.3,-174.07,21.48,-27.44,0.05,-0.1,0.38,-0.48
5553,1,-1.3,-173.9,21.48,-27.46,0.05,-0.1,0.38,-0.48
5572,1,-1.3,-173.79,21.48,-27.46,0.05,-0.1,0.38,-0.48
5595,1,-1.3,-173.74,21.48,-27.46,0.05,-0.1,0.38,-0.48
5614,1,-1.31,-173.73,21.48,-27.45,0.05,-0.1,0.38,-0.48
5636,1,-1.31,-173.84,21.48,-27.46,0.05,-0.09,0.38,-0.48
5657,1,-1.31,-173.88,21.48,-27.46,0.05,-0.09,0.38,-0.48
5679,1,-1.31,-173.82,21.48,-27.48,0.05,-0.1,0.38,-0.48
5702,1,-1.31,-173.69,21.48,-27.49,0.05,-0.11,0.38,-0.48
5721,1,-1.31,-173.55,21.48,-27.51,0.05,-0.12,0.38,-0.48
5743,1,-1.31,-173.36,21.48,-27.52,0.05,-0.13,0.38,-0.48
5763,1,-1.3,-173.13,21.48,-27.53,0.05,-0.14,0.38,-0.48
5785,1,-1.28,-172.94,21.48,-27.55,0.05,-0.15,0.38,-0.48
5806,1,-1.28,-172.82,21.48,-27.57,0.05,-0.15,0.38,-0.48
5825,1,-1.28,-172.75,21.48,-27.56,0.05,-0.15,0.38,-0.48
5846,1,-1.29,-172.65,21.48,-27.57,0.05,-0.16,0.38,-0.48
5865,1,-1.27,-172.5,21.48,-27.58,0.04,-0.17,0.38,-0.48
5886,1,-1.25,-172.33,21.48,-27.56,0.04,-0.17,0.38,-0.48
5908,1,-1.26,-172.33,21.48,-27.58,0.05,-0.17,0.38,-0.48
5929,1,-1.27,-172.4,21.48,-27.55,0.05,-0.16,0.38,-0.48
5952,1,-1.27,-172.5,21.48,-27.54,0.05,-0.15,0.38,-0.48
5970,1,-1.27,-172.54,21.48,-27.52,0.05,-0.15,0.38,-0.48
5993,1,-1.28,-172.53,21.48,-27.54,0.05,-0.16,0.38,-0.48
6013,1,-1.27,-172.5,21.48,-27.55,0.05,-0.16,0.38,-0.48
6035,1,-1.27,-172.48,21.48,-27.53,0.05,-0.16,0.38,-0.48
6055,1,-1.28,-172.45,21.48,-27.51,0.05,-0.16,0.38,-0.48
6075,1,-1.28,-172.46,21.48,-27.52,0.05,-0.16,0.38,-0.48
6095,1,-1.27,-172.52,21.48,-27.53,0.05,-0.16,0.38,-0.48
6114,1,-1.28,-172.59,21.48,-27.51,0.05,-0.15,0.38,-0.48
6136,1,-1.27,-172.61,21.48,-27.52,0.05,-0.15,0.38,-0.48
6157,1,-1.27,-172.53,21.48,-27.51,0.05,-0.16,0.38,-0.48
6176,1,-1.28,-172.39,21.48,-27.54,0.05,-0.17,0.38,-0.48
6197,1,-1.28,-172.21,21.48,-27.5,0.05,-0.18,0.38,-0.48
6219,1,-1.27,-172.14,21.48,-27.52,0.05,-0.18,0.38,-0.48
6241,1,-1.27,-172.13,21.48,-27.47,0.05,-0.18,0.38,-0.48
6263,1,-1.27,-172.14,21.48,-27.49,0.05,-0.18,0.38,-0.48
6286,1,-1.27,-172.16,21.48,-27.47,0.05,-0.17,0.38,-0.48
6306,1,-1.28,-172.18,21.48,-27.46,0.05,-0.17,0.38,-0.48
6325,1,-1.28,-172.23,21.48,-27.42,0.05,-0.17,0.38,-0.48
6347,1,-1.28,-172.27,21.48,-27.45,0.05,-0.17,0.38,-0.48
6367,1,-1.28,-172.3,21.48,-27.45,0.05,-0.17,0.38,-0.48
6388,1,-1.28,-172.36,21.48,-27.4,0.05,-0.16,0.38,-0.48
6410,1,-1.3,-172.31,21.47,-27.43,0.05,-0.17,0.38,-0.48
6431,1,-1.29,-172.24,21.48,-27.4,0.05,-0.18,0.38,-0.48
6454,1,-1.29,-172.21,21.48,-27.38,0.05,-0.18,0.38,-0.48
6473,1,-1.29,-172.19,21.48,-27.36,0.05,-0.18,0.38,-0.48
6496,1,-1.29,-172.2,21.48,-27.36,0.05,-0.17,0.38,-0.48
6515,1,-1.29,-172.27,21.48,-27.37,0.05,-0.17,0.38,-0.48
6535,1,-1.29,-172.36,21.48,-27.35,0.05,-0.16,0.38,-0.48
6556,1,-1.29,-172.45,21.48,-27.32,0.05,-0.16,0.38,-0.48
