time_ms,mode,pitch_deg,roll_deg,target_pitch,target_roll,control_pitch,control_roll,motor_pitch_pos,motor_roll_pos
4118,1,5.58,-168.65,20.66,-27.62,-0.27,-0.33,0.36,-0.49
4137,1,5.6,-168.77,20.66,-27.59,-0.27,-0.32,0.36,-0.49
4159,1,5.59,-168.95,20.67,-27.45,-0.26,-0.31,0.36,-0.48
4179,1,5.57,-169.26,20.69,-27.35,-0.26,-0.29,0.36,-0.48
4198,1,5.44,-169.86,20.71,-27.25,-0.25,-0.25,0.36,-0.48
4221,1,5.26,-170.56,20.73,-27.2,-0.24,-0.22,0.36,-0.48
4240,1,5.06,-171.21,20.75,-27.19,-0.23,-0.19,0.36,-0.48
4262,1,4.84,-171.82,20.78,-27.14,-0.22,-0.17,0.36,-0.48
4283,1,4.62,-172.37,20.8,-27.08,-0.21,-0.15,0.36,-0.48
4302,1,4.39,-172.97,20.82,-27.05,-0.2,-0.11,0.36,-0.47
4322,1,4.16,-173.51,20.85,-27.01,-0.19,-0.1,0.36,-0.47
4341,1,3.95,-173.9,20.87,-26.99,-0.18,-0.08,0.36,-0.47
4363,1,3.67,-173.95,20.88,-27.02,-0.17,-0.1,0.36,-0.47
4383,1,3.59,-173.9,20.91,-27.02,-0.18,-0.11,0.36,-0.47
4403,1,3.46,-173.93,20.92,-27.03,-0.17,-0.1,0.36,-0.47
4424,1,3.27,-174.03,20.94,-27.01,-0.16,-0.09,0.36,-0.47
4446,1,3.15,-174.04,20.95,-27.01,-0.16,-0.1,0.36,-0.47
4468,1,3.05,-173.98,20.97,-26.96,-0.16,-0.1,0.36,-0.47
4487,1,2.97,-173.89,20.98,-26.96,-0.16,-0.11,0.36,-0.47
4510,1,2.87,-173.85,20.99,-27,-0.15,-0.11,0.36,-0.47
4530,1,2.77,-173.97,21,-27.02,-0.15,-0.1,0.36,-0.47
4549,1,2.66,-174.12,21.01,-27.02,-0.14,-0.09,0.36,-0.47
4572,1,2.55,-174.16,21.03,-27.01,-0.14,-0.09,0.36,-0.47
