time_ms,mode,pitch_deg,roll_deg,target_pitch,target_roll,control_pitch,control_roll,motor_pitch_pos,motor_roll_pos
2225,2,-1.87,-172.7,0,0,0,0,0,0
2264,2,-1.87,-172.71,0,0,0,0,0,0
2302,2,-1.87,-172.71,0,0,0,0,0,0
2340,2,-1.89,-172.71,0,0,0,0,0,0
2377,2,-1.89,-172.71,0,0,0,0,0,0
2415,2,-1.89,-172.71,0,0,0,0,0,0
2454,2,-1.9,-172.71,0,0,0,0,0,0
2492,2,-1.9,-172.71,0,0,0,0,0,0
2529,2,-1.91,-172.71,0,0,0,0,0,0
2567,2,-1.91,-172.71,0,0,0,0,0,0
2605,2,-1.91,-172.71,0,0,0,0,0,0
2644,2,-1.91,-172.71,0,0,0,0,0,0
2681,2,-1.92,-172.71,0,0,0,0,0,0
2718,2,-1.92,-172.71,0,0,0,0,0,0
2757,2,-1.93,-172.71,0,0,0,0,0,0
2795,2,-1.93,-172.71,0,0,0,0,0,0
2834,2,-1.94,-172.71,0,0,0,0,0,0
2871,2,-1.94,-172.71,0,0,0,0,0,0
2908,2,-1.94,-172.71,0,0,0,0,0,0
2947,2,-1.94,-172.71,0,0,0,0,0,0
2985,2,-1.95,-172.72,0,0,0,0,0,0
3022,2,-1.95,-172.69,0,0,0,0,0,0
3059,2,-1.94,-172.7,0,0,0,0,0,0
3098,2,-1.95,-172.73,0,0,0,0,0,0
3136,2,-1.96,-172.71,0,0,0,0,0,0
3175,2,-1.96,-172.7,0,0,0,0,0,0
3212,2,-1.96,-172.71,0,0,0,0,0,0
3249,2,-1.96,-172.7,0,0,0,0,0,0
3287,2,-1.96,-172.68,0,0,0,0,0,0
3326,2,-1.97,-172.68,0,0,0,0,0,0
3363,2,-1.95,-172.69,0,0,0,0,0,0
3400,2,-1.96,-172.7,0,0,0,0,0,0
3449,2,-1.96,-172.68,0,0,0,0,0,0
3488,2,-1.96,-172.67,0,0,0,0,0,0
3526,2,-1.96,-172.68,0,0,0,0,0,0
3563,2,-1.96,-172.68,0,0,0,0,0,0
3600,2,-1.96,-172.67,0,0,0,0,0,0
3641,2,-1.96,-172.68,0,0,0,0,0,0
3679,2,-1.96,-172.68,0,0,0,0,0,0
3717,2,-1.96,-172.68,0,0,0,0,0,0
3754,2,-1.96,-172.68,0,0,0,0,0,0
3791,2,-1.96,-172.68,0,0,0,0,0,0
3829,2,-1.96,-172.68,0,0,0,0,0,0
3867,2,-1.96,-172.68,0,0,0,0,0,0
3904,2,-1.96,-172.68,0,0,0,0,0,0
3941,2,-1.96,-172.68,0,0,0,0,0,0
3980,2,-1.96,-172.68,0,0,0,0,0,0
4017,2,-1.96,-172.68,0,0,0,0,0,0
4054,2,-1.96,-172.68,0,0,0,0,0,0
4092,2,-1.96,-172.68,0,0,0,0,0,0
4130,2,-1.96,-172.67,0,0,0,0,0,0
4167,2,-1.96,-172.65,0,0,0,0,0,0
4204,2,-1.96,-172.66,0,0,0,0,0,0
4242,2,-1.96,-172.69,0,0,0,0,0,0
4281,2,-1.95,-172.67,0,0,0,0,0,0
4318,2,-1.95,-172.67,0,0,0,0,0,0
4355,2,-1.95,-172.67,0,0,0,0,0,0
4393,2,-1.95,-172.67,0,0,0,0,0,0
4431,2,-1.96,-172.68,0,0,0,0,0,0
4468,2,-1.96,-172.68,0,0,0,0,0,0
4505,2,-1.96,-172.68,0,0,0,0,0,0
4543,2,-1.96,-172.68,0,0,0,0,0,0
4581,2,-1.96,-172.68,0,0,0,0,0,0
4619,2,-1.96,-172.68,0,0,0,0,0,0
4656,2,-1.96,-172.68,0,0,0,0,0,0
4694,2,-1.96,-172.68,0,0,0,0,0,0
4732,2,-1.96,-172.68,0,0,0,0,0,0
4769,2,-1.96,-172.68,0,0,0,0,0,0
4806,2,-1.96,-172.68,0,0,0,0,0,0
4844,2,-1.96,-172.68,0,0,0,0,0,0
4882,2,-1.96,-172.68,0,0,0,0,0,0
4920,2,-1.95,-172.72,0,0,0,0,0,0
4957,2,-1.96,-172.77,0,0,0,0,0,0
4995,2,-1.95,-172.73,0,0,0,0,0,0
5033,2,-1.96,-172.66,0,0,0,0,0,0
5070,2,-1.96,-172.66,0,0,0,0,0,0
5107,2,-1.96,-172.66,0,0,0,0,0,0
5145,2,-1.96,-172.66,0,0,0,0,0,0
5184,2,-1.96,-172.66,0,0,0,0,0,0
5221,2,-1.96,-172.66,0,0,0,0,0,0
5258,2,-1.96,-172.66,0,0,0,0,0,0
5296,2,-1.96,-172.66,0,0,0,0,0,0
5334,2,-1.96,-172.66,0,0,0,0,0,0
5371,2,-1.96,-172.66,0,0,0,0,0,0
5408,2,-1.96,-172.66,0,0,0,0,0,0
5446,2,-1.96,-172.66,0,0,0,0,0,0
5483,2,-1.95,-172.64,0,0,0,0,0,0
5520,2,-1.95,-172.53,0,0,0,0,0,0
5557,2,-1.96,-172.43,0,0,0,0,0,0
5596,2,-1.96,-172.41,0,0,0,0,0,0
5634,2,-1.96,-172.41,0,0,0,0,0,0
5671,2,-1.95,-172.39,0,0,0,0,0,0
5709,2,-1.95,-172.41,0,0,0,0,0,0
5747,2,-1.95,-172.46,0,0,0,0,0,0
5784,2,-1.96,-172.54,0,0,0,0,0,0
5821,2,-1.95,-172.62,0,0,0,0,0,0
5858,2,-1.96,-172.64,0,0,0,0,0,0
5897,2,-1.96,-172.62,0,0,0,0,0,0
5935,2,-1.99,-172.62,0,0,0,0,0,0
6002,2,-2,-172.84,21.71,28.64,0.15,-0.22,0.38,0.5
6036,2,-1.99,-173.11,21.71,28.69,0.15,-0.19,0.38,0.5
