time_ms,mode,pitch_deg,roll_deg,target_pitch,target_roll,control_pitch,control_roll,motor_pitch_pos,motor_roll_pos
4935,2,-0.69,-175.41,21.42,-28.37,0.03,0,0.37,-0.5
4957,2,-0.69,-175.42,21.42,-28.37,0.03,0,0.37,-0.5
4978,2,-0.72,-175.5,21.41,-28.37,0.04,0.01,0.37,-0.5
5001,2,-0.72,-175.56,21.42,-28.36,0.03,0.01,0.37,-0.49
5021,2,-0.75,-175.53,21.41,-28.34,0.04,0,0.37,-0.49
5040,2,-0.72,-175.4,21.42,-28.36,0.03,-0.01,0.37,-0.5
5063,2,-0.63,-175.18,21.42,-28.41,0.02,-0.02,0.37,-0.5
5082,2,-0.58,-175.13,21.42,-28.41,0.02,-0.01,0.37,-0.5
5104,2,-0.61,-175.33,21.41,-28.39,0.03,0.01,0.37,-0.5
5125,2,-0.69,-175.66,21.4,-28.37,0.04,0.02,0.37,-0.49
5145,2,-0.69,-175.9,21.4,-28.36,0.03,0.02,0.37,-0.49
5165,2,-0.62,-175.93,21.41,-28.38,0.02,0.01,0.37,-0.5
5184,2,-0.59,-175.78,21.41,-28.4,0.02,0,0.37,-0.5
5206,2,-0.62,-175.56,21.41,-28.39,0.03,-0.01,0.37,-0.5
5227,2,-0.64,-175.59,21.41,-28.39,0.03,0,0.37,-0.5
5249,2,-0.62,-175.73,21.41,-28.38,0.03,0.01,0.37,-0.5
5272,2,-0.61,-175.84,21.41,-28.38,0.03,0.01,0.37,-0.5
5291,2,-0.61,-175.84,21.41,-28.38,0.03,0.01,0.37,-0.5
5313,2,-0.6,-175.76,21.41,-28.39,0.03,0,0.37,-0.5
5332,2,-0.61,-175.68,21.41,-28.4,0.03,0,0.37,-0.5
5355,2,-0.63,-175.65,21.41,-28.39,0.03,0,0.37,-0.5
5375,2,-0.64,-175.71,21.4,-28.38,0.03,0.01,0.37,-0.5
5394,2,-0.6,-175.8,21.41,-28.38,0.02,0.01,0.37,-0.5
5416,2,-0.59,-175.83,21.41,-28.38,0.02,0.01,0.37,-0.5
5435,2,-0.6,-175.78,21.41,-28.39,0.03,0,0.37,-0.5
5457,2,-0.63,-175.69,21.41,-28.39,0.03,0,0.37,-0.5
5479,2,-0.61,-175.71,21.41,-28.39,0.03,0,0.37,-0.5
5501,2,-0.61,-175.78,21.41,-28.38,0.03,0.01,0.37,-0.5
5522,2,-0.6,-175.82,21.41,-28.38,0.03,0.01,0.37,-0.5
5540,2,-0.61,-175.8,21.41,-28.39,0.03,0,0.37,-0.5
5563,2,-0.61,-175.75,21.41,-28.39,0.03,0,0.37,-0.5
5581,2,-0.62,-175.74,21.41,-28.39,0.03,0,0.37,-0.5
5604,2,-0.62,-175.76,21.4,-28.38,0.03,0.01,0.37,-0.5
5624,2,-0.6,-175.8,21.41,-28.38,0.02,0.01,0.37,-0.5
5644,2,-0.59,-175.81,21.41,-28.39,0.03,0.01,0.37,-0.5
5664,2,-0.62,-175.79,21.41,-28.39,0.03,0,0.37,-0.5
5682,2,-0.62,-175.79,21.41,-28.39,0.03,0,0.37,-0.5
5705,2,-0.62,-175.78,21.41,-28.39,0.03,0,0.37,-0.5
5725,2,-0.61,-175.76,21.41,-28.38,0.03,0,0.37,-0.5
5745,2,-0.61,-175.76,21.4,-28.39,0.03,0,0.37,-0.5
5765,2,-0.61,-175.75,21.41,-28.38,0.03,0,0.37,-0.5
5784,2,-0.61,-175.75,21.41,-28.39,0.03,0,0.37,-0.5
5805,2,-0.61,-175.75,21.41,-28.39,0.03,0,0.37,-0.5
5825,2,-0.61,-175.74,21.41,-28.38,0.03,0,0.37,-0.5
5845,2,-0.61,-175.73,21.41,-28.39,0.03,0,0.37,-0.5
5865,2,-0.61,-175.73,21.41,-28.39,0.03,0,0.37,-0.5
5883,2,-0.61,-175.71,21.41,-28.39,0.03,0,0.37,-0.5
5906,2,-0.62,-175.69,21.4,-28.39,0.03,0,0.37,-0.5
5926,2,-0.63,-175.67,21.4,-28.38,0.03,0,0.37,-0.5
5946,2,-0.64,-175.65,21.41,-28.39,0.03,0,0.37,-0.5
5966,2,-0.62,-175.64,21.41,-28.38,0.03,0,0.37,-0.5
5985,2,-0.63,-175.62,21.41,-28.39,0.03,0,0.37,-0.5
6008,2,-0.64,-175.61,21.41,-28.39,0.03,0,0.37,-0.5
6028,2,-0.65,-175.6,21.41,-28.38,0.03,0,0.37,-0.5
6048,2,-0.65,-175.59,21.41,-28.38,0.03,0,0.37,-0.5
6068,2,-0.64,-175.58,21.41,-28.38,0.03,0,0.37,-0.5
6088,2,-0.64,-175.56,21.41,-28.38,0.03,0,0.37,-0.5
6108,2,-0.65,-175.54,21.4,-28.38,0.03,0,0.37,-0.5
6128,2,-0.66,-175.54,21.4,-28.37,0.03,0,0.37,-0.5
6147,2,-0.66,-175.53,21.4,-28.37,0.03,0,0.37,-0.5
6168,2,-0.66,-175.53,21.41,-28.37,0.03,0,0.37,-0.5
6187,2,-0.65,-175.51,21.41,-28.37,0.03,0,0.37,-0.5
6209,2,-0.66,-175.49,21.41,-28.37,0.03,0,0.37,-0.5
6230,2,-0.67,-175.47,21.4,-28.38,0.03,0,0.37,-0.5
6252,2,-0.67,-175.46,21.4,-28.38,0.03,0,0.37,-0.5
6275,2,-0.67,-175.45,21.4,-28.38,0.03,0,0.37,-0.5
6294,2,-0.66,-175.43,21.41,-28.38,0.03,0,0.37,-0.5
6314,2,-0.67,-175.42,21.41,-28.37,0.03,0,0.37,-0.5
6335,2,-0.67,-175.42,21.41,-28.37,0.03,0,0.37,-0.5
6358,2,-0.67,-175.42,21.4,-28.37,0.03,0,0.37,-0.5
6378,2,-0.67,-175.41,21.4,-28.37,0.03,0,0.37,-0.5
6398,2,-0.67,-175.4,21.41,-28.37,0.03,0,0.37,-0.5
6418,2,-0.67,-175.39,21.4,-28.37,0.03,0,0.37,-0.5
6437,2,-0.67,-175.38,21.4,-28.37,0.03,0,0.37,-0.5
6458,2,-0.67,-175.37,21.4,-28.37,0.03,0,0.37,-0.5
6478,2,-0.68,-175.36,21.4,-28.37,0.03,0,0.37,-0.5
6498,2,-0.68,-175.35,21.41,-28.37,0.03,0,0.37,-0.5
6518,2,-0.68,-175.33,21.41,-28.37,0.03,0,0.37,-0.5
6537,2,-0.68,-175.33,21.4,-28.37,0.03,0,0.37,-0.5
6559,2,-0.68,-175.33,21.4,-28.37,0.03,0,0.37,-0.5
6580,2,-0.69,-175.32,21.4,-28.37,0.03,0,0.37,-0.5
6600,2,-0.69,-175.31,21.4,-28.37,0.03,0,0.37,-0.5
6620,2,-0.68,-175.3,21.4,-28.36,0.03,0,0.37,-0.5
6642,2,-0.69,-175.31,21.4,-28.37,0.03,0,0.37,-0.5
6664,2,-0.69,-175.3,21.4,-28.37,0.03,0,0.37,-0.5
6685,2,-0.69,-175.29,21.4,-28.37,0.03,0,0.37,-0.5
6708,2,-0.69,-175.28,21.4,-28.37,0.03,0,0.37,-0.5
6728,2,-0.7,-175.27,21.4,-28.37,0.03,0,0.37,-0.5
6748,2,-0.7,-175.27,21.4,-28.36,0.03,0,0.37,-0.5
6768,2,-0.7,-175.26,21.41,-28.37,0.03,0,0.37,-0.5
6787,2,-0.7,-175.25,21.4,-28.37,0.03,0,0.37,-0.5
6807,2,-0.7,-175.24,21.4,-28.36,0.03,0,0.37,-0.5
6828,2,-0.7,-175.23,21.41,-28.36,0.03,0,0.37,-0.5
6848,2,-0.7,-175.22,21.4,-28.36,0.03,0,0.37,-0.5
6868,2,-0.71,-175.21,21.4,-28.36,0.03,0,0.37,-0.5
6887,2,-0.71,-175.2,21.4,-28.37,0.03,0,0.37,-0.5
6910,2,-0.71,-175.2,21.4,-28.37,0.03,0,0.37,-0.5
6930,2,-0.71,-175.19,21.4,-28.36,0.03,0,0.37,-0.5
6950,2,-0.7,-175.18,21.4,-28.36,0.03,0,0.37,-0.5
6970,2,-0.7,-175.17,21.4,-28.36,0.03,0,0.37,-0.5
6989,2,-0.71,-175.17,21.4,-28.36,0.03,0,0.37,-0.5
7010,2,-0.71,-175.16,21.4,-28.36,0.04,0,0.37,-0.5
7030,2,-0.71,-175.15,21.4,-28.36,0.03,0,0.37,-0.5
7050,2,-0.71,-175.14,21.4,-28.36,0.03,0,0.37,-0.5
7070,2,-0.71,-175.13,21.4,-28.36,0.03,0,0.37,-0.5
7088,2,-0.71,-175.13,21.4,-28.36,0.03,0,0.37,-0.49
7111,2,-0.71,-175.13,21.4,-28.36,0.03,0,0.37,-0.5
7130,2,-0.71,-175.12,21.4,-28.36,0.03,0,0.37,-0.5
7151,2,-0.71,-175.11,21.4,-28.35,0.03,0,0.37,-0.49
7170,2,-0.72,-175.11,21.4,-28.33,0.03,0,0.37,-0.49
7190,2,-0.72,-175.09,21.39,-28.32,0.04,-0.01,0.37,-0.49
7212,2,-0.7,-175.01,21.39,-28.34,0.03,-0.01,0.37,-0.49
7232,2,-0.64,-174.92,21.39,-28.35,0.02,-0.01,0.37,-0.5
7252,2,-0.58,-174.77,21.39,-28.37,0.02,-0.02,0.37,-0.5
7272,2,-0.54,-174.77,21.38,-28.39,0.02,-0.01,0.37,-0.5
7291,2,-0.47,-174.82,21.38,-28.4,0.01,-0.01,0.37,-0.5
7313,2,-0.4,-175.33,21.39,-28.38,0.01,0.03,0.37,-0.49
7333,2,-0.43,-175.66,21.37,-28.35,0.02,0.02,0.37,-0.49
7354,2,-0.41,-175.82,21.37,-28.33,0.01,0.02,0.37,-0.49
7376,2,-0.37,-175.74,21.38,-28.36,0.01,0,0.37,-0.49
7396,2,-0.35,-175.55,21.38,-28.35,0.01,-0.01,0.37,-0.49
7418,2,-0.35,-175.44,21.38,-28.31,0.01,-0.01,0.37,-0.49
7437,2,-0.41,-175.28,21.37,-28.29,0.02,-0.01,0.37,-0.49
7456,2,-0.37,-175.09,21.37,-28.34,0.01,-0.02,0.37,-0.49
7479,2,-0.22,-174.94,21.38,-28.43,-0.01,-0.02,0.37,-0.5
7497,2,-0.14,-175.11,21.37,-28.41,-0.01,0.01,0.37,-0.5
7520,2,-0.23,-175.58,21.37,-28.34,0.01,0.03,0.37,-0.49
7539,2,-0.37,-175.96,21.36,-28.3,0.03,0.03,0.37,-0.49
7562,2,-0.35,-176.01,21.36,-28.33,0.01,0.01,0.37,-0.49
7582,2,-0.23,-175.88,21.37,-28.38,-0.01,0,0.37,-0.5
7600,2,-0.16,-175.78,21.37,-28.39,-0.01,0,0.37,-0.5
7623,2,-0.2,-175.87,21.36,-28.35,0,0.01,0.37,-0.49
7643,2,-0.3,-176,21.35,-28.33,0.02,0.02,0.37,-0.49
7664,2,-0.25,-175.95,21.36,-28.33,0,0,0.37,-0.49
7686,2,-0.16,-175.81,21.36,-28.35,-0.01,0,0.37,-0.49
7708,2,-0.13,-175.69,21.37,-28.37,-0.01,0,0.37,-0.5
7729,2,-0.17,-175.66,21.35,-28.37,0,0,0.37,-0.5
7748,2,-0.23,-175.77,21.36,-28.37,0.01,0.01,0.37,-0.5
7771,2,-0.28,-175.96,21.35,-28.36,0.01,0.02,0.37,-0.49
7790,2,-0.24,-176.13,21.35,-28.33,0,0.02,0.37,-0.49
7813,2,-0.16,-176.15,21.36,-28.32,-0.01,0.01,0.37,-0.49
7833,2,-0.1,-175.97,21.36,-28.34,-0.01,0,0.37,-0.49
7852,2,-0.09,-175.7,21.36,-28.37,-0.01,-0.01,0.37,-0.5
7874,2,-0.15,-175.51,21.35,-28.39,0,-0.01,0.37,-0.5
7894,2,-0.21,-175.55,21.34,-28.38,0.01,0,0.37,-0.5
7916,2,-0.12,-175.93,21.36,-28.35,-0.02,0.03,0.37,-0.49
7937,2,-0.08,-176.15,21.36,-28.31,-0.01,0.02,0.37,-0.49
7960,2,-0.14,-176.18,21.35,-28.3,0,0.01,0.37,-0.49
7980,2,-0.18,-175.99,21.34,-28.33,0,0,0.37,-0.49
7999,2,-0.12,-175.72,21.35,-28.38,-0.01,-0.01,0.37,-0.5
8021,2,-0.06,-175.61,21.36,-28.39,-0.02,0,0.37,-0.5
8039,2,-0.1,-175.73,21.35,-28.36,0,0.01,0.37,-0.49
8063,2,-0.18,-175.98,21.34,-28.33,0.01,0.02,0.37,-0.49
8082,2,-0.16,-176.12,21.34,-28.32,0,0.02,0.37,-0.49
8101,2,-0.09,-176.09,21.36,-28.34,-0.02,0.01,0.37,-0.49
8123,2,-0.07,-175.95,21.35,-28.36,-0.01,0,0.37,-0.5
8143,2,-0.11,-175.84,21.34,-28.36,0,0,0.37,-0.5
8165,2,-0.12,-175.86,21.35,-28.35,0,0.01,0.37,-0.49
8185,2,-0.1,-175.96,21.35,-28.35,-0.01,0.01,0.37,-0.49
8205,2,-0.12,-176.05,21.35,-28.35,0,0.01,0.37,-0.49
8225,2,-0.16,-176.07,21.34,-28.34,0,0.01,0.37,-0.49
8245,2,-0.13,-175.99,21.35,-28.34,-0.01,0,0.37,-0.49
8266,2,-0.04,-175.74,21.36,-28.37,-0.02,-0.01,0.37,-0.5
8288,2,-0.06,-175.64,21.35,-28.4,-0.01,0,0.37,-0.5
8310,2,-0.11,-175.75,21.34,-28.37,0,0.01,0.37,-0.5
8330,2,-0.14,-176,21.34,-28.35,0,0.02,0.37,-0.49
8349,2,-0.08,-176.17,21.35,-28.33,-0.01,0.02,0.37,-0.49
8372,2,-0.03,-176.15,21.35,-28.36,-0.02,0.01,0.37,-0.49
