time_ms,mode,pitch_deg,roll_deg,target_pitch,target_roll,control_pitch,control_roll,motor_pitch_pos,motor_roll_pos
4598,2,-0.68,-168.1,21.42,-28.18,0.03,-0.09,0.37,-0.49
4620,2,-0.7,-168.64,21.42,-28.12,0.04,-0.06,0.37,-0.49
4642,2,-0.73,-169.19,21.41,-28.07,0.04,-0.05,0.37,-0.49
4663,2,-0.7,-169.63,21.42,-28.02,0.03,-0.05,0.37,-0.49
4686,2,-0.69,-169.81,21.42,-27.96,0.03,-0.07,0.37,-0.49
4704,2,-0.75,-169.76,21.41,-27.87,0.04,-0.08,0.37,-0.49
4727,2,-0.7,-169.87,21.41,-27.8,0.03,-0.07,0.37,-0.49
4747,2,-0.6,-170.46,21.41,-27.77,0.02,-0.03,0.37,-0.49
4765,2,-0.53,-171.35,21.4,-27.74,0.01,0,0.37,-0.48
4788,2,-0.5,-172.23,21.4,-27.67,0.02,0.01,0.37,-0.48
4806,2,-0.57,-172.73,21.39,-27.61,0.03,-0.01,0.37,-0.48
4829,2,-0.62,-172.78,21.38,-27.54,0.03,-0.03,0.37,-0.48
4849,2,-0.54,-172.69,21.39,-27.48,0.01,-0.04,0.37,-0.48
4868,2,-0.42,-172.78,21.39,-27.48,0,-0.03,0.37,-0.48
4888,2,-0.36,-173.09,21.39,-27.48,0.01,-0.01,0.37,-0.48
4907,2,-0.38,-173.38,21.38,-27.49,0.01,-0.01,0.37,-0.48
4929,2,-0.43,-173.54,21.37,-27.46,0.02,-0.02,0.37,-0.48
4949,2,-0.41,-173.55,21.38,-27.42,0.01,-0.03,0.37,-0.48
4969,2,-0.36,-173.62,21.39,-27.4,0,-0.02,0.37,-0.48
4989,2,-0.36,-173.78,21.38,-27.37,0.01,-0.01,0.37,-0.48
5009,2,-0.38,-173.99,21.38,-27.35,0.01,-0.01,0.37,-0.48
5030,2,-0.35,-174.24,21.39,-27.35,0.01,0,0.37,-0.48
5052,2,-0.36,-174.32,21.38,-27.34,0.01,-0.01,0.37,-0.48
5075,2,-0.37,-174.34,21.38,-27.34,0.01,-0.01,0.37,-0.48
5094,2,-0.36,-174.27,21.38,-27.35,0.01,-0.02,0.37,-0.48
5115,2,-0.35,-174.12,21.38,-27.38,0.01,-0.03,0.37,-0.48
5138,2,-0.37,-173.89,21.38,-27.42,0.01,-0.03,0.37,-0.48
5157,2,-0.41,-173.65,21.37,-27.45,0.02,-0.04,0.37,-0.48
5179,2,-0.39,-173.42,21.38,-27.48,0.01,-0.04,0.37,-0.48
5200,2,-0.36,-173.22,21.38,-27.5,0.01,-0.04,0.37,-0.48
5218,2,-0.37,-173.07,21.38,-27.53,0.01,-0.04,0.37,-0.48
5240,2,-0.37,-172.81,21.38,-27.55,0.01,-0.05,0.37,-0.48
5262,2,-0.37,-172.58,21.38,-27.59,0.01,-0.05,0.37,-0.48
5283,2,-0.36,-172.37,21.38,-27.63,0.01,-0.05,0.37,-0.48
5305,2,-0.36,-172.19,21.38,-27.66,0.01,-0.06,0.37,-0.48
5325,2,-0.36,-172.02,21.38,-27.68,0.01,-0.06,0.37,-0.48
5344,2,-0.36,-171.8,21.38,-27.71,0.01,-0.06,0.37,-0.48
5366,2,-0.36,-171.54,21.38,-27.74,0.01,-0.07,0.37,-0.49
5389,2,-0.36,-171.27,21.38,-27.77,0.01,-0.07,0.37,-0.49
5408,2,-0.37,-171.04,21.38,-27.8,0.01,-0.07,0.37,-0.49
5430,2,-0.37,-170.86,21.38,-27.82,0.01,-0.07,0.37,-0.49
5451,2,-0.37,-170.69,21.38,-27.85,0.01,-0.08,0.37,-0.49
5470,2,-0.37,-170.51,21.38,-27.87,0.01,-0.08,0.37,-0.49
5491,2,-0.39,-170.23,21.38,-27.89,0.01,-0.09,0.37,-0.49
5513,2,-0.39,-170.05,21.38,-27.93,0.01,-0.08,0.37,-0.49
5535,2,-0.38,-169.87,21.38,-27.95,0.01,-0.09,0.37,-0.49
5556,2,-0.38,-169.7,21.38,-27.98,0.01,-0.09,0.37,-0.49
5575,2,-0.4,-169.53,21.38,-28,0.02,-0.09,0.37,-0.49
5598,2,-0.4,-169.33,21.37,-28.03,0.01,-0.1,0.37,-0.49
5616,2,-0.39,-169.12,21.38,-28.05,0.01,-0.1,0.37,-0.49
5639,2,-0.39,-168.97,21.38,-28.07,0.01,-0.1,0.37,-0.49
5658,2,-0.38,-168.88,21.38,-28.08,0.01,-0.09,0.37,-0.49
5678,2,-0.38,-168.82,21.38,-28.1,0.01,-0.09,0.37,-0.49
5699,2,-0.38,-168.75,21.38,-28.11,0.01,-0.1,0.37,-0.49
5718,2,-0.38,-168.61,21.38,-28.13,0.01,-0.1,0.37,-0.49
5741,2,-0.38,-168.4,21.38,-28.16,0.01,-0.11,0.37,-0.49
5760,2,-0.37,-168.18,21.38,-28.18,0.01,-0.11,0.37,-0.49
5782,2,-0.35,-167.97,21.38,-28.22,0.01,-0.12,0.37,-0.49
5802,2,-0.35,-167.77,21.38,-28.25,0.01,-0.12,0.37,-0.5
5821,2,-0.35,-167.56,21.38,-28.28,0.01,-0.12,0.37,-0.5
5843,2,-0.36,-167.22,21.38,-28.29,0.01,-0.13,0.37,-0.5
5865,2,-0.36,-167.05,21.38,-28.32,0.01,-0.13,0.37,-0.5
5886,2,-0.36,-166.95,21.38,-28.33,0.01,-0.12,0.37,-0.5
5908,2,-0.36,-166.91,21.38,-28.33,0.01,-0.12,0.37,-0.5
5931,2,-0.36,-166.9,21.38,-28.34,0.01,-0.12,0.37,-0.5
5951,2,-0.36,-166.87,21.38,-28.34,0.01,-0.12,0.37,-0.5
5971,2,-0.37,-166.84,21.38,-28.35,0.01,-0.12,0.37,-0.5
5991,2,-0.37,-166.77,21.38,-28.36,0.01,-0.12,0.37,-0.5
6010,2,-0.37,-166.67,21.38,-28.37,0.01,-0.13,0.37,-0.5
6032,2,-0.36,-166.62,21.38,-28.37,0.01,-0.12,0.37,-0.5
6053,2,-0.36,-166.58,21.38,-28.37,0.01,-0.12,0.37,-0.5
6073,2,-0.36,-166.55,21.38,-28.38,0.01,-0.12,0.37,-0.5
6093,2,-0.37,-166.52,21.38,-28.39,0.01,-0.12,0.37,-0.5
6112,2,-0.36,-166.47,21.38,-28.4,0.01,-0.13,0.37,-0.5
6133,2,-0.36,-166.41,21.38,-28.4,0.01,-0.13,0.37,-0.5
6155,2,-0.36,-166.39,21.38,-28.4,0.01,-0.13,0.37,-0.5
6176,2,-0.37,-166.38,21.38,-28.4,0.01,-0.12,0.37,-0.5
6199,2,-0.37,-166.37,21.38,-28.4,0.01,-0.12,0.37,-0.5
6220,2,-0.37,-166.37,21.38,-28.4,0.01,-0.12,0.37,-0.5
6240,2,-0.36,-166.39,21.39,-28.4,0.01,-0.12,0.37,-0.5
6258,2,-0.37,-166.43,21.38,-28.39,0.01,-0.12,0.37,-0.5
6281,2,-0.37,-166.44,21.38,-28.4,0.01,-0.12,0.37,-0.5
6300,2,-0.37,-166.43,21.38,-28.39,0.01,-0.12,0.37,-0.5
6320,2,-0.38,-166.37,21.38,-28.39,0.01,-0.13,0.37,-0.5
6341,2,-0.37,-166.29,21.38,-28.4,0.01,-0.13,0.37,-0.5
6360,2,-0.37,-166.26,21.38,-28.4,0.01,-0.13,0.37,-0.5
6382,2,-0.37,-166.26,21.38,-28.4,0.01,-0.13,0.37,-0.5
6402,2,-0.37,-166.27,21.38,-28.4,0.01,-0.12,0.37,-0.5
6422,2,-0.37,-166.26,21.38,-28.4,0.01,-0.13,0.37,-0.5
6442,2,-0.37,-166.23,21.38,-28.41,0.01,-0.13,0.37,-0.5
6461,2,-0.37,-166.21,21.38,-28.4,0.01,-0.13,0.37,-0.5
6482,2,-0.37,-166.2,21.38,-28.4,0.01,-0.13,0.37,-0.5
6502,2,-0.37,-166.21,21.38,-28.4,0.01,-0.13,0.37,-0.5
6520,2,-0.37,-166.24,21.38,-28.4,0.01,-0.12,0.37,-0.5
6543,2,-0.37,-166.26,21.38,-28.4,0.01,-0.12,0.37,-0.5
6561,2,-0.38,-166.27,21.38,-28.4,0.01,-0.13,0.37,-0.5
6584,2,-0.37,-166.26,21.38,-28.4,0.01,-0.13,0.37,-0.5
6604,2,-0.37,-166.26,21.38,-28.41,0.01,-0.13,0.37,-0.5
6624,2,-0.37,-166.23,21.38,-28.4,0.01,-0.13,0.37,-0.5
6644,2,-0.37,-166.22,21.38,-28.41,0.01,-0.13,0.37,-0.5
6664,2,-0.37,-166.2,21.38,-28.41,0.01,-0.13,0.37,-0.5
6684,2,-0.38,-166.2,21.38,-28.4,0.01,-0.13,0.37,-0.5
6704,2,-0.38,-166.19,21.38,-28.41,0.01,-0.13,0.37,-0.5
6724,2,-0.38,-166.18,21.38,-28.41,0.01,-0.13,0.37,-0.5
6744,2,-0.37,-166.17,21.38,-28.41,0.01,-0.13,0.37,-0.5
6763,2,-0.38,-166.16,21.38,-28.41,0.01,-0.13,0.37,-0.5
6785,2,-0.38,-166.15,21.38,-28.41,0.01,-0.13,0.37,-0.5
6805,2,-0.38,-166.17,21.38,-28.4,0.01,-0.13,0.37,-0.5
6825,2,-0.38,-166.18,21.38,-28.38,0.01,-0.13,0.37,-0.5
6846,2,-0.38,-166.16,21.37,-28.36,0.01,-0.13,0.37,-0.5
6868,2,-0.32,-166.06,21.37,-28.36,0,-0.13,0.37,-0.5
6891,2,-0.29,-166.1,21.37,-28.37,0,-0.13,0.37,-0.5
6910,2,-0.22,-166.15,21.37,-28.4,0,-0.12,0.37,-0.5
6933,2,-0.18,-166.14,21.37,-28.39,-0.01,-0.13,0.37,-0.5
6953,2,-0.17,-166.18,21.36,-28.43,0,-0.12,0.37,-0.5
6971,2,-0.17,-165.99,21.36,-28.45,0,-0.14,0.37,-0.5
6994,2,-0.18,-165.73,21.35,-28.45,0,-0.15,0.37,-0.5
7013,2,-0.11,-165.34,21.36,-28.45,-0.01,-0.16,0.37,-0.5
7036,2,-0.04,-164.97,21.36,-28.48,-0.02,-0.17,0.37,-0.5
7056,2,0,-164.69,21.36,-28.51,-0.02,-0.16,0.37,-0.5
7074,2,0.01,-164.54,21.36,-28.49,-0.02,-0.16,0.37,-0.5
7096,2,-0.04,-164.57,21.36,-28.45,-0.01,-0.15,0.37,-0.5
7116,2,-0.11,-164.56,21.35,-28.42,0,-0.15,0.37,-0.5
7137,2,-0.09,-164.65,21.35,-28.48,-0.01,-0.14,0.37,-0.5
7159,2,0.04,-164.58,21.34,-28.54,-0.03,-0.15,0.37,-0.5
7181,2,0.2,-164.64,21.35,-28.58,-0.04,-0.14,0.37,-0.5
7204,2,0.27,-165,21.35,-28.57,-0.04,-0.12,0.37,-0.5
7223,2,0.18,-165.17,21.34,-28.48,-0.02,-0.13,0.37,-0.5
7243,2,0.05,-164.99,21.34,-28.4,0,-0.15,0.37,-0.5
7263,2,0.04,-164.61,21.33,-28.4,-0.02,-0.17,0.37,-0.5
7285,2,0.15,-164.34,21.33,-28.49,-0.03,-0.17,0.37,-0.5
7305,2,0.3,-164.28,21.34,-28.55,-0.05,-0.16,0.37,-0.5
7323,2,0.37,-164.41,21.34,-28.57,-0.05,-0.14,0.37,-0.5
7346,2,0.32,-164.8,21.35,-28.54,-0.03,-0.12,0.37,-0.5
7364,2,0.13,-164.95,21.33,-28.49,0,-0.13,0.37,-0.5
7387,2,0.05,-164.83,21.33,-28.47,-0.01,-0.15,0.37,-0.5
7407,2,0.08,-164.51,21.33,-28.49,-0.02,-0.17,0.37,-0.5
7425,2,0.21,-164.31,21.34,-28.55,-0.04,-0.16,0.37,-0.5
7448,2,0.3,-164.21,21.34,-28.58,-0.04,-0.16,0.37,-0.5
7467,2,0.3,-164.35,21.35,-28.57,-0.03,-0.14,0.37,-0.5
7489,2,0.06,-164.59,21.32,-28.52,0.01,-0.13,0.37,-0.5
7510,2,0.03,-164.39,21.34,-28.48,-0.01,-0.16,0.37,-0.5
7534,2,0.13,-164.22,21.35,-28.51,-0.03,-0.16,0.37,-0.5
7554,2,0.27,-164.16,21.35,-28.56,-0.05,-0.16,0.37,-0.5
7573,2,0.32,-164.29,21.34,-28.59,-0.04,-0.14,0.37,-0.5
7594,2,0.23,-164.51,21.33,-28.58,-0.02,-0.14,0.37,-0.5
7613,2,0.1,-164.61,21.33,-28.54,-0.01,-0.14,0.37,-0.5
7636,2,0.09,-164.53,21.34,-28.53,-0.02,-0.15,0.37,-0.5
7656,2,0.2,-164.36,21.35,-28.53,-0.04,-0.16,0.37,-0.5
7675,2,0.26,-164.16,21.35,-28.55,-0.04,-0.17,0.37,-0.5
7698,2,0.24,-164.04,21.34,-28.57,-0.03,-0.16,0.37,-0.5
7717,2,0.17,-164.06,21.33,-28.59,-0.02,-0.15,0.37,-0.5
7739,2,0.15,-164.25,21.34,-28.58,-0.02,-0.14,0.37,-0.5
7760,2,0.16,-164.47,21.34,-28.55,-0.03,-0.14,0.37,-0.5
7782,2,0.18,-164.44,21.34,-28.53,-0.03,-0.15,0.37,-0.5
7801,2,0.23,-164.28,21.35,-28.53,-0.03,-0.16,0.37,-0.5
7823,2,0.26,-164.16,21.35,-28.57,-0.03,-0.16,0.37,-0.5
7846,2,0.2,-164.14,21.34,-28.59,-0.02,-0.16,0.37,-0.5
7865,2,0.13,-164.25,21.33,-28.59,-0.02,-0.15,0.37,-0.5
7887,2,0.17,-164.37,21.34,-28.56,-0.03,-0.14,0.37,-0.5
7908,2,0.25,-164.38,21.35,-28.55,-0.04,-0.15,0.37,-0.5
7927,2,0.26,-164.31,21.35,-28.55,-0.03,-0.16,0.37,-0.5
7948,2,0.2,-164.25,21.34,-28.57,-0.02,-0.16,0.37,-0.5
7967,2,0.16,-164.21,21.33,-28.58,-0.02,-0.16,0.37,-0.5
7989,2,0.19,-164.22,21.34,-28.58,-0.03,-0.15,0.37,-0.5
8009,2,0.21,-164.26,21.34,-28.58,-0.03,-0.15,0.37,-0.5
