time_ms,mode,pitch_deg,roll_deg,target_pitch,target_roll,control_pitch,control_roll,motor_pitch_pos,motor_roll_pos
4744,2,-0.29,-172.33,21.37,-27.53,0.01,-0.04,0.37,-0.48
4768,2,-0.32,-172.53,21.36,-27.49,0.01,-0.03,0.37,-0.48
4788,2,-0.31,-172.83,21.37,-27.48,0.01,-0.02,0.37,-0.48
4807,2,-0.3,-173.04,21.37,-27.49,0,-0.02,0.37,-0.48
4827,2,-0.31,-173.02,21.37,-27.46,0.01,-0.03,0.37,-0.48
4847,2,-0.36,-172.75,21.37,-27.44,0.02,-0.05,0.37,-0.48
4869,2,-0.35,-172.37,21.37,-27.49,0.01,-0.06,0.37,-0.48
4889,2,-0.3,-172.11,21.38,-27.56,0,-0.06,0.37,-0.48
4908,2,-0.26,-172.12,21.38,-27.62,0,-0.04,0.37,-0.48
4930,2,-0.32,-172.37,21.37,-27.55,0.01,-0.03,0.37,-0.48
4949,2,-0.44,-172.61,21.36,-27.51,0.03,-0.02,0.37,-0.48
4971,2,-0.42,-172.49,21.36,-27.5,0.01,-0.05,0.37,-0.48
4991,2,-0.36,-172.33,21.36,-27.53,0,-0.05,0.37,-0.48
5011,2,-0.22,-172.02,21.37,-27.58,-0.01,-0.07,0.37,-0.48
5031,2,-0.15,-171.9,21.37,-27.61,-0.01,-0.06,0.37,-0.48
5050,2,-0.17,-171.98,21.36,-27.62,0,-0.04,0.37,-0.48
5072,2,-0.32,-172.13,21.35,-27.6,0.02,-0.04,0.37,-0.48
5093,2,-0.34,-172.08,21.36,-27.58,0.01,-0.05,0.37,-0.48
5115,2,-0.26,-171.88,21.37,-27.62,0,-0.06,0.37,-0.48
5135,2,-0.21,-171.58,21.37,-27.65,0,-0.07,0.37,-0.48
5156,2,-0.25,-171.31,21.37,-27.69,0.01,-0.07,0.37,-0.48
5179,2,-0.29,-171.15,21.36,-27.72,0.01,-0.07,0.37,-0.48
5197,2,-0.29,-171.15,21.37,-27.72,0.01,-0.06,0.37,-0.48
5220,2,-0.27,-171.26,21.37,-27.7,0,-0.05,0.37,-0.48
5240,2,-0.26,-171.32,21.37,-27.69,0,-0.05,0.37,-0.48
5258,2,-0.23,-171.25,21.37,-27.71,0,-0.06,0.37,-0.48
5281,2,-0.21,-171.1,21.37,-27.72,0,-0.07,0.37,-0.48
5299,2,-0.24,-170.97,21.37,-27.73,0.01,-0.07,0.37,-0.49
5322,2,-0.3,-170.96,21.36,-27.74,0.01,-0.06,0.37,-0.49
5341,2,-0.27,-171.06,21.37,-27.74,0,-0.05,0.37,-0.49
5361,2,-0.22,-171.18,21.37,-27.73,0,-0.05,0.37,-0.48
5383,2,-0.23,-171.19,21.37,-27.74,0,-0.06,0.37,-0.49
5402,2,-0.28,-171.08,21.36,-27.74,0.01,-0.07,0.37,-0.49
5424,2,-0.28,-170.85,21.36,-27.75,0.01,-0.08,0.37,-0.49
5445,2,-0.26,-170.79,21.37,-27.77,0,-0.07,0.37,-0.49
5469,2,-0.26,-170.84,21.37,-27.75,0,-0.06,0.37,-0.49
5489,2,-0.27,-170.92,21.36,-27.75,0,-0.06,0.37,-0.49
5508,2,-0.25,-170.97,21.37,-27.73,0,-0.06,0.37,-0.49
5531,2,-0.26,-170.96,21.37,-27.76,0,-0.06,0.37,-0.49
5549,2,-0.28,-170.94,21.36,-27.76,0.01,-0.06,0.37,-0.49
5572,2,-0.27,-170.94,21.37,-27.76,0,-0.06,0.37,-0.49
5591,2,-0.24,-170.93,21.37,-27.75,0,-0.06,0.37,-0.49
5612,2,-0.24,-170.91,21.37,-27.76,0,-0.06,0.37,-0.49
5631,2,-0.26,-170.91,21.37,-27.77,0.01,-0.06,0.37,-0.49
5652,2,-0.27,-170.93,21.37,-27.76,0.01,-0.06,0.37,-0.49
5671,2,-0.27,-170.92,21.37,-27.75,0,-0.06,0.37,-0.49
5692,2,-0.26,-170.88,21.37,-27.76,0,-0.06,0.37,-0.49
5712,2,-0.24,-170.87,21.37,-27.78,0,-0.06,0.37,-0.49
5732,2,-0.24,-170.9,21.37,-27.77,0,-0.06,0.37,-0.49
5751,2,-0.27,-170.92,21.37,-27.76,0.01,-0.06,0.37,-0.49
5773,2,-0.28,-170.91,21.36,-27.78,0.01,-0.06,0.37,-0.49
5794,2,-0.26,-170.89,21.37,-27.78,0,-0.06,0.37,-0.49
5814,2,-0.24,-170.9,21.37,-27.77,0,-0.06,0.37,-0.49
5834,2,-0.24,-170.89,21.37,-27.75,0,-0.06,0.37,-0.49
5853,2,-0.23,-170.87,21.37,-27.75,0,-0.06,0.37,-0.49
5874,2,-0.23,-170.88,21.37,-27.74,0,-0.06,0.37,-0.49
5896,2,-0.25,-170.88,21.37,-27.76,0,-0.06,0.37,-0.49
5918,2,-0.26,-170.89,21.36,-27.76,0.01,-0.06,0.37,-0.49
5941,2,-0.25,-170.88,21.37,-27.75,0,-0.06,0.37,-0.49
