time_ms,pitch_deg,u_deg,motor_pos
3227,3.29,0,0.37
3258,3.29,0,0.37
3289,3.3,0,0.37
3320,3.29,0,0.37
3353,3.29,0,0.37
3385,3.29,0,0.37
3417,3.28,0,0.37
3448,3.28,0,0.37
3479,3.29,0,0.37
3510,3.28,0,0.37
3542,3.29,0,0.37
3575,3.29,0,0.37
3607,3.28,0,0.37
3638,3.29,0,0.37
3669,3.28,0,0.37
3701,3.28,0,0.37
3733,3.29,0,0.37
3764,3.28,0,0.37
3796,3.28,0,0.37
3828,3.28,0,0.37
3859,3.28,0,0.37
3890,3.28,0,0.37
3921,3.28,0,0.37
3953,3.28,0,0.37
3985,3.27,0,0.37
4017,3.28,0,0.37
4049,3.27,0,0.37
4080,3.28,0,0.37
4111,3.28,0,0.37
4142,3.28,0,0.37
4173,3.28,0,0.37
4205,3.28,0,0.37
4238,3.28,0,0.37
4270,3.27,0,0.37
4301,3.27,0,0.37
4332,3.27,0,0.37
4363,3.27,0,0.37
4394,3.27,0,0.37
4427,3.27,0,0.37
4459,3.27,0,0.37
4491,3.27,0,0.37
4522,3.27,0,0.37
4553,3.27,0,0.37
4584,3.27,0,0.37
4615,3.27,0,0.37
4648,3.27,0,0.37
4680,3.28,0,0.37
4712,3.27,0,0.37
4743,3.28,0,0.37
4774,3.27,0,0.37
4805,3.27,0,0.37
4837,3.27,0,0.37
4868,3.27,0,0.37
4901,3.27,0,0.37
4932,3.27,0,0.37
4963,3.27,0,0.37
4994,3.27,0,0.37
5026,3.27,0,0.37
5057,3.27,0,0.37
5090,3.27,0,0.37
5122,3.27,0,0.37
5153,3.27,0,0.37
5184,3.27,0,0.37
5215,3.27,0,0.37
5247,3.27,0,0.37
5279,3.27,0,0.37
5311,3.27,0,0.37
5343,3.27,0,0.37
5374,3.27,0,0.37
5405,3.27,0,0.37
5437,3.27,0,0.37
5468,3.27,0,0.37
5500,3.27,0,0.37
5543,3.27,0,0.37
5575,3.27,0,0.37
5607,3.27,0,0.37
5639,3.27,0,0.37
5670,3.27,0,0.37
5703,3.27,0,0.37
5735,3.25,0,0.37
5766,3.26,0,0.37
5797,3.25,0,0.37
5828,3.24,0,0.37
5860,3.25,0,0.37
5892,3.25,0,0.37
5925,3.25,0,0.37
5956,3.25,0,0.37
5987,3.26,0,0.37
6018,3.25,0,0.37
6049,3.25,0,0.37
6082,3.25,0,0.37
6114,3.25,0,0.37
6146,3.25,0,0.37
6177,3.26,0,0.37
6208,3.25,0,0.37
6239,3.25,0,0.37
6270,3.25,0,0.37
6303,3.25,0,0.37
6335,3.25,0,0.37
6367,3.25,0,0.37
6398,3.25,0,0.37
6429,3.25,0,0.37
6460,3.25,0,0.37
6493,3.25,0,0.37
6524,3.25,0,0.37
6556,3.25,0,0.37
6588,3.25,0,0.37
6619,3.25,0,0.37
6650,3.25,0,0.37
6681,3.25,0,0.37
6713,3.25,0,0.37
6745,3.25,0,0.37
6778,3.25,0,0.37
6809,3.25,0,0.37
6840,3.25,0,0.37
6871,3.25,0,0.37
6902,3.25,0,0.37
6935,3.25,0,0.37
6967,3.25,0,0.37
6999,3.25,0,0.37
7030,3.25,0,0.37
7061,3.25,0,0.37
7092,3.26,0,0.37
7123,3.23,0,0.37
7156,3.24,0,0.37
7188,3.24,0,0.37
7220,3.24,0,0.37
7251,3.23,0,0.37
7282,3.24,0,0.37
7314,3.23,0,0.37
7346,3.24,0,0.37
7378,3.24,0,0.37
7410,3.23,0,0.37
7441,3.23,0,0.37
7472,3.23,0,0.37
7503,3.23,0,0.37
7534,3.23,0,0.37
7567,3.23,0,0.37
7599,3.23,0,0.37
7631,3.23,0,0.37
7662,3.23,0,0.37
7693,3.23,0,0.37
7725,3.23,0,0.37
7756,3.23,0,0.37
7788,3.24,0,0.37
7821,3.24,0.05,0.37
7852,3.24,0.05,0.37
7884,3.18,0.05,0.37
7915,3.06,0.05,0.37
7946,2.93,0.05,0.37
7977,2.83,0.05,0.37
