time_ms,roll_deg,u_deg,motor_pos
2161,-163.49,0,0.46
2193,-163.48,0,0.46
2226,-163.48,0,0.46
2258,-163.48,0,0.46
2290,-163.49,0,0.46
2322,-163.49,0,0.46
2355,-163.48,0,0.46
2387,-163.49,0,0.46
2419,-163.5,0,0.46
2450,-163.5,0,0.46
2483,-163.5,0,0.46
2516,-163.51,0,0.46
2548,-163.51,0,0.46
2580,-163.5,0,0.46
2611,-163.5,0,0.46
2643,-163.5,0,0.46
2676,-163.5,0,0.46
2708,-163.5,0,0.46
2740,-163.51,0,0.46
2772,-163.51,0,0.46
2803,-163.52,0,0.46
2836,-163.52,0,0.46
2869,-163.51,0,0.46
2900,-163.52,0,0.46
2942,-163.52,0,0.46
2975,-163.52,0,0.46
3007,-163.53,0,0.46
3039,-163.53,0,0.46
3071,-163.53,0,0.46
3102,-163.53,0,0.46
3135,-163.52,0,0.46
3168,-163.53,0,0.46
3200,-163.54,0,0.46
3237,-163.53,0,0.46
3270,-163.54,0,0.46
3301,-163.54,0,0.46
3333,-163.54,0,0.46
3365,-163.56,0,0.46
3397,-163.56,0,0.46
3430,-163.56,0,0.46
3462,-163.55,0,0.46
3493,-163.55,0,0.46
3525,-163.55,0,0.46
3557,-163.55,0,0.46
3589,-163.55,0,0.46
3621,-163.55,0,0.46
3653,-163.55,0,0.46
3685,-163.55,0,0.46
3717,-163.55,0,0.46
3750,-163.55,0,0.46
3782,-163.55,0,0.46
3814,-163.55,0,0.46
3845,-163.55,0,0.46
3878,-163.55,0,0.46
3911,-163.55,0,0.46
3942,-163.55,0,0.46
3974,-163.55,0,0.46
4006,-163.55,0,0.46
4038,-163.55,0,0.46
4071,-163.55,0,0.46
4103,-163.55,0,0.46
4135,-163.55,0,0.46
4167,-163.55,0,0.46
4199,-163.55,0,0.46
4232,-163.55,0,0.46
4264,-163.55,0,0.46
4295,-163.55,0,0.46
4327,-163.55,0,0.46
4359,-163.55,0,0.46
4392,-163.55,0,0.46
4424,-163.55,0,0.46
4455,-163.55,0,0.46
4487,-163.55,0,0.46
4520,-163.55,0,0.46
4553,-163.55,0,0.46
4584,-163.55,0,0.46
4616,-163.55,0,0.46
4648,-163.55,0,0.46
4680,-163.55,0,0.46
4713,-163.55,0,0.46
4745,-163.55,0,0.46
4776,-163.56,0,0.46
4808,-163.56,0,0.46
4841,-163.56,0,0.46
4874,-163.56,0,0.46
4906,-163.56,0,0.46
4937,-163.56,0,0.46
4969,-163.56,0,0.46
5002,-163.56,0,0.46
5035,-163.56,0,0.46
5066,-163.56,0,0.46
5098,-163.56,0,0.46
5130,-163.56,0,0.46
5162,-163.56,0,0.46
5194,-163.56,0,0.46
5226,-163.56,0,0.46
5257,-163.54,0,0.46
5288,-163.57,0,0.46
5319,-163.57,0,0.46
5351,-163.55,0,0.46
5383,-163.55,0,0.46
5416,-163.55,0,0.46
5447,-163.55,0,0.46
5478,-163.52,0,0.46
5509,-163.52,0,0.46
5540,-163.55,0,0.46
5573,-163.54,0,0.46
5605,-163.52,0,0.46
5637,-163.52,0,0.46
5668,-163.52,0,0.46
5699,-163.52,0,0.46
5730,-163.51,0,0.46
5761,-163.51,0,0.46
5794,-163.51,0,0.46
5826,-163.51,0,0.46
