time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0000
0.03125,0.0000,0.0000,0.0000,0.0017
0.06250,0.0000,0.0000,0.0000,-0.0029
0.09375,0.0000,-0.0061,0.0061,0.0024
0.12500,0.0000,0.0028,-0.0028,0.0017
0.15625,0.0000,-0.0001,0.0001,-0.0016
0.18750,0.0000,-0.0087,0.0087,0.0030
0.21875,0.0000,-0.0050,0.0050,-0.0016
0.25000,0.0000,-0.0097,0.0097,0.0032
0.28125,0.0000,-0.0023,0.0023,0.0010
0.31250,0.0000,-0.0065,0.0065,0.0006
0.34375,0.0000,-0.0096,0.0096,-0.0024
0.37500,0.0000,-0.0087,0.0087,0.0051
0.40625,0.0000,0.0055,-0.0055,-0.0027
0.43750,0.0000,-0.0042,0.0042,-0.0020
0.46875,0.0000,-0.0002,0.0002,0.0034
0.50000,0.0000,0.0105,-0.0105,-0.0041
0.53125,0.0000,0.0012,-0.0012,0.0028
0.56250,0.0000,0.0075,-0.0075,-0.0020
0.59375,0.0000,-0.0015,0.0015,0.0016
0.62500,0.0000,-0.0009,0.0009,-0.0009
0.65625,0.0000,-0.0056,0.0056,0.0012
0.68750,0.0000,-0.0032,0.0032,0.0029
0.71875,0.0000,-0.0035,0.0035,-0.0003
0.75000,0.0000,-0.0121,0.0121,0.0038
0.78125,0.0000,-0.0111,0.0111,-0.0007
0.81250,0.0000,-0.0175,0.0175,0.0042
0.84375,0.0000,-0.0103,0.0103,0.0019
0.87500,0.0000,-0.0135,0.0135,0.0015
0.90625,0.0000,-0.0152,0.0152,0.0003
0.93750,0.0000,-0.0133,0.0133,0.0048
0.96875,0.0000,-0.0051,0.0051,-0.0005
1.00000,6.0000,5.9873,-5.9873,0.0002
1.03125,6.0000,5.9902,-5.9902,0.1644
1.06250,6.0000,5.9977,-5.9977,0.0498
1.09375,6.0000,5.4169,-5.4169,0.1610
1.12500,6.0000,5.0980,-5.0980,0.2861
1.15625,6.0000,4.7796,-4.7796,0.3482
1.18750,6.0000,4.1973,-4.1973,0.4409
1.21875,6.0000,3.5114,-3.5114,0.5211
1.25000,6.0000,2.8041,-2.8041,0.5821
1.28125,6.0000,2.1991,-2.1991,0.6492
1.31250,6.0000,1.8081,-1.8081,0.7018
1.34375,6.0000,1.5775,-1.5775,0.7476
1.37500,6.0000,1.4231,-1.4231,0.7845
1.40625,6.0000,1.2563,-1.2563,0.8159
1.43750,6.0000,1.0433,-1.0433,0.8415
1.46875,6.0000,0.8026,-0.8026,0.8604
1.50000,6.0000,0.5862,-0.5862,0.8798
1.53125,6.0000,0.4465,-0.4465,0.8964
1.56250,6.0000,0.3809,-0.3809,0.9062
1.59375,6.0000,0.3544,-0.3544,0.9190
1.62500,6.0000,0.3403,-0.3403,0.9293
1.65625,6.0000,0.2986,-0.2986,0.9331
1.68750,6.0000,0.2213,-0.2213,0.9384
1.71875,6.0000,0.1459,-0.1459,0.9428
1.75000,6.0000,0.0965,-0.0965,0.9463
1.78125,6.0000,0.0812,-0.0812,0.9514
1.81250,6.0000,0.0901,-0.0901,0.9530
1.84375,6.0000,0.0953,-0.0953,0.9570
1.87500,6.0000,0.0890,-0.0890,0.9530
1.90625,6.0000,0.0624,-0.0624,0.9608
1.93750,6.0000,0.0487,-0.0487,0.9583
1.96875,6.0000,0.0257,-0.0257,0.9600
2.00000,6.0000,0.0172,-0.0172,0.9626
2.03125,6.0000,0.0194,-0.0194,0.9611
2.06250,6.0000,0.0197,-0.0197,0.9669
2.09375,6.0000,0.0238,-0.0238,0.9653
2.12500,6.0000,0.0078,-0.0078,0.9625
2.15625,6.0000,-0.0097,0.0097,0.9663
2.18750,6.0000,-0.0083,0.0083,0.9665
2.21875,6.0000,-0.0059,0.0059,0.9637
2.25000,6.0000,-0.0048,0.0048,0.9642
2.28125,6.0000,0.0046,-0.0046,0.9628
2.31250,6.0000,0.0139,-0.0139,0.9656
2.34375,6.0000,0.0224,-0.0224,0.9632
2.37500,6.0000,0.0155,-0.0155,0.9631
2.40625,6.0000,0.0087,-0.0087,0.9635
2.43750,6.0000,0.0060,-0.0060,0.9635
2.46875,6.0000,0.0067,-0.0067,0.9634
2.50000,6.0000,0.0101,-0.0101,0.9634
2.53125,6.0000,0.0139,-0.0139,0.9634
2.56250,6.0000,0.0158,-0.0158,0.9601
2.59375,6.0000,0.0150,-0.0150,0.9641
2.62500,6.0000,0.0246,-0.0246,0.9622
2.65625,6.0000,0.0226,-0.0226,0.9580
2.68750,6.0000,0.0190,-0.0190,0.9617
2.71875,6.0000,0.0312,-0.0312,0.9595
2.75000,6.0000,0.0364,-0.0364,0.9593
2.78125,6.0000,0.0404,-0.0404,0.9597
2.81250,6.0000,0.0419,-0.0419,0.9597
2.84375,6.0000,0.0391,-0.0391,0.9613
2.87500,6.0000,0.0346,-0.0346,0.9584
2.90625,6.0000,0.0253,-0.0253,0.9608
2.93750,6.0000,0.0278,-0.0278,0.9626
2.96875,6.0000,0.0299,-0.0299,0.9610
3.00000,6.0000,0.0242,-0.0242,0.9572
3.03125,6.0000,0.0211,-0.0211,0.9671
3.06250,6.0000,0.0356,-0.0356,0.9608
3.09375,6.0000,0.0205,-0.0205,0.9599
3.12500,6.0000,0.0125,-0.0125,0.9615
3.15625,6.0000,0.0183,-0.0183,0.9623
3.18750,6.0000,0.0262,-0.0262,0.9640
3.21875,6.0000,0.0284,-0.0284,0.9605
3.25000,6.0000,0.0187,-0.0187,0.9587
3.28125,6.0000,0.0171,-0.0171,0.9644
3.31250,6.0000,0.0297,-0.0297,0.9615
3.34375,6.0000,0.0263,-0.0263,0.9611
3.37500,6.0000,0.0222,-0.0222,0.9633
3.40625,6.0000,0.0211,-0.0211,0.9621
3.43750,6.0000,0.0153,-0.0153,0.9632
3.46875,6.0000,0.0133,-0.0133,0.9645
3.50000,6.0000,0.0116,-0.0116,0.9654
3.53125,6.0000,0.0065,-0.0065,0.9646
3.56250,6.0000,-0.0015,0.0015,0.9667
3.59375,6.0000,-0.0045,0.0045,0.9648
3.62500,6.0000,-0.0094,0.0094,0.9691
3.65625,6.0000,-0.0061,0.0061,0.9639
