time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0000
0.03125,0.0000,0.0000,0.0000,0.0011
0.06250,0.0000,0.0000,0.0000,-0.0023
0.09375,0.0000,-0.0032,0.0032,0.0023
0.12500,0.0000,0.0025,-0.0025,0.0010
0.15625,0.0000,-0.0006,0.0006,-0.0016
0.18750,0.0000,-0.0058,0.0058,0.0021
0.21875,0.0000,-0.0030,0.0030,-0.0014
0.25000,0.0000,-0.0055,0.0055,0.0029
0.28125,0.0000,-0.0010,0.0010,0.0006
0.31250,0.0000,-0.0053,0.0053,0.0004
0.34375,0.0000,-0.0083,0.0083,-0.0013
0.37500,0.0000,-0.0082,0.0082,0.0043
0.40625,0.0000,-0.0003,0.0003,-0.0026
0.43750,0.0000,-0.0063,0.0063,-0.0012
0.46875,0.0000,-0.0007,0.0007,0.0027
0.50000,0.0000,0.0079,-0.0079,-0.0034
0.53125,0.0000,0.0035,-0.0035,0.0024
0.56250,0.0000,0.0082,-0.0082,-0.0020
0.59375,0.0000,0.0012,-0.0012,0.0011
0.62500,0.0000,0.0006,-0.0006,-0.0010
0.65625,0.0000,-0.0035,0.0035,0.0010
0.68750,0.0000,-0.0023,0.0023,0.0020
0.71875,0.0000,-0.0031,0.0031,-0.0006
0.75000,0.0000,-0.0080,0.0080,0.0028
0.78125,0.0000,-0.0067,0.0067,-0.0007
0.81250,0.0000,-0.0106,0.0106,0.0036
0.84375,0.0000,-0.0071,0.0071,0.0013
0.87500,0.0000,-0.0115,0.0115,0.0011
0.90625,0.0000,-0.0138,0.0138,0.0004
0.93750,0.0000,-0.0127,0.0127,0.0038
0.96875,0.0000,-0.0070,0.0070,-0.0009
1.00000,6.0000,5.9900,-5.9900,0.0005
1.03125,6.0000,5.9947,-5.9947,0.1039
1.06250,6.0000,5.9999,-5.9999,-0.0176
1.09375,6.0000,5.6954,-5.6954,0.0771
1.12500,6.0000,5.6299,-5.6299,0.1695
1.15625,6.0000,5.5184,-5.5184,0.2202
1.18750,6.0000,5.1456,-5.1456,0.2945
1.21875,6.0000,4.5733,-4.5733,0.3592
1.25000,6.0000,3.8777,-3.8777,0.4152
1.28125,6.0000,3.2105,-3.2105,0.4774
1.31250,6.0000,2.7145,-2.7145,0.5331
1.34375,6.0000,2.4131,-2.4131,0.5839
1.37500,6.0000,2.2532,-2.2532,0.6262
1.40625,6.0000,2.1364,-2.1364,0.6646
1.43750,6.0000,1.9829,-1.9829,0.6953
1.46875,6.0000,1.7535,-1.7535,0.7200
1.50000,6.0000,1.4741,-1.4741,0.7450
1.53125,6.0000,1.2103,-1.2103,0.7679
