time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0000
0.03125,0.0000,0.0000,0.0000,0.0017
0.06250,0.0000,0.0000,0.0000,-0.0029
0.09375,0.0000,-0.0058,0.0058,0.0024
0.12500,0.0000,0.0023,-0.0023,0.0017
0.15625,0.0000,-0.0002,0.0002,-0.0016
0.18750,0.0000,-0.0082,0.0082,0.0030
0.21875,0.0000,-0.0051,0.0051,-0.0016
0.25000,0.0000,-0.0097,0.0097,0.0032
0.28125,0.0000,-0.0029,0.0029,0.0010
0.31250,0.0000,-0.0066,0.0066,0.0006
0.34375,0.0000,-0.0093,0.0093,-0.0024
0.37500,0.0000,-0.0085,0.0085,0.0051
0.40625,0.0000,0.0049,-0.0049,-0.0027
0.43750,0.0000,-0.0037,0.0037,-0.0020
0.46875,0.0000,0.0001,-0.0001,0.0034
0.50000,0.0000,0.0102,-0.0102,-0.0041
0.53125,0.0000,0.0016,-0.0016,0.0028
0.56250,0.0000,0.0075,-0.0075,-0.0020
0.59375,0.0000,-0.0011,0.0011,0.0016
0.62500,0.0000,-0.0010,0.0010,-0.0009
0.65625,0.0000,-0.0058,0.0058,0.0012
0.68750,0.0000,-0.0037,0.0037,0.0029
0.71875,0.0000,-0.0038,0.0038,-0.0003
0.75000,0.0000,-0.0116,0.0116,0.0038
0.78125,0.0000,-0.0108,0.0108,-0.0007
0.81250,0.0000,-0.0171,0.0171,0.0042
0.84375,0.0000,-0.0109,0.0109,0.0019
0.87500,0.0000,-0.0140,0.0140,0.0015
0.90625,0.0000,-0.0154,0.0154,0.0003
0.93750,0.0000,-0.0134,0.0134,0.0048
0.96875,0.0000,-0.0052,0.0052,-0.0005
1.00000,6.0000,5.9881,-5.9881,0.0002
1.03125,6.0000,5.9908,-5.9908,0.1644
1.06250,6.0000,5.9975,-5.9975,0.0498
1.09375,6.0000,5.4450,-5.4450,0.1610
1.12500,6.0000,5.1111,-5.1111,0.2861
1.15625,6.0000,4.7668,-4.7668,0.3482
1.18750,6.0000,4.1782,-4.1782,0.4409
1.21875,6.0000,3.4954,-3.4954,0.5211
1.25000,6.0000,2.7927,-2.7927,0.5821
1.28125,6.0000,2.1856,-2.1856,0.6492
1.31250,6.0000,1.7844,-1.7844,0.7018
1.34375,6.0000,1.5487,-1.5487,0.7459
1.37500,6.0000,1.4022,-1.4022,0.7857
1.40625,6.0000,1.2597,-1.2597,0.8147
1.43750,6.0000,1.0608,-1.0608,0.8403
1.46875,6.0000,0.8224,-0.8224,0.8596
1.50000,6.0000,0.5933,-0.5933,0.8789
1.53125,6.0000,0.4329,-0.4329,0.8954
1.56250,6.0000,0.3552,-0.3552,0.9052
1.59375,6.0000,0.3365,-0.3365,0.9181
1.62500,6.0000,0.3458,-0.3458,0.9267
1.65625,6.0000,0.3294,-0.3294,0.9333
1.68750,6.0000,0.2681,-0.2681,0.9362
1.71875,6.0000,0.1763,-0.1763,0.9423
1.75000,6.0000,0.0967,-0.0967,0.9450
1.78125,6.0000,0.0505,-0.0505,0.9512
1.81250,6.0000,0.0509,-0.0509,0.9523
1.84375,6.0000,0.0729,-0.0729,0.9584
1.87500,6.0000,0.1003,-0.1003,0.9525
1.90625,6.0000,0.0973,-0.0973,0.9628
1.93750,6.0000,0.0886,-0.0886,0.9580
1.96875,6.0000,0.0413,-0.0413,0.9597
2.00000,6.0000,0.0000,-0.0000,0.9627
2.03125,6.0000,-0.0209,0.0209,0.9611
2.06250,6.0000,-0.0224,0.0224,0.9652
2.09375,6.0000,0.0019,-0.0019,0.9648
2.12500,6.0000,0.0242,-0.0242,0.9625
2.15625,6.0000,0.0365,-0.0365,0.9639
2.18750,6.0000,0.0413,-0.0413,0.9644
2.21875,6.0000,0.0301,-0.0301,0.9636
2.25000,6.0000,0.0061,-0.0061,0.9611
2.28125,6.0000,-0.0158,0.0158,0.9638
2.31250,6.0000,-0.0161,0.0161,0.9638
2.34375,6.0000,-0.0058,0.0058,0.9633
2.37500,6.0000,0.0113,-0.0113,0.9634
2.40625,6.0000,0.0294,-0.0294,0.9635
2.43750,6.0000,0.0400,-0.0400,0.9634
2.46875,6.0000,0.0375,-0.0375,0.9634
2.50000,6.0000,0.0227,-0.0227,0.9651
2.53125,6.0000,0.0024,-0.0024,0.9622
2.56250,6.0000,-0.0196,0.0196,0.9613
2.59375,6.0000,-0.0216,0.0216,0.9654
2.62500,6.0000,-0.0001,0.0001,0.9614
2.65625,6.0000,0.0186,-0.0186,0.9585
2.68750,6.0000,0.0411,-0.0411,0.9626
2.71875,6.0000,0.0656,-0.0656,0.9580
2.75000,6.0000,0.0630,-0.0630,0.9582
2.78125,6.0000,0.0517,-0.0517,0.9606
2.81250,6.0000,0.0356,-0.0356,0.9575
2.84375,6.0000,0.0143,-0.0143,0.9615
2.87500,6.0000,0.0109,-0.0109,0.9587
2.90625,6.0000,0.0131,-0.0131,0.9608
2.93750,6.0000,0.0316,-0.0316,0.9625
2.96875,6.0000,0.0495,-0.0495,0.9593
3.00000,6.0000,0.0514,-0.0514,0.9601
3.03125,6.0000,0.0482,-0.0482,0.9647
3.06250,6.0000,0.0369,-0.0369,0.9624
3.09375,6.0000,0.0061,-0.0061,0.9591
3.12500,6.0000,-0.0179,0.0179,0.9627
3.15625,6.0000,-0.0107,0.0107,0.9635
3.18750,6.0000,0.0093,-0.0093,0.9632
3.21875,6.0000,0.0295,-0.0295,0.9609
3.25000,6.0000,0.0418,-0.0418,0.9597
3.28125,6.0000,0.0484,-0.0484,0.9629
3.31250,6.0000,0.0488,-0.0488,0.9603
3.34375,6.0000,0.0299,-0.0299,0.9603
3.37500,6.0000,0.0110,-0.0110,0.9624
3.40625,6.0000,0.0019,-0.0019,0.9611
3.43750,6.0000,0.0002,-0.0002,0.9623
3.46875,6.0000,0.0126,-0.0126,0.9618
3.50000,6.0000,0.0293,-0.0293,0.9656
3.53125,6.0000,0.0434,-0.0434,0.9624
3.56250,6.0000,0.0345,-0.0345,0.9645
3.59375,6.0000,0.0193,-0.0193,0.9647
3.62500,6.0000,-0.0029,0.0029,0.9677
3.65625,6.0000,-0.0216,0.0216,0.9620
