time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0042
0.03125,0.0000,0.0000,0.0000,-0.0083
0.06250,0.0000,-0.0139,0.0139,0.0069
0.09375,0.0000,0.0097,-0.0097,-0.0020
0.12500,0.0000,0.0009,-0.0009,0.0006
0.15625,0.0000,-0.0001,0.0001,0.0040
0.18750,0.0000,-0.0028,0.0028,-0.0082
0.21875,0.0000,-0.0169,0.0169,0.0069
0.25000,0.0000,0.0080,-0.0080,-0.0020
0.28125,0.0000,0.0011,-0.0011,0.0006
0.31250,0.0000,0.0016,-0.0016,-0.0085
0.34375,0.0000,-0.0008,0.0008,0.0124
0.37500,0.0000,0.0261,-0.0261,-0.0097
0.40625,0.0000,-0.0072,0.0072,0.0012
0.43750,0.0000,0.0017,-0.0017,0.0022
0.46875,0.0000,0.0039,-0.0039,-0.0093
0.50000,0.0000,-0.0038,0.0038,0.0098
0.53125,0.0000,0.0230,-0.0230,-0.0073
0.56250,0.0000,0.0001,-0.0001,0.0063
0.59375,0.0000,0.0058,-0.0058,-0.0047
0.62500,0.0000,-0.0137,0.0137,0.0030
0.65625,0.0000,-0.0066,0.0066,0.0049
0.68750,0.0000,-0.0073,0.0073,-0.0027
0.71875,0.0000,-0.0203,0.0203,0.0081
0.75000,0.0000,-0.0111,0.0111,-0.0063
0.78125,0.0000,-0.0249,0.0249,0.0094
0.81250,0.0000,-0.0021,0.0021,0.0004
0.84375,0.0000,-0.0140,0.0140,0.0030
0.87500,0.0000,-0.0177,0.0177,-0.0019
0.90625,0.0000,-0.0215,0.0215,0.0108
0.93750,0.0000,-0.0070,0.0070,-0.0086
0.96875,0.0000,-0.0275,0.0275,0.0044
1.00000,6.0000,5.9991,-5.9991,0.3983
1.03125,6.0000,6.0066,-6.0066,0.0090
1.06250,6.0000,4.6746,-4.6746,0.2698
1.09375,6.0000,4.2524,-4.2524,0.2579
1.12500,6.0000,3.9240,-3.9240,0.4444
1.15625,6.0000,3.8856,-3.8856,0.5078
1.18750,6.0000,3.4801,-3.4801,0.6111
1.21875,6.0000,2.7753,-2.7753,0.6471
1.25000,6.0000,1.8509,-1.8509,0.7134
1.28125,6.0000,1.1133,-1.1133,0.7503
1.31250,6.0000,0.6957,-0.6957,0.8065
1.34375,6.0000,0.6370,-0.6370,0.8385
1.37500,6.0000,0.7149,-0.7149,0.8736
1.40625,6.0000,0.7564,-0.7564,0.8919
1.43750,6.0000,0.6286,-0.6286,0.8966
1.46875,6.0000,0.3681,-0.3681,0.9059
1.50000,6.0000,0.1206,-0.1206,0.9154
1.53125,6.0000,-0.0168,0.0168,0.9121
1.56250,6.0000,-0.0235,0.0235,0.9289
1.59375,6.0000,0.0916,-0.0916,0.9384
1.62500,6.0000,0.1891,-0.1891,0.9421
1.65625,6.0000,0.1892,-0.1892,0.9349
1.68750,6.0000,0.0971,-0.0971,0.9373
1.71875,6.0000,0.0020,-0.0020,0.9330
1.75000,6.0000,-0.0534,0.0534,0.9406
1.78125,6.0000,-0.0326,0.0326,0.9387
1.81250,6.0000,0.0141,-0.0141,0.9463
1.84375,6.0000,0.0638,-0.0638,0.9355
1.87500,6.0000,0.0644,-0.0644,0.9540
1.90625,6.0000,0.0606,-0.0606,0.9342
1.93750,6.0000,-0.0067,0.0067,0.9502
1.96875,6.0000,-0.0243,0.0243,0.9400
2.00000,6.0000,-0.0454,0.0454,0.9407
2.03125,6.0000,-0.0243,0.0243,0.9520
2.06250,6.0000,0.0179,-0.0179,0.9443
2.09375,6.0000,0.0173,-0.0173,0.9424
2.12500,6.0000,0.0080,-0.0080,0.9458
2.15625,6.0000,0.0027,-0.0027,0.9474
2.18750,6.0000,-0.0079,0.0079,0.9466
2.21875,6.0000,-0.0227,0.0227,0.9398
2.25000,6.0000,-0.0304,0.0304,0.9421
2.28125,6.0000,-0.0055,0.0055,0.9443
2.31250,6.0000,0.0253,-0.0253,0.9463
2.34375,6.0000,0.0374,-0.0374,0.9412
2.37500,6.0000,0.0211,-0.0211,0.9469
2.40625,6.0000,0.0072,-0.0072,0.9423
2.43750,6.0000,-0.0164,0.0164,0.9411
2.46875,6.0000,-0.0203,0.0203,0.9459
2.50000,6.0000,-0.0017,0.0017,0.9403
2.53125,6.0000,0.0092,-0.0092,0.9407
2.56250,6.0000,0.0268,-0.0268,0.9460
2.59375,6.0000,0.0394,-0.0394,0.9426
2.62500,6.0000,0.0233,-0.0233,0.9350
2.65625,6.0000,0.0037,-0.0037,0.9442
2.68750,6.0000,0.0171,-0.0171,0.9329
2.71875,6.0000,0.0195,-0.0195,0.9433
2.75000,6.0000,0.0494,-0.0494,0.9358
2.78125,6.0000,0.0516,-0.0516,0.9380
2.81250,6.0000,0.0548,-0.0548,0.9415
2.84375,6.0000,0.0500,-0.0500,0.9334
2.87500,6.0000,0.0293,-0.0293,0.9402
2.90625,6.0000,0.0335,-0.0335,0.9424
2.93750,6.0000,0.0331,-0.0331,0.9389
2.96875,6.0000,0.0218,-0.0218,0.9332
3.00000,6.0000,0.0194,-0.0194,0.9463
