time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0040
0.03125,0.0000,0.0000,0.0000,-0.0074
0.06250,0.0000,-0.0128,0.0128,0.0062
0.09375,0.0000,0.0064,-0.0064,-0.0018
0.12500,0.0000,-0.0002,0.0002,0.0005
0.15625,0.0000,-0.0000,0.0000,0.0039
0.18750,0.0000,-0.0015,0.0015,-0.0074
0.21875,0.0000,-0.0144,0.0144,0.0062
0.25000,0.0000,0.0054,-0.0054,-0.0018
0.28125,0.0000,-0.0001,0.0001,0.0005
0.31250,0.0000,0.0009,-0.0009,-0.0082
0.34375,0.0000,-0.0003,0.0003,0.0109
0.37500,0.0000,0.0248,-0.0248,-0.0090
0.40625,0.0000,-0.0010,0.0010,0.0008
0.43750,0.0000,0.0061,-0.0061,0.0020
0.46875,0.0000,0.0066,-0.0066,-0.0047
0.50000,0.0000,-0.0026,0.0026,0.0054
0.53125,0.0000,0.0056,-0.0056,-0.0038
0.56250,0.0000,-0.0071,0.0071,0.0069
0.59375,0.0000,-0.0023,0.0023,-0.0024
0.62500,0.0000,-0.0189,0.0189,0.0044
0.65625,0.0000,-0.0158,0.0158,0.0024
0.68750,0.0000,-0.0189,0.0189,0.0030
0.71875,0.0000,-0.0196,0.0196,0.0028
0.75000,0.0000,-0.0196,0.0196,-0.0012
0.78125,0.0000,-0.0185,0.0185,0.0022
0.81250,0.0000,-0.0044,0.0044,0.0035
0.84375,0.0000,0.0028,-0.0028,-0.0010
0.87500,0.0000,-0.0034,0.0034,0.0003
0.90625,0.0000,-0.0039,0.0039,0.0039
0.93750,0.0000,-0.0033,0.0033,-0.0034
0.96875,0.0000,-0.0137,0.0137,-0.0012
1.00000,6.0000,5.9952,-5.9952,0.3863
1.03125,6.0000,6.0092,-6.0092,0.0599
1.06250,6.0000,4.7893,-4.7893,0.3249
1.09375,6.0000,4.1715,-4.1715,0.3483
1.12500,6.0000,3.5453,-3.5453,0.5202
1.15625,6.0000,3.1605,-3.1605,0.5944
1.18750,6.0000,2.6362,-2.6362,0.6944
1.21875,6.0000,2.0252,-2.0252,0.7435
1.25000,6.0000,1.3327,-1.3327,0.8093
1.28125,6.0000,0.7649,-0.7649,0.8417
1.31250,6.0000,0.3827,-0.3827,0.8838
1.34375,6.0000,0.2511,-0.2511,0.9002
1.37500,6.0000,0.2689,-0.2689,0.9271
1.40625,6.0000,0.3554,-0.3554,0.9349
1.43750,6.0000,0.3721,-0.3721,0.9480
1.46875,6.0000,0.2953,-0.2953,0.9471
1.50000,6.0000,0.1341,-0.1341,0.9583
1.53125,6.0000,-0.0158,0.0158,0.9500
1.56250,6.0000,-0.1162,0.1162,0.9563
1.59375,6.0000,-0.0959,0.0959,0.9673
1.62500,6.0000,-0.0011,0.0011,0.9645
1.65625,6.0000,0.0764,-0.0764,0.9634
1.68750,6.0000,0.1090,-0.1090,0.9636
1.71875,6.0000,0.0893,-0.0893,0.9613
1.75000,6.0000,0.0323,-0.0323,0.9678
1.78125,6.0000,-0.0219,0.0219,0.9575
1.81250,6.0000,-0.0676,0.0676,0.9686
1.84375,6.0000,-0.0493,0.0493,0.9574
1.87500,6.0000,-0.0193,0.0193,0.9732
1.90625,6.0000,0.0429,-0.0429,0.9605
1.93750,6.0000,0.0519,-0.0519,0.9681
1.96875,6.0000,0.0508,-0.0508,0.9677
2.00000,6.0000,0.0158,-0.0158,0.9593
2.03125,6.0000,-0.0307,0.0307,0.9739
2.06250,6.0000,-0.0381,0.0381,0.9635
2.09375,6.0000,-0.0546,0.0546,0.9665
2.12500,6.0000,-0.0361,0.0361,0.9639
2.15625,6.0000,-0.0051,0.0051,0.9691
2.18750,6.0000,0.0306,-0.0306,0.9657
2.21875,6.0000,0.0359,-0.0359,0.9626
2.25000,6.0000,0.0224,-0.0224,0.9635
2.28125,6.0000,0.0079,-0.0079,0.9632
2.31250,6.0000,-0.0043,0.0043,0.9633
2.34375,6.0000,-0.0083,0.0083,0.9633
2.37500,6.0000,-0.0029,0.0029,0.9633
2.40625,6.0000,0.0093,-0.0093,0.9633
2.43750,6.0000,0.0225,-0.0225,0.9633
2.46875,6.0000,0.0310,-0.0310,0.9633
2.50000,6.0000,0.0309,-0.0309,0.9633
2.53125,6.0000,0.0225,-0.0225,0.9593
2.56250,6.0000,0.0097,-0.0097,0.9627
2.59375,6.0000,0.0112,-0.0112,0.9639
2.62500,6.0000,0.0130,-0.0130,0.9554
2.65625,6.0000,0.0111,-0.0111,0.9641
2.68750,6.0000,0.0352,-0.0352,0.9535
2.71875,6.0000,0.0429,-0.0429,0.9629
2.75000,6.0000,0.0671,-0.0671,0.9601
2.78125,6.0000,0.0631,-0.0631,0.9546
2.81250,6.0000,0.0444,-0.0444,0.9643
2.84375,6.0000,0.0388,-0.0388,0.9552
2.87500,6.0000,0.0155,-0.0155,0.9619
2.90625,6.0000,0.0179,-0.0179,0.9640
2.93750,6.0000,0.0206,-0.0206,0.9571
