time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0042
0.03125,0.0000,0.0000,0.0000,-0.0083
0.06250,0.0000,-0.0133,0.0133,0.0069
0.09375,0.0000,0.0085,-0.0085,-0.0020
0.12500,0.0000,0.0007,-0.0007,0.0006
0.15625,0.0000,0.0002,-0.0002,0.0040
0.18750,0.0000,-0.0022,0.0022,-0.0082
0.21875,0.0000,-0.0159,0.0159,0.0069
0.25000,0.0000,0.0067,-0.0067,-0.0020
0.28125,0.0000,0.0005,-0.0005,0.0006
0.31250,0.0000,0.0015,-0.0015,-0.0085
0.34375,0.0000,-0.0003,0.0003,0.0124
0.37500,0.0000,0.0254,-0.0254,-0.0097
0.40625,0.0000,-0.0052,0.0052,0.0012
0.43750,0.0000,0.0023,-0.0023,0.0022
0.46875,0.0000,0.0035,-0.0035,-0.0051
0.50000,0.0000,-0.0044,0.0044,0.0057
0.53125,0.0000,0.0075,-0.0075,-0.0045
0.56250,0.0000,-0.0041,0.0041,0.0071
0.59375,0.0000,0.0026,-0.0026,-0.0034
0.62500,0.0000,-0.0155,0.0155,0.0041
0.65625,0.0000,-0.0123,0.0123,0.0061
0.68750,0.0000,-0.0167,0.0167,-0.0015
0.71875,0.0000,-0.0315,0.0315,0.0052
0.75000,0.0000,-0.0234,0.0234,-0.0009
0.78125,0.0000,-0.0213,0.0213,0.0037
0.81250,0.0000,-0.0057,0.0057,0.0050
0.84375,0.0000,-0.0015,0.0015,0.0001
0.87500,0.0000,-0.0130,0.0130,0.0015
0.90625,0.0000,-0.0167,0.0167,0.0053
0.93750,0.0000,-0.0165,0.0165,-0.0028
0.96875,0.0000,-0.0250,0.0250,-0.0002
1.00000,6.0000,5.9894,-5.9894,0.4012
1.03125,6.0000,6.0076,-6.0076,0.0097
1.06250,6.0000,4.7410,-4.7410,0.2712
1.09375,6.0000,4.2715,-4.2715,0.2674
1.12500,6.0000,3.8790,-3.8790,0.4375
1.15625,6.0000,3.7638,-3.7638,0.5104
1.18750,6.0000,3.4008,-3.4008,0.6096
1.21875,6.0000,2.7778,-2.7778,0.6523
1.25000,6.0000,1.9286,-1.9286,0.7148
1.28125,6.0000,1.1749,-1.1749,0.7566
1.31250,6.0000,0.6795,-0.6795,0.8015
1.34375,6.0000,0.5188,-0.5188,0.8387
1.37500,6.0000,0.5815,-0.5815,0.8684
1.40625,6.0000,0.6853,-0.6853,0.8899
1.43750,6.0000,0.6766,-0.6766,0.9017
1.46875,6.0000,0.5058,-0.5058,0.9067
1.50000,6.0000,0.2419,-0.2419,0.9143
1.53125,6.0000,0.0128,-0.0128,0.9102
1.56250,6.0000,-0.0964,0.0964,0.9263
1.59375,6.0000,-0.0334,0.0334,0.9337
1.62500,6.0000,0.0965,-0.0965,0.9412
1.65625,6.0000,0.1974,-0.1974,0.9384
1.68750,6.0000,0.1998,-0.1998,0.9376
1.71875,6.0000,0.1235,-0.1235,0.9339
1.75000,6.0000,0.0173,-0.0173,0.9426
1.78125,6.0000,-0.0531,0.0531,0.9349
1.81250,6.0000,-0.0864,0.0864,0.9461
1.84375,6.0000,-0.0449,0.0449,0.9304
1.87500,6.0000,0.0074,-0.0074,0.9561
1.90625,6.0000,0.0967,-0.0967,0.9352
1.93750,6.0000,0.0921,-0.0921,0.9496
1.96875,6.0000,0.0757,-0.0757,0.9396
2.00000,6.0000,0.0080,-0.0080,0.9415
2.03125,6.0000,-0.0412,0.0412,0.9470
2.06250,6.0000,-0.0586,0.0586,0.9429
2.09375,6.0000,-0.0574,0.0574,0.9402
2.12500,6.0000,-0.0248,0.0248,0.9468
2.15625,6.0000,0.0301,-0.0301,0.9500
2.18750,6.0000,0.0585,-0.0585,0.9443
2.21875,6.0000,0.0403,-0.0403,0.9431
2.25000,6.0000,0.0080,-0.0080,0.9408
2.28125,6.0000,-0.0197,0.0197,0.9460
2.31250,6.0000,-0.0257,0.0257,0.9445
2.34375,6.0000,-0.0280,0.0280,0.9449
2.37500,6.0000,-0.0201,0.0201,0.9448
2.40625,6.0000,-0.0059,0.0059,0.9448
2.43750,6.0000,0.0100,-0.0100,0.9448
2.46875,6.0000,0.0215,-0.0215,0.9448
2.50000,6.0000,0.0234,-0.0234,0.9448
2.53125,6.0000,0.0139,-0.0139,0.9406
2.56250,6.0000,-0.0037,0.0037,0.9447
2.59375,6.0000,-0.0086,0.0086,0.9461
2.62500,6.0000,-0.0142,0.0142,0.9371
2.65625,6.0000,-0.0205,0.0205,0.9426
2.68750,6.0000,0.0073,-0.0073,0.9394
2.71875,6.0000,0.0355,-0.0355,0.9429
2.75000,6.0000,0.0615,-0.0615,0.9375
2.78125,6.0000,0.0608,-0.0608,0.9391
2.81250,6.0000,0.0530,-0.0530,0.9427
2.84375,6.0000,0.0350,-0.0350,0.9346
2.87500,6.0000,0.0034,-0.0034,0.9415
2.90625,6.0000,0.0019,-0.0019,0.9436
2.93750,6.0000,0.0066,-0.0066,0.9359
2.96875,6.0000,0.0102,-0.0102,0.9343
3.00000,6.0000,0.0381,-0.0381,0.9489
