time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0007
0.03125,0.0000,0.0000,0.0000,-0.0004
0.06250,0.0000,-0.0027,0.0027,0.0003
0.09375,0.0000,-0.0017,0.0017,0.0009
0.12500,0.0000,-0.0011,0.0011,0.0004
0.15625,0.0000,-0.0033,0.0033,0.0014
0.18750,0.0000,-0.0048,0.0048,0.0004
0.21875,0.0000,-0.0084,0.0084,0.0013
0.25000,0.0000,-0.0080,0.0080,0.0013
0.28125,0.0000,-0.0077,0.0077,0.0012
0.31250,0.0000,-0.0076,0.0076,-0.0003
0.34375,0.0000,-0.0075,0.0075,0.0014
0.37500,0.0000,-0.0021,0.0021,0.0003
0.40625,0.0000,-0.0014,0.0014,-0.0006
0.43750,0.0000,-0.0009,0.0009,0.0006
0.46875,0.0000,0.0021,-0.0021,-0.0010
0.50000,0.0000,0.0013,-0.0013,0.0003
0.53125,0.0000,0.0035,-0.0035,-0.0004
0.56250,0.0000,0.0022,-0.0022,0.0005
0.59375,0.0000,0.0014,-0.0014,0.0001
0.62500,0.0000,-0.0017,0.0017,0.0005
0.65625,0.0000,-0.0038,0.0038,0.0015
0.68750,0.0000,-0.0051,0.0051,0.0012
0.71875,0.0000,-0.0085,0.0085,0.0024
0.75000,0.0000,-0.0107,0.0107,0.0014
0.78125,0.0000,-0.0148,0.0148,0.0024
0.81250,0.0000,-0.0147,0.0147,0.0024
0.84375,0.0000,-0.0147,0.0147,0.0024
0.87500,0.0000,-0.0147,0.0147,0.0016
0.90625,0.0000,-0.0147,0.0147,0.0028
0.93750,0.0000,-0.0120,0.0120,0.0020
0.96875,0.0000,-0.0130,0.0130,0.0014
1.00000,6.0000,5.9864,-5.9864,0.0723
1.03125,6.0000,5.9887,-5.9887,0.1006
1.06250,6.0000,5.7383,-5.7383,0.1584
1.09375,6.0000,5.3237,-5.3237,0.2344
1.12500,6.0000,4.8064,-4.8064,0.3191
1.15625,6.0000,4.2305,-4.2305,0.4081
1.18750,6.0000,3.6351,-3.6351,0.4963
1.21875,6.0000,3.0479,-3.0479,0.5794
1.25000,6.0000,2.4898,-2.4898,0.6571
1.28125,6.0000,1.9797,-1.9797,0.7272
1.31250,6.0000,1.5244,-1.5244,0.7884
1.34375,6.0000,1.1254,-1.1254,0.8405
1.37500,6.0000,0.7834,-0.7834,0.8850
1.40625,6.0000,0.4984,-0.4984,0.9216
1.43750,6.0000,0.2652,-0.2652,0.9506
1.46875,6.0000,0.0776,-0.0776,0.9733
1.50000,6.0000,-0.0681,0.0681,0.9914
1.53125,6.0000,-0.1770,0.1770,1.0028
1.56250,6.0000,-0.2575,0.2575,1.0110
1.59375,6.0000,-0.3094,0.3094,1.0157
1.62500,6.0000,-0.3371,0.3371,1.0177
1.65625,6.0000,-0.3460,0.3460,1.0173
1.68750,6.0000,-0.3416,0.3416,1.0153
1.71875,6.0000,-0.3274,0.3274,1.0113
1.75000,6.0000,-0.3061,0.3061,1.0077
1.78125,6.0000,-0.2771,0.2771,1.0026
1.81250,6.0000,-0.2453,0.2453,0.9978
1.84375,6.0000,-0.2112,0.2112,0.9914
1.87500,6.0000,-0.1777,0.1777,0.9870
1.90625,6.0000,-0.1413,0.1413,0.9812
1.93750,6.0000,-0.1075,0.1075,0.9766
1.96875,6.0000,-0.0749,0.0749,0.9725
2.00000,6.0000,-0.0453,0.0453,0.9676
2.03125,6.0000,-0.0204,0.0204,0.9653
2.06250,6.0000,0.0036,-0.0036,0.9629
2.09375,6.0000,0.0214,-0.0214,0.9593
2.12500,6.0000,0.0323,-0.0323,0.9574
2.15625,6.0000,0.0441,-0.0441,0.9561
2.18750,6.0000,0.0567,-0.0567,0.9549
2.21875,6.0000,0.0676,-0.0676,0.9536
2.25000,6.0000,0.0748,-0.0748,0.9521
2.28125,6.0000,0.0795,-0.0795,0.9520
2.31250,6.0000,0.0851,-0.0851,0.9521
2.34375,6.0000,0.0883,-0.0883,0.9513
2.37500,6.0000,0.0873,-0.0873,0.9515
2.40625,6.0000,0.0862,-0.0862,0.9523
2.43750,6.0000,0.0854,-0.0854,0.9520
2.46875,6.0000,0.0821,-0.0821,0.9524
2.50000,6.0000,0.0799,-0.0799,0.9527
2.53125,6.0000,0.0784,-0.0784,0.9514
2.56250,6.0000,0.0773,-0.0773,0.9517
2.59375,6.0000,0.0816,-0.0816,0.9517
2.62500,6.0000,0.0868,-0.0868,0.9503
2.65625,6.0000,0.0900,-0.0900,0.9504
2.68750,6.0000,0.0946,-0.0946,0.9499
2.71875,6.0000,0.0974,-0.0974,0.9496
2.75000,6.0000,0.0990,-0.0990,0.9494
2.78125,6.0000,0.0998,-0.0998,0.9493
2.81250,6.0000,0.1000,-0.1000,0.9501
2.84375,6.0000,0.0998,-0.0998,0.9497
2.87500,6.0000,0.0967,-0.0967,0.9501
2.90625,6.0000,0.0945,-0.0945,0.9511
2.93750,6.0000,0.0929,-0.0929,0.9516
2.96875,6.0000,0.0890,-0.0890,0.9510
3.00000,6.0000,0.0836,-0.0836,0.9521
3.03125,6.0000,0.0824,-0.0824,0.9530
3.06250,6.0000,0.0814,-0.0814,0.9527
3.09375,6.0000,0.0779,-0.0779,0.9524
3.12500,6.0000,0.0754,-0.0754,0.9524
3.15625,6.0000,0.0762,-0.0762,0.9536
3.18750,6.0000,0.0791,-0.0791,0.9528
3.21875,6.0000,0.0781,-0.0781,0.9522
3.25000,6.0000,0.0772,-0.0772,0.9520
3.28125,6.0000,0.0790,-0.0790,0.9523
3.31250,6.0000,0.0825,-0.0825,0.9519
