time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0007
0.03125,0.0000,0.0000,0.0000,-0.0004
0.06250,0.0000,-0.0024,0.0024,0.0003
0.09375,0.0000,-0.0017,0.0017,0.0009
0.12500,0.0000,-0.0013,0.0013,0.0004
0.15625,0.0000,-0.0033,0.0033,0.0014
0.18750,0.0000,-0.0046,0.0046,0.0004
0.21875,0.0000,-0.0080,0.0080,0.0013
0.25000,0.0000,-0.0081,0.0081,0.0013
0.28125,0.0000,-0.0082,0.0082,0.0012
0.31250,0.0000,-0.0081,0.0081,-0.0003
0.34375,0.0000,-0.0077,0.0077,0.0014
0.37500,0.0000,-0.0026,0.0026,0.0003
0.40625,0.0000,-0.0012,0.0012,-0.0006
0.43750,0.0000,-0.0002,0.0002,0.0006
0.46875,0.0000,0.0025,-0.0025,-0.0010
0.50000,0.0000,0.0018,-0.0018,0.0003
0.53125,0.0000,0.0034,-0.0034,-0.0004
0.56250,0.0000,0.0021,-0.0021,0.0005
0.59375,0.0000,0.0013,-0.0013,0.0001
0.62500,0.0000,-0.0016,0.0016,0.0005
0.65625,0.0000,-0.0035,0.0035,0.0015
0.68750,0.0000,-0.0050,0.0050,0.0012
0.71875,0.0000,-0.0084,0.0084,0.0024
0.75000,0.0000,-0.0108,0.0108,0.0014
0.78125,0.0000,-0.0149,0.0149,0.0024
0.81250,0.0000,-0.0153,0.0153,0.0024
0.84375,0.0000,-0.0153,0.0153,0.0024
0.87500,0.0000,-0.0151,0.0151,0.0016
0.90625,0.0000,-0.0146,0.0146,0.0028
0.93750,0.0000,-0.0119,0.0119,0.0020
0.96875,0.0000,-0.0124,0.0124,0.0014
1.00000,6.0000,5.9870,-5.9870,0.0723
1.03125,6.0000,5.9886,-5.9886,0.1006
1.06250,6.0000,5.7660,-5.7660,0.1584
1.09375,6.0000,5.3752,-5.3752,0.2351
1.12500,6.0000,4.8564,-4.8564,0.3201
1.15625,6.0000,4.2500,-4.2500,0.4098
1.18750,6.0000,3.6098,-3.6098,0.4981
1.21875,6.0000,2.9848,-2.9848,0.5818
1.25000,6.0000,2.4130,-2.4130,0.6592
1.28125,6.0000,1.9134,-1.9134,0.7285
1.31250,6.0000,1.4842,-1.4842,0.7897
1.34375,6.0000,1.1128,-1.1128,0.8415
1.37500,6.0000,0.7844,-0.7844,0.8852
1.40625,6.0000,0.4949,-0.4949,0.9213
1.43750,6.0000,0.2475,-0.2475,0.9499
1.46875,6.0000,0.0489,-0.0489,0.9725
1.50000,6.0000,-0.0959,0.0959,0.9904
1.53125,6.0000,-0.1910,0.1910,1.0018
1.56250,6.0000,-0.2516,0.2516,1.0100
1.59375,6.0000,-0.2885,0.2885,1.0154
1.62500,6.0000,-0.3140,0.3140,1.0178
1.65625,6.0000,-0.3357,0.3357,1.0173
1.68750,6.0000,-0.3517,0.3517,1.0159
1.71875,6.0000,-0.3531,0.3531,1.0124
1.75000,6.0000,-0.3355,0.3355,1.0083
1.78125,6.0000,-0.2977,0.2977,1.0032
1.81250,6.0000,-0.2477,0.2477,0.9987
1.84375,6.0000,-0.1961,0.1961,0.9919
1.87500,6.0000,-0.1562,0.1562,0.9872
1.90625,6.0000,-0.1269,0.1269,0.9821
1.93750,6.0000,-0.1085,0.1085,0.9777
1.96875,6.0000,-0.0932,0.0932,0.9735
2.00000,6.0000,-0.0739,0.0739,0.9693
2.03125,6.0000,-0.0461,0.0461,0.9668
2.06250,6.0000,-0.0102,0.0102,0.9645
2.09375,6.0000,0.0236,-0.0236,0.9614
2.12500,6.0000,0.0454,-0.0454,0.9592
2.15625,6.0000,0.0545,-0.0545,0.9585
2.18750,6.0000,0.0532,-0.0532,0.9570
2.21875,6.0000,0.0442,-0.0442,0.9553
2.25000,6.0000,0.0379,-0.0379,0.9546
2.28125,6.0000,0.0432,-0.0432,0.9538
2.31250,6.0000,0.0598,-0.0598,0.9537
2.34375,6.0000,0.0819,-0.0819,0.9531
2.37500,6.0000,0.0987,-0.0987,0.9528
2.40625,6.0000,0.1036,-0.1036,0.9535
2.43750,6.0000,0.0951,-0.0951,0.9531
2.46875,6.0000,0.0757,-0.0757,0.9543
2.50000,6.0000,0.0567,-0.0567,0.9543
2.53125,6.0000,0.0441,-0.0441,0.9535
2.56250,6.0000,0.0446,-0.0446,0.9542
2.59375,6.0000,0.0604,-0.0604,0.9537
2.62500,6.0000,0.0805,-0.0805,0.9531
2.65625,6.0000,0.0959,-0.0959,0.9531
2.68750,6.0000,0.1007,-0.1007,0.9526
2.71875,6.0000,0.0922,-0.0922,0.9524
2.75000,6.0000,0.0765,-0.0765,0.9524
2.78125,6.0000,0.0626,-0.0626,0.9517
2.81250,6.0000,0.0578,-0.0578,0.9523
2.84375,6.0000,0.0667,-0.0667,0.9522
2.87500,6.0000,0.0827,-0.0827,0.9523
2.90625,6.0000,0.0980,-0.0980,0.9532
2.93750,6.0000,0.1048,-0.1048,0.9537
2.96875,6.0000,0.0968,-0.0968,0.9531
3.00000,6.0000,0.0769,-0.0769,0.9551
3.03125,6.0000,0.0575,-0.0575,0.9557
3.06250,6.0000,0.0416,-0.0416,0.9551
3.09375,6.0000,0.0357,-0.0357,0.9549
3.12500,6.0000,0.0448,-0.0448,0.9547
3.15625,6.0000,0.0643,-0.0643,0.9552
3.18750,6.0000,0.0844,-0.0844,0.9545
3.21875,6.0000,0.0927,-0.0927,0.9534
3.25000,6.0000,0.0874,-0.0874,0.9537
3.28125,6.0000,0.0751,-0.0751,0.9534
3.31250,6.0000,0.0607,-0.0607,0.9534
