time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0009
0.03125,0.0000,0.0000,0.0000,-0.0007
0.06250,0.0000,-0.0030,0.0030,0.0004
0.09375,0.0000,-0.0020,0.0020,0.0012
0.12500,0.0000,-0.0013,0.0013,0.0004
0.15625,0.0000,-0.0038,0.0038,0.0017
0.18750,0.0000,-0.0054,0.0054,0.0003
0.21875,0.0000,-0.0095,0.0095,0.0015
0.25000,0.0000,-0.0091,0.0091,0.0014
0.28125,0.0000,-0.0089,0.0089,0.0013
0.31250,0.0000,-0.0086,0.0086,-0.0006
0.34375,0.0000,-0.0083,0.0083,0.0016
0.37500,0.0000,-0.0020,0.0020,0.0002
0.40625,0.0000,-0.0009,0.0009,-0.0008
0.43750,0.0000,-0.0002,0.0002,0.0007
0.46875,0.0000,0.0030,-0.0030,-0.0013
0.50000,0.0000,0.0019,-0.0019,0.0004
0.53125,0.0000,0.0040,-0.0040,-0.0005
0.56250,0.0000,0.0024,-0.0024,0.0006
0.59375,0.0000,0.0015,-0.0015,0.0001
0.62500,0.0000,-0.0021,0.0021,0.0006
0.65625,0.0000,-0.0044,0.0044,0.0018
0.68750,0.0000,-0.0059,0.0059,0.0013
0.71875,0.0000,-0.0099,0.0099,0.0027
0.75000,0.0000,-0.0124,0.0124,0.0014
0.78125,0.0000,-0.0171,0.0171,0.0026
0.81250,0.0000,-0.0169,0.0169,0.0026
0.84375,0.0000,-0.0167,0.0167,0.0026
0.87500,0.0000,-0.0163,0.0163,0.0016
0.90625,0.0000,-0.0159,0.0159,0.0032
0.93750,0.0000,-0.0127,0.0127,0.0021
0.96875,0.0000,-0.0137,0.0137,0.0013
1.00000,6.0000,5.9854,-5.9854,0.0918
1.03125,6.0000,5.9877,-5.9877,0.1205
1.06250,6.0000,5.7031,-5.7031,0.1841
1.09375,6.0000,5.2277,-5.2277,0.2680
1.12500,6.0000,4.6273,-4.6273,0.3586
1.15625,6.0000,3.9561,-3.9561,0.4535
1.18750,6.0000,3.2749,-3.2749,0.5456
1.21875,6.0000,2.6265,-2.6265,0.6298
1.25000,6.0000,2.0388,-2.0388,0.7069
1.28125,6.0000,1.5286,-1.5286,0.7740
1.31250,6.0000,1.0927,-1.0927,0.8308
1.34375,6.0000,0.7220,-0.7220,0.8766
1.37500,6.0000,0.4091,-0.4091,0.9138
1.40625,6.0000,0.1546,-0.1546,0.9432
1.43750,6.0000,-0.0415,0.0415,0.9644
1.46875,6.0000,-0.1823,0.1823,0.9787
1.50000,6.0000,-0.2717,0.2717,0.9897
1.53125,6.0000,-0.3173,0.3173,0.9939
1.56250,6.0000,-0.3382,0.3382,0.9959
1.59375,6.0000,-0.3425,0.3425,0.9953
1.62500,6.0000,-0.3390,0.3390,0.9931
1.65625,6.0000,-0.3305,0.3305,0.9887
1.68750,6.0000,-0.3158,0.3158,0.9836
1.71875,6.0000,-0.2885,0.2885,0.9770
1.75000,6.0000,-0.2462,0.2462,0.9715
1.78125,6.0000,-0.1897,0.1897,0.9656
1.81250,6.0000,-0.1310,0.1310,0.9608
1.84375,6.0000,-0.0813,0.0813,0.9541
1.87500,6.0000,-0.0502,0.0502,0.9508
1.90625,6.0000,-0.0309,0.0309,0.9464
1.93750,6.0000,-0.0223,0.0223,0.9437
1.96875,6.0000,-0.0131,0.0131,0.9419
2.00000,6.0000,0.0013,-0.0013,0.9383
2.03125,6.0000,0.0205,-0.0205,0.9378
2.06250,6.0000,0.0474,-0.0474,0.9372
2.09375,6.0000,0.0701,-0.0701,0.9353
2.12500,6.0000,0.0791,-0.0791,0.9345
2.15625,6.0000,0.0766,-0.0766,0.9346
2.18750,6.0000,0.0660,-0.0660,0.9350
2.21875,6.0000,0.0524,-0.0524,0.9342
2.25000,6.0000,0.0417,-0.0417,0.9336
2.28125,6.0000,0.0429,-0.0429,0.9337
2.31250,6.0000,0.0571,-0.0571,0.9343
2.34375,6.0000,0.0765,-0.0765,0.9341
2.37500,6.0000,0.0892,-0.0892,0.9341
2.40625,6.0000,0.0898,-0.0898,0.9351
2.43750,6.0000,0.0782,-0.0782,0.9347
2.46875,6.0000,0.0569,-0.0569,0.9354
2.50000,6.0000,0.0385,-0.0385,0.9359
2.53125,6.0000,0.0299,-0.0299,0.9345
2.56250,6.0000,0.0337,-0.0337,0.9343
2.59375,6.0000,0.0525,-0.0525,0.9343
2.62500,6.0000,0.0765,-0.0765,0.9331
2.65625,6.0000,0.0930,-0.0930,0.9330
2.68750,6.0000,0.0976,-0.0976,0.9323
2.71875,6.0000,0.0883,-0.0883,0.9320
2.75000,6.0000,0.0725,-0.0725,0.9320
2.78125,6.0000,0.0594,-0.0594,0.9312
2.81250,6.0000,0.0559,-0.0559,0.9321
2.84375,6.0000,0.0665,-0.0665,0.9310
2.87500,6.0000,0.0828,-0.0828,0.9318
2.90625,6.0000,0.1000,-0.1000,0.9325
2.93750,6.0000,0.1069,-0.1069,0.9329
2.96875,6.0000,0.0978,-0.0978,0.9318
3.00000,6.0000,0.0768,-0.0768,0.9343
3.03125,6.0000,0.0582,-0.0582,0.9349
3.06250,6.0000,0.0427,-0.0427,0.9340
3.09375,6.0000,0.0367,-0.0367,0.9338
3.12500,6.0000,0.0464,-0.0464,0.9335
3.15625,6.0000,0.0669,-0.0669,0.9344
3.18750,6.0000,0.0879,-0.0879,0.9335
3.21875,6.0000,0.0953,-0.0953,0.9322
3.25000,6.0000,0.0888,-0.0888,0.9328
3.28125,6.0000,0.0761,-0.0761,0.9325
3.31250,6.0000,0.0616,-0.0616,0.9325
3.34375,6.0000,0.0538,-0.0538,0.9327
3.37500,6.0000,0.0568,-0.0568,0.9329
3.40625,6.0000,0.0689,-0.0689,0.9332
3.43750,6.0000,0.0831,-0.0831,0.9345
3.46875,6.0000,0.0915,-0.0915,0.9352
3.50000,6.0000,0.0858,-0.0858,0.9363
3.53125,6.0000,0.0671,-0.0671,0.9366
3.56250,6.0000,0.0418,-0.0418,0.9368
3.59375,6.0000,0.0216,-0.0216,0.9393
3.62500,6.0000,0.0156,-0.0156,0.9380
3.65625,6.0000,0.0182,-0.0182,0.9394
3.68750,6.0000,0.0328,-0.0328,0.9377
3.71875,6.0000,0.0469,-0.0469,0.9383
3.75000,6.0000,0.0589,-0.0589,0.9385
3.78125,6.0000,0.0601,-0.0601,0.9380
3.81250,6.0000,0.0490,-0.0490,0.9388
