time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0003
0.03125,0.0000,0.0000,0.0000,0.0001
0.06250,0.0000,-0.0011,0.0011,0.0000
0.09375,0.0000,-0.0019,0.0019,0.0003
0.12500,0.0000,-0.0016,0.0016,0.0005
0.15625,0.0000,-0.0016,0.0016,0.0008
0.18750,0.0000,-0.0024,0.0024,0.0006
0.21875,0.0000,-0.0045,0.0045,0.0005
0.25000,0.0000,-0.0059,0.0059,0.0005
0.28125,0.0000,-0.0057,0.0057,0.0005
0.31250,0.0000,-0.0042,0.0042,-0.0002
0.34375,0.0000,-0.0025,0.0025,-0.0001
0.37500,0.0000,0.0008,-0.0008,0.0000
0.40625,0.0000,0.0033,-0.0033,-0.0003
0.43750,0.0000,0.0035,-0.0035,-0.0001
0.46875,0.0000,0.0029,-0.0029,0.0000
0.50000,0.0000,0.0012,-0.0012,0.0003
0.53125,0.0000,-0.0008,0.0008,0.0005
0.56250,0.0000,-0.0032,0.0032,0.0008
0.59375,0.0000,-0.0050,0.0050,0.0010
0.62500,0.0000,-0.0066,0.0066,0.0010
0.65625,0.0000,-0.0076,0.0076,0.0013
0.68750,0.0000,-0.0077,0.0077,0.0015
0.71875,0.0000,-0.0081,0.0081,0.0015
0.75000,0.0000,-0.0091,0.0091,0.0012
0.78125,0.0000,-0.0100,0.0100,0.0010
0.81250,0.0000,-0.0094,0.0094,0.0010
0.84375,0.0000,-0.0075,0.0075,0.0010
0.87500,0.0000,-0.0054,0.0054,0.0007
0.90625,0.0000,-0.0044,0.0044,0.0009
0.93750,0.0000,-0.0036,0.0036,0.0010
0.96875,0.0000,-0.0041,0.0041,0.0007
1.00000,6.0000,5.9942,-5.9942,0.0322
1.03125,6.0000,5.9935,-5.9935,0.0768
1.06250,6.0000,5.8883,-5.8883,0.1222
1.09375,6.0000,5.6037,-5.6037,0.1682
1.12500,6.0000,5.1702,-5.1702,0.2133
1.15625,6.0000,4.6889,-4.6889,0.2558
1.18750,6.0000,4.2714,-4.2714,0.2952
1.21875,6.0000,3.9837,-3.9837,0.3314
1.25000,6.0000,3.8223,-3.8223,0.3650
1.28125,6.0000,3.7282,-3.7282,0.3973
1.31250,6.0000,3.6262,-3.6262,0.4290
1.34375,6.0000,3.4632,-3.4632,0.4598
1.37500,6.0000,3.2300,-3.2300,0.4893
1.40625,6.0000,2.9591,-2.9591,0.5173
1.43750,6.0000,2.7015,-2.7015,0.5435
1.46875,6.0000,2.4968,-2.4968,0.5673
1.50000,6.0000,2.3556,-2.3556,0.5898
1.53125,6.0000,2.2609,-2.2609,0.6104
1.56250,6.0000,2.1792,-2.1792,0.6298
1.59375,6.0000,2.0818,-2.0818,0.6483
1.62500,6.0000,1.9583,-1.9583,0.6666
1.65625,6.0000,1.8162,-1.8162,0.6841
1.68750,6.0000,1.6725,-1.6725,0.7003
1.71875,6.0000,1.5447,-1.5447,0.7149
1.75000,6.0000,1.4432,-1.4432,0.7287
1.78125,6.0000,1.3679,-1.3679,0.7415
1.81250,6.0000,1.3074,-1.3074,0.7540
