time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0003
0.03125,0.0000,0.0000,0.0000,0.0002
0.06250,0.0000,-0.0010,0.0010,0.0000
0.09375,0.0000,-0.0018,0.0018,0.0003
0.12500,0.0000,-0.0016,0.0016,0.0005
0.15625,0.0000,-0.0017,0.0017,0.0008
0.18750,0.0000,-0.0023,0.0023,0.0006
0.21875,0.0000,-0.0043,0.0043,0.0005
0.25000,0.0000,-0.0058,0.0058,0.0005
0.28125,0.0000,-0.0057,0.0057,0.0005
0.31250,0.0000,-0.0044,0.0044,-0.0001
0.34375,0.0000,-0.0026,0.0026,-0.0001
0.37500,0.0000,0.0007,-0.0007,0.0000
0.40625,0.0000,0.0034,-0.0034,-0.0003
0.43750,0.0000,0.0040,-0.0040,-0.0001
0.46875,0.0000,0.0033,-0.0033,0.0000
0.50000,0.0000,0.0014,-0.0014,0.0003
0.53125,0.0000,-0.0009,0.0009,0.0005
0.56250,0.0000,-0.0035,0.0035,0.0008
0.59375,0.0000,-0.0054,0.0054,0.0010
0.62500,0.0000,-0.0068,0.0068,0.0010
0.65625,0.0000,-0.0075,0.0075,0.0013
0.68750,0.0000,-0.0073,0.0073,0.0015
0.71875,0.0000,-0.0076,0.0076,0.0018
0.75000,0.0000,-0.0087,0.0087,0.0017
0.78125,0.0000,-0.0110,0.0110,0.0015
0.81250,0.0000,-0.0126,0.0126,0.0015
0.84375,0.0000,-0.0124,0.0124,0.0015
0.87500,0.0000,-0.0108,0.0108,0.0012
0.90625,0.0000,-0.0087,0.0087,0.0014
0.93750,0.0000,-0.0063,0.0063,0.0015
0.96875,0.0000,-0.0055,0.0055,0.0012
1.00000,6.0000,5.9931,-5.9931,0.0314
1.03125,6.0000,5.9915,-5.9915,0.0764
1.06250,6.0000,5.8946,-5.8946,0.1222
1.09375,6.0000,5.6226,-5.6226,0.1686
1.12500,6.0000,5.1942,-5.1942,0.2141
1.15625,6.0000,4.7036,-4.7036,0.2570
1.18750,6.0000,4.2669,-4.2669,0.2971
1.21875,6.0000,3.9647,-3.9647,0.3334
1.25000,6.0000,3.8063,-3.8063,0.3672
1.28125,6.0000,3.7369,-3.7369,0.3997
1.31250,6.0000,3.6708,-3.6708,0.4315
1.34375,6.0000,3.5355,-3.5355,0.4628
1.37500,6.0000,3.3063,-3.3063,0.4929
1.40625,6.0000,3.0130,-3.0130,0.5216
1.43750,6.0000,2.7196,-2.7196,0.5481
1.46875,6.0000,2.4877,-2.4877,0.5725
1.50000,6.0000,2.3460,-2.3460,0.5952
1.53125,6.0000,2.2791,-2.2791,0.6161
1.56250,6.0000,2.2384,-2.2384,0.6355
1.59375,6.0000,2.1724,-2.1724,0.6545
1.62500,6.0000,2.0529,-2.0529,0.6734
1.65625,6.0000,1.8846,-1.8846,0.6914
1.68750,6.0000,1.6994,-1.6994,0.7082
1.71875,6.0000,1.5384,-1.5384,0.7231
1.75000,6.0000,1.4311,-1.4311,0.7370
1.78125,6.0000,1.3813,-1.3813,0.7499
1.81250,6.0000,1.3646,-1.3646,0.7625
