time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0003
0.03125,0.0000,0.0000,0.0000,0.0001
0.06250,0.0000,-0.0011,0.0011,0.0000
0.09375,0.0000,-0.0018,0.0018,0.0003
0.12500,0.0000,-0.0016,0.0016,0.0005
0.15625,0.0000,-0.0017,0.0017,0.0008
0.18750,0.0000,-0.0024,0.0024,0.0006
0.21875,0.0000,-0.0044,0.0044,0.0005
0.25000,0.0000,-0.0058,0.0058,0.0005
0.28125,0.0000,-0.0058,0.0058,0.0005
0.31250,0.0000,-0.0044,0.0044,-0.0002
0.34375,0.0000,-0.0027,0.0027,-0.0001
0.37500,0.0000,0.0006,-0.0006,0.0000
0.40625,0.0000,0.0034,-0.0034,-0.0003
0.43750,0.0000,0.0039,-0.0039,-0.0001
0.46875,0.0000,0.0033,-0.0033,0.0000
0.50000,0.0000,0.0015,-0.0015,0.0003
0.53125,0.0000,-0.0008,0.0008,0.0005
0.56250,0.0000,-0.0034,0.0034,0.0008
0.59375,0.0000,-0.0054,0.0054,0.0010
0.62500,0.0000,-0.0069,0.0069,0.0010
0.65625,0.0000,-0.0077,0.0077,0.0013
0.68750,0.0000,-0.0075,0.0075,0.0015
0.71875,0.0000,-0.0078,0.0078,0.0015
0.75000,0.0000,-0.0089,0.0089,0.0012
0.78125,0.0000,-0.0100,0.0100,0.0010
0.81250,0.0000,-0.0097,0.0097,0.0010
0.84375,0.0000,-0.0079,0.0079,0.0010
0.87500,0.0000,-0.0057,0.0057,0.0007
0.90625,0.0000,-0.0043,0.0043,0.0009
0.93750,0.0000,-0.0031,0.0031,0.0010
0.96875,0.0000,-0.0035,0.0035,0.0007
1.00000,6.0000,5.9947,-5.9947,0.0322
1.03125,6.0000,5.9935,-5.9935,0.0768
1.06250,6.0000,5.8930,-5.8930,0.1222
1.09375,6.0000,5.6170,-5.6170,0.1682
1.12500,6.0000,5.1869,-5.1869,0.2133
1.15625,6.0000,4.6959,-4.6959,0.2558
1.18750,6.0000,4.2574,-4.2574,0.2952
1.21875,6.0000,3.9491,-3.9491,0.3310
1.25000,6.0000,3.7812,-3.7812,0.3645
1.28125,6.0000,3.7019,-3.7019,0.3965
1.31250,6.0000,3.6291,-3.6291,0.4280
1.34375,6.0000,3.4937,-3.4937,0.4588
1.37500,6.0000,3.2703,-3.2703,0.4886
1.40625,6.0000,2.9852,-2.9852,0.5171
1.43750,6.0000,2.6968,-2.6968,0.5434
1.46875,6.0000,2.4622,-2.4622,0.5673
1.50000,6.0000,2.3103,-2.3103,0.5894
1.53125,6.0000,2.2307,-2.2307,0.6096
1.56250,6.0000,2.1818,-2.1818,0.6285
1.59375,6.0000,2.1165,-2.1165,0.6469
1.62500,6.0000,2.0062,-2.0062,0.6652
1.65625,6.0000,1.8509,-1.8509,0.6830
1.68750,6.0000,1.6758,-1.6758,0.6996
1.71875,6.0000,1.5165,-1.5165,0.7143
1.75000,6.0000,1.4013,-1.4013,0.7278
1.78125,6.0000,1.3382,-1.3382,0.7402
1.81250,6.0000,1.3104,-1.3104,0.7522
