time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0007
0.03125,0.0000,0.0000,0.0000,-0.0004
0.06250,0.0000,-0.0027,0.0027,0.0003
0.09375,0.0000,-0.0017,0.0017,0.0009
0.12500,0.0000,-0.0011,0.0011,0.0004
0.15625,0.0000,-0.0033,0.0033,0.0014
0.18750,0.0000,-0.0048,0.0048,0.0004
0.21875,0.0000,-0.0084,0.0084,0.0013
0.25000,0.0000,-0.0080,0.0080,0.0013
0.28125,0.0000,-0.0077,0.0077,0.0012
0.31250,0.0000,-0.0076,0.0076,-0.0003
0.34375,0.0000,-0.0075,0.0075,0.0014
0.37500,0.0000,-0.0021,0.0021,0.0003
0.40625,0.0000,-0.0014,0.0014,-0.0006
0.43750,0.0000,-0.0009,0.0009,0.0006
0.46875,0.0000,0.0021,-0.0021,-0.0010
0.50000,0.0000,0.0013,-0.0013,0.0003
0.53125,0.0000,0.0035,-0.0035,-0.0004
0.56250,0.0000,0.0022,-0.0022,0.0005
0.59375,0.0000,0.0014,-0.0014,0.0001
0.62500,0.0000,-0.0017,0.0017,0.0005
0.65625,0.0000,-0.0038,0.0038,0.0015
0.68750,0.0000,-0.0051,0.0051,0.0012
0.71875,0.0000,-0.0085,0.0085,0.0024
0.75000,0.0000,-0.0107,0.0107,0.0014
0.78125,0.0000,-0.0148,0.0148,0.0024
0.81250,0.0000,-0.0147,0.0147,0.0024
0.84375,0.0000,-0.0147,0.0147,0.0024
0.87500,0.0000,-0.0147,0.0147,0.0016
0.90625,0.0000,-0.0147,0.0147,0.0028
0.93750,0.0000,-0.0120,0.0120,0.0020
0.96875,0.0000,-0.0130,0.0130,0.0014
1.00000,6.0000,5.9864,-5.9864,0.0723
1.03125,6.0000,5.9887,-5.9887,0.1005
1.06250,6.0000,5.7383,-5.7383,0.1581
1.09375,6.0000,5.3240,-5.3240,0.2337
1.12500,6.0000,4.8079,-4.8079,0.3178
1.15625,6.0000,4.2347,-4.2347,0.4061
1.18750,6.0000,3.6437,-3.6437,0.4934
1.21875,6.0000,3.0625,-3.0625,0.5762
1.25000,6.0000,2.5115,-2.5115,0.6531
1.28125,6.0000,2.0062,-2.0062,0.7219
1.31250,6.0000,1.5540,-1.5540,0.7824
1.34375,6.0000,1.1595,-1.1595,0.8343
1.37500,6.0000,0.8229,-0.8229,0.8772
1.40625,6.0000,0.5420,-0.5420,0.9127
1.43750,6.0000,0.3150,-0.3150,0.9410
1.46875,6.0000,0.1358,-0.1358,0.9624
1.50000,6.0000,-0.0024,0.0024,0.9791
1.53125,6.0000,-0.1039,0.1039,0.9893
1.56250,6.0000,-0.1765,0.1765,0.9963
1.59375,6.0000,-0.2202,0.2202,1.0007
1.62500,6.0000,-0.2401,0.2401,1.0023
1.65625,6.0000,-0.2449,0.2449,1.0020
1.68750,6.0000,-0.2400,0.2400,0.9998
1.71875,6.0000,-0.2289,0.2289,0.9965
1.75000,6.0000,-0.2112,0.2112,0.9936
1.78125,6.0000,-0.1867,0.1867,0.9895
1.81250,6.0000,-0.1604,0.1604,0.9866
1.84375,6.0000,-0.1330,0.1330,0.9813
1.87500,6.0000,-0.1103,0.1103,0.9788
1.90625,6.0000,-0.0852,0.0852,0.9752
1.93750,6.0000,-0.0638,0.0638,0.9728
1.96875,6.0000,-0.0449,0.0449,0.9709
2.00000,6.0000,-0.0302,0.0302,0.9684
2.03125,6.0000,-0.0208,0.0208,0.9677
2.06250,6.0000,-0.0122,0.0122,0.9667
2.09375,6.0000,-0.0067,0.0067,0.9653
2.12500,6.0000,-0.0032,0.0032,0.9638
2.15625,6.0000,0.0017,-0.0017,0.9641
2.18750,6.0000,0.0101,-0.0101,0.9638
2.21875,6.0000,0.0155,-0.0155,0.9627
2.25000,6.0000,0.0163,-0.0163,0.9619
2.28125,6.0000,0.0168,-0.0168,0.9623
2.31250,6.0000,0.0198,-0.0198,0.9627
2.34375,6.0000,0.0217,-0.0217,0.9620
2.37500,6.0000,0.0202,-0.0202,0.9622
2.40625,6.0000,0.0193,-0.0193,0.9630
2.43750,6.0000,0.0187,-0.0187,0.9627
2.46875,6.0000,0.0157,-0.0157,0.9630
2.50000,6.0000,0.0137,-0.0137,0.9633
2.53125,6.0000,0.0125,-0.0125,0.9619
2.56250,6.0000,0.0117,-0.0117,0.9622
2.59375,6.0000,0.0165,-0.0165,0.9620
2.62500,6.0000,0.0222,-0.0222,0.9606
2.65625,6.0000,0.0259,-0.0259,0.9606
2.68750,6.0000,0.0309,-0.0309,0.9600
2.71875,6.0000,0.0340,-0.0340,0.9596
2.75000,6.0000,0.0361,-0.0361,0.9594
2.78125,6.0000,0.0374,-0.0374,0.9592
2.81250,6.0000,0.0382,-0.0382,0.9599
2.84375,6.0000,0.0387,-0.0387,0.9594
2.87500,6.0000,0.0364,-0.0364,0.9596
2.90625,6.0000,0.0349,-0.0349,0.9606
2.93750,6.0000,0.0340,-0.0340,0.9610
2.96875,6.0000,0.0307,-0.0307,0.9602
3.00000,6.0000,0.0260,-0.0260,0.9619
3.03125,6.0000,0.0256,-0.0256,0.9630
3.06250,6.0000,0.0227,-0.0227,0.9625
3.09375,6.0000,0.0156,-0.0156,0.9626
3.12500,6.0000,0.0110,-0.0110,0.9628
3.15625,6.0000,0.0108,-0.0108,0.9641
3.18750,6.0000,0.0133,-0.0133,0.9633
3.21875,6.0000,0.0122,-0.0122,0.9627
3.25000,6.0000,0.0115,-0.0115,0.9625
3.28125,6.0000,0.0138,-0.0138,0.9627
3.31250,6.0000,0.0178,-0.0178,0.9622
