time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0009
0.03125,0.0000,0.0000,0.0000,-0.0007
0.06250,0.0000,-0.0028,0.0028,0.0004
0.09375,0.0000,-0.0020,0.0020,0.0012
0.12500,0.0000,-0.0014,0.0014,0.0004
0.15625,0.0000,-0.0038,0.0038,0.0017
0.18750,0.0000,-0.0053,0.0053,0.0003
0.21875,0.0000,-0.0092,0.0092,0.0015
0.25000,0.0000,-0.0091,0.0091,0.0014
0.28125,0.0000,-0.0091,0.0091,0.0013
0.31250,0.0000,-0.0089,0.0089,-0.0006
0.34375,0.0000,-0.0085,0.0085,0.0016
0.37500,0.0000,-0.0024,0.0024,0.0002
0.40625,0.0000,-0.0010,0.0010,-0.0008
0.43750,0.0000,0.0000,-0.0000,0.0007
0.46875,0.0000,0.0033,-0.0033,-0.0013
0.50000,0.0000,0.0023,-0.0023,0.0004
0.53125,0.0000,0.0042,-0.0042,-0.0005
0.56250,0.0000,0.0025,-0.0025,0.0006
0.59375,0.0000,0.0014,-0.0014,0.0001
0.62500,0.0000,-0.0021,0.0021,0.0006
0.65625,0.0000,-0.0044,0.0044,0.0018
0.68750,0.0000,-0.0060,0.0060,0.0013
0.71875,0.0000,-0.0098,0.0098,0.0027
0.75000,0.0000,-0.0124,0.0124,0.0014
0.78125,0.0000,-0.0169,0.0169,0.0026
0.81250,0.0000,-0.0170,0.0170,0.0026
0.84375,0.0000,-0.0170,0.0170,0.0026
0.87500,0.0000,-0.0166,0.0166,0.0016
0.90625,0.0000,-0.0161,0.0161,0.0032
0.93750,0.0000,-0.0129,0.0129,0.0021
0.96875,0.0000,-0.0135,0.0135,0.0013
1.00000,6.0000,5.9858,-5.9858,0.0918
1.03125,6.0000,5.9879,-5.9879,0.1204
1.06250,6.0000,5.7223,-5.7223,0.1837
1.09375,6.0000,5.2672,-5.2672,0.2672
1.12500,6.0000,4.6752,-4.6752,0.3581
1.15625,6.0000,3.9964,-3.9964,0.4525
1.18750,6.0000,3.2921,-3.2921,0.5434
1.21875,6.0000,2.6166,-2.6166,0.6273
1.25000,6.0000,2.0122,-2.0122,0.7036
1.28125,6.0000,1.5014,-1.5014,0.7689
1.31250,6.0000,1.0811,-1.0811,0.8244
1.34375,6.0000,0.7387,-0.7387,0.8694
1.37500,6.0000,0.4564,-0.4564,0.9057
1.40625,6.0000,0.2231,-0.2231,0.9327
1.43750,6.0000,0.0334,-0.0334,0.9535
1.46875,6.0000,-0.1091,0.1091,0.9676
1.50000,6.0000,-0.2052,0.2052,0.9770
1.53125,6.0000,-0.2575,0.2575,0.9808
1.56250,6.0000,-0.2763,0.2763,0.9816
1.59375,6.0000,-0.2706,0.2706,0.9816
1.62500,6.0000,-0.2508,0.2508,0.9793
1.65625,6.0000,-0.2296,0.2296,0.9751
1.68750,6.0000,-0.2104,0.2104,0.9715
1.71875,6.0000,-0.1887,0.1887,0.9662
1.75000,6.0000,-0.1627,0.1627,0.9626
1.78125,6.0000,-0.1276,0.1276,0.9583
1.81250,6.0000,-0.0900,0.0900,0.9560
1.84375,6.0000,-0.0551,0.0551,0.9507
1.87500,6.0000,-0.0337,0.0337,0.9504
1.90625,6.0000,-0.0198,0.0198,0.9479
1.93750,6.0000,-0.0189,0.0189,0.9464
1.96875,6.0000,-0.0223,0.0223,0.9464
2.00000,6.0000,-0.0221,0.0221,0.9443
2.03125,6.0000,-0.0173,0.0173,0.9450
2.06250,6.0000,-0.0030,0.0030,0.9456
2.09375,6.0000,0.0112,-0.0112,0.9438
2.12500,6.0000,0.0162,-0.0162,0.9437
2.15625,6.0000,0.0148,-0.0148,0.9442
2.18750,6.0000,0.0071,-0.0071,0.9446
2.21875,6.0000,-0.0046,0.0046,0.9436
2.25000,6.0000,-0.0151,0.0151,0.9429
2.28125,6.0000,-0.0157,0.0157,0.9427
2.31250,6.0000,-0.0036,0.0036,0.9430
2.34375,6.0000,0.0155,-0.0155,0.9425
2.37500,6.0000,0.0308,-0.0308,0.9421
2.40625,6.0000,0.0364,-0.0364,0.9429
2.43750,6.0000,0.0305,-0.0305,0.9421
2.46875,6.0000,0.0140,-0.0140,0.9433
2.50000,6.0000,-0.0023,0.0023,0.9429
2.53125,6.0000,-0.0138,0.0138,0.9415
2.56250,6.0000,-0.0130,0.0130,0.9421
2.59375,6.0000,0.0036,-0.0036,0.9412
2.62500,6.0000,0.0250,-0.0250,0.9402
2.65625,6.0000,0.0429,-0.0429,0.9400
2.68750,6.0000,0.0512,-0.0512,0.9392
2.71875,6.0000,0.0464,-0.0464,0.9396
2.75000,6.0000,0.0340,-0.0340,0.9395
2.78125,6.0000,0.0194,-0.0194,0.9391
2.81250,6.0000,0.0108,-0.0108,0.9405
2.84375,6.0000,0.0142,-0.0142,0.9402
2.87500,6.0000,0.0235,-0.0235,0.9407
2.90625,6.0000,0.0352,-0.0352,0.9420
2.93750,6.0000,0.0412,-0.0412,0.9425
2.96875,6.0000,0.0344,-0.0344,0.9414
3.00000,6.0000,0.0168,-0.0168,0.9437
3.03125,6.0000,0.0004,-0.0004,0.9440
3.06250,6.0000,-0.0139,0.0139,0.9428
3.09375,6.0000,-0.0196,0.0196,0.9432
3.12500,6.0000,-0.0101,0.0101,0.9419
3.15625,6.0000,0.0081,-0.0081,0.9428
3.18750,6.0000,0.0293,-0.0293,0.9418
3.21875,6.0000,0.0395,-0.0395,0.9403
3.25000,6.0000,0.0371,-0.0371,0.9406
3.28125,6.0000,0.0282,-0.0282,0.9400
3.31250,6.0000,0.0163,-0.0163,0.9396
3.34375,6.0000,0.0097,-0.0097,0.9404
3.37500,6.0000,0.0131,-0.0131,0.9405
3.40625,6.0000,0.0228,-0.0228,0.9411
3.43750,6.0000,0.0339,-0.0339,0.9420
3.46875,6.0000,0.0391,-0.0391,0.9430
3.50000,6.0000,0.0333,-0.0333,0.9441
3.53125,6.0000,0.0163,-0.0163,0.9443
3.56250,6.0000,-0.0068,0.0068,0.9452
3.59375,6.0000,-0.0254,0.0254,0.9467
3.62500,6.0000,-0.0333,0.0333,0.9464
3.65625,6.0000,-0.0315,0.0315,0.9470
3.68750,6.0000,-0.0199,0.0199,0.9464
3.71875,6.0000,-0.0064,0.0064,0.9463
3.75000,6.0000,0.0037,-0.0037,0.9467
3.78125,6.0000,0.0053,-0.0053,0.9462
3.81250,6.0000,-0.0038,0.0038,0.9468
