time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0009
0.03125,0.0000,0.0000,0.0000,-0.0007
0.06250,0.0000,-0.0030,0.0030,0.0004
0.09375,0.0000,-0.0020,0.0020,0.0012
0.12500,0.0000,-0.0013,0.0013,0.0004
0.15625,0.0000,-0.0038,0.0038,0.0017
0.18750,0.0000,-0.0054,0.0054,0.0003
0.21875,0.0000,-0.0095,0.0095,0.0015
0.25000,0.0000,-0.0091,0.0091,0.0014
0.28125,0.0000,-0.0089,0.0089,0.0013
0.31250,0.0000,-0.0086,0.0086,-0.0006
0.34375,0.0000,-0.0083,0.0083,0.0016
0.37500,0.0000,-0.0020,0.0020,0.0002
0.40625,0.0000,-0.0009,0.0009,-0.0008
0.43750,0.0000,-0.0002,0.0002,0.0007
0.46875,0.0000,0.0030,-0.0030,-0.0013
0.50000,0.0000,0.0019,-0.0019,0.0004
0.53125,0.0000,0.0040,-0.0040,-0.0005
0.56250,0.0000,0.0024,-0.0024,0.0006
0.59375,0.0000,0.0015,-0.0015,0.0001
0.62500,0.0000,-0.0021,0.0021,0.0006
0.65625,0.0000,-0.0044,0.0044,0.0018
0.68750,0.0000,-0.0059,0.0059,0.0013
0.71875,0.0000,-0.0099,0.0099,0.0027
0.75000,0.0000,-0.0124,0.0124,0.0014
0.78125,0.0000,-0.0171,0.0171,0.0026
0.81250,0.0000,-0.0169,0.0169,0.0026
0.84375,0.0000,-0.0167,0.0167,0.0026
0.87500,0.0000,-0.0163,0.0163,0.0016
0.90625,0.0000,-0.0159,0.0159,0.0032
0.93750,0.0000,-0.0127,0.0127,0.0021
0.96875,0.0000,-0.0137,0.0137,0.0013
1.00000,6.0000,5.9854,-5.9854,0.0918
1.03125,6.0000,5.9877,-5.9877,0.1204
1.06250,6.0000,5.7031,-5.7031,0.1837
1.09375,6.0000,5.2280,-5.2280,0.2672
1.12500,6.0000,4.6288,-4.6288,0.3572
1.15625,6.0000,3.9603,-3.9603,0.4513
1.18750,6.0000,3.2838,-3.2838,0.5424
1.21875,6.0000,2.6419,-2.6419,0.6257
1.25000,6.0000,2.0619,-2.0619,0.7017
1.28125,6.0000,1.5597,-1.5597,0.7677
1.31250,6.0000,1.1315,-1.1315,0.8233
1.34375,6.0000,0.7680,-0.7680,0.8689
1.37500,6.0000,0.4618,-0.4618,0.9051
1.40625,6.0000,0.2110,-0.2110,0.9338
1.43750,6.0000,0.0175,-0.0175,0.9544
1.46875,6.0000,-0.1207,0.1207,0.9682
1.50000,6.0000,-0.2069,0.2069,0.9786
1.53125,6.0000,-0.2486,0.2486,0.9823
1.56250,6.0000,-0.2651,0.2651,0.9840
1.59375,6.0000,-0.2655,0.2655,0.9832
1.62500,6.0000,-0.2592,0.2592,0.9812
1.65625,6.0000,-0.2501,0.2501,0.9773
1.68750,6.0000,-0.2375,0.2375,0.9729
1.71875,6.0000,-0.2150,0.2150,0.9673
1.75000,6.0000,-0.1797,0.1797,0.9641
1.78125,6.0000,-0.1316,0.1316,0.9592
1.81250,6.0000,-0.0854,0.0854,0.9565
1.84375,6.0000,-0.0483,0.0483,0.9510
1.87500,6.0000,-0.0307,0.0307,0.9506
1.90625,6.0000,-0.0227,0.0227,0.9480
1.93750,6.0000,-0.0270,0.0270,0.9465
1.96875,6.0000,-0.0317,0.0317,0.9465
2.00000,6.0000,-0.0284,0.0284,0.9443
2.03125,6.0000,-0.0180,0.0180,0.9450
2.06250,6.0000,0.0018,-0.0018,0.9456
2.09375,6.0000,0.0183,-0.0183,0.9438
2.12500,6.0000,0.0215,-0.0215,0.9437
2.15625,6.0000,0.0159,-0.0159,0.9442
2.18750,6.0000,0.0038,-0.0038,0.9446
2.21875,6.0000,-0.0102,0.0102,0.9436
2.25000,6.0000,-0.0202,0.0202,0.9429
2.28125,6.0000,-0.0176,0.0176,0.9427
2.31250,6.0000,-0.0013,0.0013,0.9430
2.34375,6.0000,0.0206,-0.0206,0.9425
2.37500,6.0000,0.0358,-0.0358,0.9421
2.40625,6.0000,0.0385,-0.0385,0.9429
2.43750,6.0000,0.0289,-0.0289,0.9421
2.46875,6.0000,0.0093,-0.0093,0.9433
2.50000,6.0000,-0.0072,0.0072,0.9429
2.53125,6.0000,-0.0167,0.0167,0.9415
2.56250,6.0000,-0.0123,0.0123,0.9421
2.59375,6.0000,0.0078,-0.0078,0.9412
2.62500,6.0000,0.0304,-0.0304,0.9402
2.65625,6.0000,0.0468,-0.0468,0.9400
2.68750,6.0000,0.0518,-0.0518,0.9392
2.71875,6.0000,0.0434,-0.0434,0.9396
2.75000,6.0000,0.0291,-0.0291,0.9395
2.78125,6.0000,0.0148,-0.0148,0.9391
2.81250,6.0000,0.0087,-0.0087,0.9405
2.84375,6.0000,0.0155,-0.0155,0.9402
2.87500,6.0000,0.0272,-0.0272,0.9407
2.90625,6.0000,0.0394,-0.0394,0.9420
2.93750,6.0000,0.0438,-0.0438,0.9425
2.96875,6.0000,0.0341,-0.0341,0.9414
3.00000,6.0000,0.0139,-0.0139,0.9437
3.03125,6.0000,-0.0031,0.0031,0.9440
3.06250,6.0000,-0.0164,0.0164,0.9428
3.09375,6.0000,-0.0200,0.0200,0.9432
3.12500,6.0000,-0.0081,0.0081,0.9419
3.15625,6.0000,0.0117,-0.0117,0.9428
3.18750,6.0000,0.0328,-0.0328,0.9418
3.21875,6.0000,0.0411,-0.0411,0.9403
3.25000,6.0000,0.0360,-0.0360,0.9406
3.28125,6.0000,0.0253,-0.0253,0.9400
3.31250,6.0000,0.0130,-0.0130,0.9396
3.34375,6.0000,0.0076,-0.0076,0.9404
3.37500,6.0000,0.0131,-0.0131,0.9396
3.40625,6.0000,0.0245,-0.0245,0.9408
3.43750,6.0000,0.0391,-0.0391,0.9413
3.46875,6.0000,0.0457,-0.0457,0.9421
3.50000,6.0000,0.0398,-0.0398,0.9431
3.53125,6.0000,0.0222,-0.0222,0.9432
3.56250,6.0000,-0.0013,0.0013,0.9441
3.59375,6.0000,-0.0191,0.0191,0.9455
3.62500,6.0000,-0.0257,0.0257,0.9452
3.65625,6.0000,-0.0228,0.0228,0.9457
3.68750,6.0000,-0.0104,0.0104,0.9451
3.71875,6.0000,0.0031,-0.0031,0.9451
3.75000,6.0000,0.0127,-0.0127,0.9464
3.78125,6.0000,0.0135,-0.0135,0.9452
3.81250,6.0000,0.0005,-0.0005,0.9462
