time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0000
0.03125,0.0000,0.0000,0.0000,0.0020
0.06250,0.0000,0.0000,0.0000,0.0002
0.09375,0.0000,-0.0061,0.0061,0.0011
0.12500,0.0000,-0.0029,0.0029,0.0018
0.15625,0.0000,0.0001,-0.0001,0.0021
0.18750,0.0000,-0.0034,0.0034,0.0053
0.21875,0.0000,-0.0079,0.0079,0.0033
0.25000,0.0000,-0.0168,0.0168,0.0041
0.28125,0.0000,-0.0106,0.0106,0.0028
0.31250,0.0000,-0.0042,0.0042,0.0030
0.34375,0.0000,-0.0026,0.0026,-0.0009
0.37500,0.0000,-0.0071,0.0071,0.0006
0.40625,0.0000,0.0021,-0.0021,-0.0013
0.43750,0.0000,0.0040,-0.0040,-0.0018
0.46875,0.0000,0.0040,-0.0040,-0.0001
0.50000,0.0000,0.0042,-0.0042,-0.0011
0.53125,0.0000,-0.0011,0.0011,0.0022
0.56250,0.0000,0.0001,-0.0001,0.0023
0.59375,0.0000,-0.0059,0.0059,0.0052
0.62500,0.0000,-0.0093,0.0093,0.0053
0.65625,0.0000,-0.0153,0.0153,0.0063
0.68750,0.0000,-0.0151,0.0151,0.0081
0.71875,0.0000,-0.0139,0.0139,0.0083
0.75000,0.0000,-0.0191,0.0191,0.0094
0.78125,0.0000,-0.0224,0.0224,0.0072
0.81250,0.0000,-0.0232,0.0232,0.0049
0.84375,0.0000,-0.0143,0.0143,0.0036
0.87500,0.0000,-0.0035,0.0035,0.0028
0.90625,0.0000,-0.0021,0.0021,0.0011
0.93750,0.0000,-0.0068,0.0068,0.0028
0.96875,0.0000,-0.0042,0.0042,0.0020
1.00000,6.0000,5.9946,-5.9946,0.0013
1.03125,6.0000,5.9950,-5.9950,0.1881
1.06250,6.0000,5.9982,-5.9982,0.3984
1.09375,6.0000,5.4166,-5.4166,0.7111
1.12500,6.0000,4.5523,-4.5523,1.0099
1.15625,6.0000,3.6953,-3.6953,1.2803
1.18750,6.0000,3.0907,-3.0907,1.5263
1.21875,6.0000,2.6584,-2.6584,1.7306
1.25000,6.0000,2.1795,-2.1795,1.8981
1.28125,6.0000,1.6881,-1.6881,2.0380
1.31250,6.0000,1.3410,-1.3410,2.1553
1.34375,6.0000,1.1402,-1.1402,2.2501
1.37500,6.0000,0.9568,-0.9568,2.3254
1.40625,6.0000,0.7426,-0.7426,2.3863
1.43750,6.0000,0.5658,-0.5658,2.4380
1.46875,6.0000,0.4694,-0.4694,2.4798
1.50000,6.0000,0.4031,-0.4031,2.5133
1.53125,6.0000,0.3198,-0.3198,2.5402
1.56250,6.0000,0.2343,-0.2343,2.5606
1.59375,6.0000,0.1807,-0.1807,2.5763
1.62500,6.0000,0.1606,-0.1606,2.5877
1.65625,6.0000,0.1436,-0.1436,2.5971
1.68750,6.0000,0.1165,-0.1165,2.6060
1.71875,6.0000,0.0900,-0.0900,2.6151
1.75000,6.0000,0.0728,-0.0728,2.6203
1.78125,6.0000,0.0575,-0.0575,2.6270
1.81250,6.0000,0.0484,-0.0484,2.6298
1.84375,6.0000,0.0355,-0.0355,2.6358
1.87500,6.0000,0.0289,-0.0289,2.6350
1.90625,6.0000,0.0172,-0.0172,2.6386
1.93750,6.0000,0.0204,-0.0204,2.6393
1.96875,6.0000,0.0189,-0.0189,2.6427
2.00000,6.0000,0.0138,-0.0138,2.6459
2.03125,6.0000,0.0027,-0.0027,2.6469
2.06250,6.0000,-0.0077,0.0077,2.6497
2.09375,6.0000,-0.0064,0.0064,2.6517
2.12500,6.0000,-0.0071,0.0071,2.6510
2.15625,6.0000,-0.0144,0.0144,2.6477
2.18750,6.0000,-0.0143,0.0143,2.6459
2.21875,6.0000,0.0012,-0.0012,2.6439
2.25000,6.0000,0.0124,-0.0124,2.6424
2.28125,6.0000,0.0113,-0.0113,2.6403
2.31250,6.0000,0.0073,-0.0073,2.6389
2.34375,6.0000,0.0132,-0.0132,2.6380
2.37500,6.0000,0.0225,-0.0225,2.6383
2.40625,6.0000,0.0243,-0.0243,2.6384
2.43750,6.0000,0.0172,-0.0172,2.6403
2.46875,6.0000,0.0133,-0.0133,2.6405
2.50000,6.0000,0.0110,-0.0110,2.6416
2.53125,6.0000,0.0123,-0.0123,2.6414
2.56250,6.0000,0.0111,-0.0111,2.6374
2.59375,6.0000,0.0103,-0.0103,2.6350
2.62500,6.0000,0.0234,-0.0234,2.6326
2.65625,6.0000,0.0362,-0.0362,2.6299
2.68750,6.0000,0.0386,-0.0386,2.6301
2.71875,6.0000,0.0384,-0.0384,2.6290
2.75000,6.0000,0.0362,-0.0362,2.6292
2.78125,6.0000,0.0389,-0.0389,2.6312
2.81250,6.0000,0.0410,-0.0410,2.6314
2.84375,6.0000,0.0333,-0.0333,2.6345
2.87500,6.0000,0.0285,-0.0285,2.6345
2.90625,6.0000,0.0228,-0.0228,2.6355
2.93750,6.0000,0.0242,-0.0242,2.6373
2.96875,6.0000,0.0257,-0.0257,2.6375
3.00000,6.0000,0.0196,-0.0196,2.6346
3.03125,6.0000,0.0159,-0.0159,2.6340
3.06250,6.0000,0.0278,-0.0278,2.6337
3.09375,6.0000,0.0369,-0.0369,2.6344
3.12500,6.0000,0.0322,-0.0322,2.6336
3.15625,6.0000,0.0219,-0.0219,2.6312
3.18750,6.0000,0.0239,-0.0239,2.6317
3.21875,6.0000,0.0398,-0.0398,2.6331
3.25000,6.0000,0.0423,-0.0423,2.6327
3.28125,6.0000,0.0272,-0.0272,2.6334
