time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0000
0.03125,0.0000,0.0000,0.0000,0.0028
0.06250,0.0000,0.0000,0.0000,-0.0002
0.09375,0.0000,-0.0082,0.0082,0.0012
0.12500,0.0000,-0.0029,0.0029,0.0026
0.15625,0.0000,0.0012,-0.0012,0.0024
0.18750,0.0000,-0.0049,0.0049,0.0066
0.21875,0.0000,-0.0098,0.0098,0.0035
0.25000,0.0000,-0.0199,0.0199,0.0046
0.28125,0.0000,-0.0112,0.0112,0.0033
0.31250,0.0000,-0.0037,0.0037,0.0033
0.34375,0.0000,-0.0028,0.0028,-0.0019
0.37500,0.0000,-0.0078,0.0078,0.0011
0.40625,0.0000,0.0050,-0.0050,-0.0015
0.43750,0.0000,0.0044,-0.0044,-0.0027
0.46875,0.0000,0.0023,-0.0023,0.0004
0.50000,0.0000,0.0052,-0.0052,-0.0012
0.53125,0.0000,-0.0014,0.0014,0.0029
0.56250,0.0000,-0.0011,0.0011,0.0028
0.59375,0.0000,-0.0081,0.0081,0.0065
0.62500,0.0000,-0.0104,0.0104,0.0062
0.65625,0.0000,-0.0170,0.0170,0.0072
0.68750,0.0000,-0.0170,0.0170,0.0099
0.71875,0.0000,-0.0155,0.0155,0.0095
0.75000,0.0000,-0.0228,0.0228,0.0108
0.78125,0.0000,-0.0262,0.0262,0.0079
0.81250,0.0000,-0.0261,0.0261,0.0051
0.84375,0.0000,-0.0149,0.0149,0.0041
0.87500,0.0000,-0.0018,0.0018,0.0031
0.90625,0.0000,-0.0013,0.0013,0.0007
0.93750,0.0000,-0.0077,0.0077,0.0037
0.96875,0.0000,-0.0041,0.0041,0.0023
1.00000,6.0000,5.9924,-5.9924,0.0009
1.03125,6.0000,5.9922,-5.9922,0.2627
1.06250,6.0000,5.9990,-5.9990,0.5097
1.09375,6.0000,5.2241,-5.2241,0.8688
1.12500,6.0000,4.1685,-4.1685,1.2191
1.15625,6.0000,3.2329,-3.2329,1.5125
1.18750,6.0000,2.5945,-2.5945,1.7719
1.21875,6.0000,2.1830,-2.1830,1.9778
1.25000,6.0000,1.7607,-1.7607,2.1375
1.28125,6.0000,1.3166,-1.3166,2.2697
1.31250,6.0000,0.9788,-0.9788,2.3752
1.34375,6.0000,0.7520,-0.7520,2.4586
1.37500,6.0000,0.5569,-0.5569,2.5229
1.40625,6.0000,0.3626,-0.3626,2.5702
1.43750,6.0000,0.2215,-0.2215,2.6060
1.46875,6.0000,0.1783,-0.1783,2.6308
1.50000,6.0000,0.1920,-0.1920,2.6482
1.53125,6.0000,0.1949,-0.1949,2.6631
1.56250,6.0000,0.1590,-0.1590,2.6737
1.59375,6.0000,0.0947,-0.0947,2.6823
1.62500,6.0000,0.0343,-0.0343,2.6901
1.65625,6.0000,-0.0083,0.0083,2.6967
1.68750,6.0000,-0.0345,0.0345,2.7009
1.71875,6.0000,-0.0392,0.0392,2.7026
1.75000,6.0000,-0.0134,0.0134,2.7005
1.78125,6.0000,0.0325,-0.0325,2.6976
1.81250,6.0000,0.0734,-0.0734,2.6937
1.84375,6.0000,0.0807,-0.0807,2.6957
1.87500,6.0000,0.0531,-0.0531,2.6947
1.90625,6.0000,-0.0029,0.0029,2.7016
1.93750,6.0000,-0.0406,0.0406,2.7040
1.96875,6.0000,-0.0594,0.0594,2.7087
2.00000,6.0000,-0.0436,0.0436,2.7095
2.03125,6.0000,-0.0097,0.0097,2.7074
2.06250,6.0000,0.0291,-0.0291,2.7074
2.09375,6.0000,0.0565,-0.0565,2.7088
2.12500,6.0000,0.0465,-0.0465,2.7089
2.15625,6.0000,-0.0020,0.0020,2.7075
2.18750,6.0000,-0.0514,0.0514,2.7102
2.21875,6.0000,-0.0672,0.0672,2.7114
