time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0000
0.03125,0.0000,0.0000,0.0000,0.0028
0.06250,0.0000,0.0000,0.0000,-0.0002
0.09375,0.0000,-0.0086,0.0086,0.0012
0.12500,0.0000,-0.0022,0.0022,0.0026
0.15625,0.0000,0.0017,-0.0017,0.0024
0.18750,0.0000,-0.0058,0.0058,0.0066
0.21875,0.0000,-0.0103,0.0103,0.0035
0.25000,0.0000,-0.0197,0.0197,0.0046
0.28125,0.0000,-0.0097,0.0097,0.0033
0.31250,0.0000,-0.0035,0.0035,0.0033
0.34375,0.0000,-0.0041,0.0041,-0.0019
0.37500,0.0000,-0.0087,0.0087,0.0011
0.40625,0.0000,0.0066,-0.0066,-0.0015
0.43750,0.0000,0.0048,-0.0048,-0.0027
0.46875,0.0000,0.0013,-0.0013,0.0004
0.50000,0.0000,0.0049,-0.0049,-0.0012
0.53125,0.0000,-0.0013,0.0013,0.0029
0.56250,0.0000,-0.0004,0.0004,0.0028
0.59375,0.0000,-0.0083,0.0083,0.0065
0.62500,0.0000,-0.0106,0.0106,0.0062
0.65625,0.0000,-0.0171,0.0171,0.0072
0.68750,0.0000,-0.0165,0.0165,0.0099
0.71875,0.0000,-0.0151,0.0151,0.0095
0.75000,0.0000,-0.0235,0.0235,0.0108
0.78125,0.0000,-0.0264,0.0264,0.0079
0.81250,0.0000,-0.0255,0.0255,0.0051
0.84375,0.0000,-0.0140,0.0140,0.0041
0.87500,0.0000,-0.0019,0.0019,0.0031
0.90625,0.0000,-0.0028,0.0028,0.0007
0.93750,0.0000,-0.0085,0.0085,0.0037
0.96875,0.0000,-0.0027,0.0027,0.0023
1.00000,6.0000,5.9930,-5.9930,0.0009
1.03125,6.0000,5.9917,-5.9917,0.2627
1.06250,6.0000,5.9988,-5.9988,0.5097
1.09375,6.0000,5.1815,-5.1815,0.8688
1.12500,6.0000,4.1433,-4.1433,1.2191
1.15625,6.0000,3.2662,-3.2662,1.5125
1.18750,6.0000,2.6439,-2.6439,1.7719
1.21875,6.0000,2.1913,-2.1913,1.9805
1.25000,6.0000,1.7295,-1.7295,2.1429
1.28125,6.0000,1.2913,-1.2913,2.2760
1.31250,6.0000,0.9826,-0.9826,2.3825
1.34375,6.0000,0.7595,-0.7595,2.4656
1.37500,6.0000,0.5390,-0.5390,2.5298
1.40625,6.0000,0.3337,-0.3337,2.5772
1.43750,6.0000,0.2088,-0.2088,2.6130
1.46875,6.0000,0.1786,-0.1786,2.6378
1.50000,6.0000,0.1807,-0.1807,2.6524
1.53125,6.0000,0.1660,-0.1660,2.6675
1.56250,6.0000,0.1403,-0.1403,2.6741
1.59375,6.0000,0.0938,-0.0938,2.6804
1.62500,6.0000,0.0489,-0.0489,2.6873
1.65625,6.0000,0.0085,-0.0085,2.6928
1.68750,6.0000,-0.0261,0.0261,2.6973
1.71875,6.0000,-0.0345,0.0345,2.6992
1.75000,6.0000,-0.0081,0.0081,2.6970
1.78125,6.0000,0.0372,-0.0372,2.6968
1.81250,6.0000,0.0768,-0.0768,2.6956
1.84375,6.0000,0.0767,-0.0767,2.6986
1.87500,6.0000,0.0437,-0.0437,2.6986
1.90625,6.0000,-0.0083,0.0083,2.7052
1.93750,6.0000,-0.0406,0.0406,2.7074
1.96875,6.0000,-0.0615,0.0615,2.7095
2.00000,6.0000,-0.0531,0.0531,2.7104
2.03125,6.0000,-0.0171,0.0171,2.7072
2.06250,6.0000,0.0241,-0.0241,2.7073
2.09375,6.0000,0.0549,-0.0549,2.7089
2.12500,6.0000,0.0464,-0.0464,2.7089
2.15625,6.0000,0.0005,-0.0005,2.7075
2.18750,6.0000,-0.0437,0.0437,2.7102
2.21875,6.0000,-0.0578,0.0578,2.7114
