time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0031
0.03125,0.0000,0.0000,0.0000,-0.0011
0.06250,0.0000,-0.0099,0.0099,0.0036
0.09375,0.0000,0.0016,-0.0016,0.0021
0.12500,0.0000,-0.0048,0.0048,0.0022
0.15625,0.0000,-0.0089,0.0089,0.0085
0.18750,0.0000,-0.0057,0.0057,0.0004
0.21875,0.0000,-0.0228,0.0228,0.0065
0.25000,0.0000,-0.0023,0.0023,-0.0017
0.28125,0.0000,-0.0064,0.0064,0.0004
0.31250,0.0000,0.0057,-0.0057,-0.0062
0.34375,0.0000,0.0040,-0.0040,-0.0008
0.37500,0.0000,0.0172,-0.0172,-0.0091
0.40625,0.0000,0.0034,-0.0034,-0.0037
0.43750,0.0000,0.0188,-0.0188,-0.0020
0.46875,0.0000,0.0135,-0.0135,-0.0028
0.50000,0.0000,-0.0031,0.0031,0.0038
0.53125,0.0000,-0.0005,0.0005,0.0017
0.56250,0.0000,-0.0102,0.0102,0.0086
0.59375,0.0000,-0.0074,0.0074,0.0065
0.62500,0.0000,-0.0226,0.0226,0.0104
0.65625,0.0000,-0.0208,0.0208,0.0094
0.68750,0.0000,-0.0228,0.0228,0.0096
0.71875,0.0000,-0.0212,0.0212,0.0096
0.75000,0.0000,-0.0204,0.0204,0.0065
0.78125,0.0000,-0.0211,0.0211,0.0046
0.81250,0.0000,-0.0120,0.0120,0.0021
0.84375,0.0000,-0.0034,0.0034,-0.0005
0.87500,0.0000,0.0004,-0.0004,-0.0029
0.90625,0.0000,0.0041,-0.0041,0.0011
0.93750,0.0000,0.0100,-0.0100,-0.0036
0.96875,0.0000,-0.0041,0.0041,-0.0021
1.00000,6.0000,6.0041,-6.0041,0.2884
1.03125,6.0000,6.0104,-6.0104,0.4719
1.06250,6.0000,5.0695,-5.0695,1.0004
1.09375,6.0000,4.2796,-4.2796,1.4001
1.12500,6.0000,3.0333,-3.0333,1.7949
1.15625,6.0000,2.0085,-2.0085,2.0913
1.18750,6.0000,1.3459,-1.3459,2.3211
1.21875,6.0000,0.9296,-0.9296,2.4773
1.25000,6.0000,0.5396,-0.5396,2.5816
1.28125,6.0000,0.2301,-0.2301,2.6466
1.31250,6.0000,0.0871,-0.0871,2.6887
1.34375,6.0000,0.0521,-0.0521,2.7093
1.37500,6.0000,0.0036,-0.0036,2.7199
1.40625,6.0000,-0.0498,0.0498,2.7201
1.43750,6.0000,-0.0631,0.0631,2.7203
1.46875,6.0000,-0.0313,0.0313,2.7176
1.50000,6.0000,-0.0166,0.0166,2.7153
1.53125,6.0000,-0.0256,0.0256,2.7095
1.56250,6.0000,-0.0299,0.0299,2.7052
1.59375,6.0000,-0.0062,0.0062,2.7006
1.62500,6.0000,0.0153,-0.0153,2.6955
1.65625,6.0000,0.0190,-0.0190,2.6966
1.68750,6.0000,0.0220,-0.0220,2.6991
1.71875,6.0000,0.0167,-0.0167,2.7014
1.75000,6.0000,0.0058,-0.0058,2.7041
1.78125,6.0000,-0.0006,0.0006,2.7034
1.81250,6.0000,-0.0034,0.0034,2.7066
1.84375,6.0000,0.0025,-0.0025,2.7024
1.87500,6.0000,-0.0049,0.0049,2.7102
1.90625,6.0000,0.0034,-0.0034,2.7046
1.93750,6.0000,-0.0152,0.0152,2.7124
1.96875,6.0000,-0.0062,0.0062,2.7131
2.00000,6.0000,-0.0174,0.0174,2.7159
2.03125,6.0000,-0.0279,0.0279,2.7185
2.06250,6.0000,-0.0317,0.0317,2.7178
2.09375,6.0000,-0.0339,0.0339,2.7149
2.12500,6.0000,-0.0297,0.0297,2.7099
2.15625,6.0000,-0.0180,0.0180,2.7055
2.18750,6.0000,-0.0022,0.0022,2.7003
2.21875,6.0000,0.0076,-0.0076,2.6983
2.25000,6.0000,0.0157,-0.0157,2.6958
2.28125,6.0000,0.0173,-0.0173,2.6968
2.31250,6.0000,0.0205,-0.0205,2.6963
2.34375,6.0000,0.0169,-0.0169,2.6961
2.37500,6.0000,0.0157,-0.0157,2.6994
2.40625,6.0000,0.0185,-0.0185,2.6986
2.43750,6.0000,0.0090,-0.0090,2.6988
2.46875,6.0000,0.0080,-0.0080,2.6987
2.50000,6.0000,0.0134,-0.0134,2.6988
2.53125,6.0000,0.0153,-0.0153,2.6926
2.56250,6.0000,0.0121,-0.0121,2.6918
2.59375,6.0000,0.0299,-0.0299,2.6858
2.62500,6.0000,0.0383,-0.0383,2.6810
2.65625,6.0000,0.0479,-0.0479,2.6825
2.68750,6.0000,0.0598,-0.0598,2.6788
2.71875,6.0000,0.0509,-0.0509,2.6828
2.75000,6.0000,0.0531,-0.0531,2.6845
2.78125,6.0000,0.0465,-0.0465,2.6871
2.81250,6.0000,0.0382,-0.0382,2.6928
2.84375,6.0000,0.0327,-0.0327,2.6910
2.87500,6.0000,0.0186,-0.0186,2.6947
2.90625,6.0000,0.0252,-0.0252,2.6968
2.93750,6.0000,0.0237,-0.0237,2.6990
2.96875,6.0000,0.0123,-0.0123,2.6953
3.00000,6.0000,0.0039,-0.0039,2.7002
3.03125,6.0000,0.0216,-0.0216,2.6954
3.06250,6.0000,0.0149,-0.0149,2.6963
3.09375,6.0000,0.0174,-0.0174,2.6963
3.12500,6.0000,0.0194,-0.0194,2.6936
3.15625,6.0000,0.0181,-0.0181,2.6944
3.18750,6.0000,0.0254,-0.0254,2.6936
3.21875,6.0000,0.0251,-0.0251,2.6937
3.25000,6.0000,0.0229,-0.0229,2.6943
3.28125,6.0000,0.0222,-0.0222,2.6912
3.31250,6.0000,0.0217,-0.0217,2.6887
3.34375,6.0000,0.0322,-0.0322,2.6924
3.37500,6.0000,0.0427,-0.0427,2.6941
3.40625,6.0000,0.0260,-0.0260,2.6997
3.43750,6.0000,0.0099,-0.0099,2.7043
3.46875,6.0000,-0.0004,0.0004,2.7091
3.50000,6.0000,-0.0067,0.0067,2.7109
3.53125,6.0000,-0.0168,0.0168,2.7137
3.56250,6.0000,-0.0203,0.0203,2.7099
3.59375,6.0000,-0.0235,0.0235,2.7143
3.62500,6.0000,-0.0097,0.0097,2.7095
3.65625,6.0000,-0.0188,0.0188,2.7171
3.68750,6.0000,-0.0144,0.0144,2.7118
3.71875,6.0000,-0.0320,0.0320,2.7137
3.75000,6.0000,-0.0213,0.0213,2.7103
3.78125,6.0000,-0.0138,0.0138,2.7048
3.81250,6.0000,-0.0081,0.0081,2.7096
3.84375,6.0000,0.0058,-0.0058,2.7078
3.87500,6.0000,-0.0106,0.0106,2.7143
3.90625,6.0000,-0.0172,0.0172,2.7094
3.93750,6.0000,-0.0288,0.0288,2.7116
3.96875,6.0000,-0.0112,0.0112,2.7017
4.00000,6.0000,-0.0070,0.0070,2.6982
4.03125,6.0000,0.0142,-0.0142,2.7023
4.06250,6.0000,0.0270,-0.0270,2.6973
4.09375,6.0000,0.0026,-0.0026,2.7021
4.12500,6.0000,0.0054,-0.0054,2.7012
4.15625,6.0000,0.0063,-0.0063,2.6981
4.18750,6.0000,0.0077,-0.0077,2.7020
4.21875,6.0000,0.0172,-0.0172,2.6976
4.25000,6.0000,0.0059,-0.0059,2.6993
4.28125,6.0000,0.0114,-0.0114,2.6959
4.31250,6.0000,0.0145,-0.0145,2.6965
4.34375,6.0000,0.0225,-0.0225,2.6991
4.37500,6.0000,0.0201,-0.0201,2.7045
4.40625,6.0000,0.0060,-0.0060,2.7060
4.43750,6.0000,-0.0126,0.0126,2.7120
4.46875,6.0000,-0.0123,0.0123,2.7071
4.50000,6.0000,-0.0191,0.0191,2.7120
4.53125,6.0000,-0.0048,0.0048,2.7074
4.56250,6.0000,-0.0132,0.0132,2.7055
4.59375,6.0000,-0.0096,0.0096,2.7063
4.62500,6.0000,0.0027,-0.0027,2.7028
4.65625,6.0000,0.0002,-0.0002,2.7068
