time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0023
0.03125,0.0000,0.0000,0.0000,-0.0013
0.06250,0.0000,-0.0066,0.0066,0.0036
0.09375,0.0000,-0.0000,0.0000,0.0015
0.12500,0.0000,-0.0050,0.0050,0.0012
0.15625,0.0000,-0.0069,0.0069,0.0069
0.18750,0.0000,-0.0033,0.0033,0.0002
0.21875,0.0000,-0.0158,0.0158,0.0065
0.25000,0.0000,-0.0066,0.0066,-0.0015
0.28125,0.0000,-0.0097,0.0097,0.0003
0.31250,0.0000,0.0044,-0.0044,-0.0047
0.34375,0.0000,0.0094,-0.0094,0.0003
0.37500,0.0000,0.0154,-0.0154,-0.0082
0.40625,0.0000,0.0004,-0.0004,-0.0030
0.43750,0.0000,0.0109,-0.0109,-0.0019
0.46875,0.0000,0.0134,-0.0134,-0.0029
0.50000,0.0000,0.0035,-0.0035,0.0030
0.53125,0.0000,-0.0008,0.0008,0.0009
0.56250,0.0000,-0.0117,0.0117,0.0070
0.59375,0.0000,-0.0080,0.0080,0.0049
0.62500,0.0000,-0.0144,0.0144,0.0086
0.65625,0.0000,-0.0147,0.0147,0.0101
0.68750,0.0000,-0.0207,0.0207,0.0090
0.71875,0.0000,-0.0283,0.0283,0.0126
0.75000,0.0000,-0.0250,0.0250,0.0094
0.78125,0.0000,-0.0273,0.0273,0.0086
0.81250,0.0000,-0.0220,0.0220,0.0062
0.84375,0.0000,-0.0144,0.0144,0.0035
0.87500,0.0000,-0.0074,0.0074,0.0018
0.90625,0.0000,-0.0016,0.0016,0.0052
0.93750,0.0000,0.0005,-0.0005,0.0004
0.96875,0.0000,-0.0134,0.0134,0.0025
1.00000,6.0000,5.9902,-5.9902,0.2239
1.03125,6.0000,5.9971,-5.9971,0.3222
1.06250,6.0000,5.3692,-5.3692,0.7619
1.09375,6.0000,4.7370,-4.7370,1.1100
1.12500,6.0000,3.6326,-3.6326,1.4559
1.15625,6.0000,2.5423,-2.5423,1.7423
1.18750,6.0000,1.8502,-1.8502,1.9799
1.21875,6.0000,1.5523,-1.5523,2.1541
1.25000,6.0000,1.3038,-1.3038,2.2863
1.28125,6.0000,0.9380,-0.9380,2.3821
1.31250,6.0000,0.5565,-0.5565,2.4620
1.34375,6.0000,0.3330,-0.3330,2.5228
1.37500,6.0000,0.2441,-0.2441,2.5634
1.40625,6.0000,0.1715,-0.1715,2.5895
1.43750,6.0000,0.0844,-0.0844,2.6041
1.46875,6.0000,0.0422,-0.0422,2.6140
1.50000,6.0000,0.0827,-0.0827,2.6256
1.53125,6.0000,0.1436,-0.1436,2.6271
1.56250,6.0000,0.1267,-0.1267,2.6349
1.59375,6.0000,0.0522,-0.0522,2.6403
1.62500,6.0000,-0.0320,0.0320,2.6432
1.65625,6.0000,-0.0730,0.0730,2.6484
1.68750,6.0000,-0.0591,0.0591,2.6482
1.71875,6.0000,-0.0284,0.0284,2.6444
1.75000,6.0000,0.0074,-0.0074,2.6434
1.78125,6.0000,0.0517,-0.0517,2.6371
1.81250,6.0000,0.0783,-0.0783,2.6432
1.84375,6.0000,0.0803,-0.0803,2.6403
1.87500,6.0000,0.0215,-0.0215,2.6522
1.90625,6.0000,-0.0410,0.0410,2.6503
1.93750,6.0000,-0.0964,0.0964,2.6566
1.96875,6.0000,-0.0855,0.0855,2.6561
2.00000,6.0000,-0.0398,0.0398,2.6523
2.03125,6.0000,0.0123,-0.0123,2.6514
2.06250,6.0000,0.0526,-0.0526,2.6473
2.09375,6.0000,0.0573,-0.0573,2.6475
2.12500,6.0000,0.0345,-0.0345,2.6484
2.15625,6.0000,-0.0110,0.0110,2.6513
2.18750,6.0000,-0.0584,0.0584,2.6466
2.21875,6.0000,-0.0846,0.0846,2.6486
2.25000,6.0000,-0.0525,0.0525,2.6443
2.28125,6.0000,0.0017,-0.0017,2.6411
2.31250,6.0000,0.0552,-0.0552,2.6360
2.34375,6.0000,0.0836,-0.0836,2.6362
2.37500,6.0000,0.0841,-0.0841,2.6377
2.40625,6.0000,0.0476,-0.0476,2.6446
2.43750,6.0000,-0.0103,0.0103,2.6471
2.46875,6.0000,-0.0687,0.0687,2.6524
2.50000,6.0000,-0.0831,0.0831,2.6522
2.53125,6.0000,-0.0548,0.0548,2.6460
2.56250,6.0000,0.0012,-0.0012,2.6417
2.59375,6.0000,0.0646,-0.0646,2.6343
2.62500,6.0000,0.0950,-0.0950,2.6294
2.65625,6.0000,0.0865,-0.0865,2.6328
2.68750,6.0000,0.0498,-0.0498,2.6336
2.71875,6.0000,-0.0102,0.0102,2.6383
2.75000,6.0000,-0.0495,0.0495,2.6398
2.78125,6.0000,-0.0500,0.0500,2.6381
2.81250,6.0000,-0.0094,0.0094,2.6400
2.84375,6.0000,0.0518,-0.0518,2.6306
2.87500,6.0000,0.0847,-0.0847,2.6335
2.90625,6.0000,0.1019,-0.1019,2.6342
2.93750,6.0000,0.0720,-0.0720,2.6372
2.96875,6.0000,0.0113,-0.0113,2.6393
3.00000,6.0000,-0.0445,0.0445,2.6462
3.03125,6.0000,-0.0610,0.0610,2.6413
3.06250,6.0000,-0.0493,0.0493,2.6377
3.09375,6.0000,0.0061,-0.0061,2.6354
3.12500,6.0000,0.0740,-0.0740,2.6285
3.15625,6.0000,0.1072,-0.1072,2.6289
3.18750,6.0000,0.1038,-0.1038,2.6287
3.21875,6.0000,0.0602,-0.0602,2.6338
3.25000,6.0000,0.0058,-0.0058,2.6392
3.28125,6.0000,-0.0405,0.0405,2.6380
3.31250,6.0000,-0.0586,0.0586,2.6360
3.34375,6.0000,-0.0229,0.0229,2.6372
3.37500,6.0000,0.0458,-0.0458,2.6336
3.40625,6.0000,0.0895,-0.0895,2.6367
3.43750,6.0000,0.0967,-0.0967,2.6399
3.46875,6.0000,0.0599,-0.0599,2.6456
3.50000,6.0000,0.0024,-0.0024,2.6518
3.53125,6.0000,-0.0529,0.0529,2.6562
3.56250,6.0000,-0.0868,0.0868,2.6562
3.59375,6.0000,-0.0856,0.0856,2.6570
3.62500,6.0000,-0.0430,0.0430,2.6512
3.65625,6.0000,0.0107,-0.0107,2.6532
3.68750,6.0000,0.0582,-0.0582,2.6471
3.71875,6.0000,0.0550,-0.0550,2.6493
3.75000,6.0000,0.0266,-0.0266,2.6478
3.78125,6.0000,-0.0216,0.0216,2.6474
3.81250,6.0000,-0.0578,0.0578,2.6531
3.84375,6.0000,-0.0642,0.0642,2.6511
3.87500,6.0000,-0.0575,0.0575,2.6548
3.90625,6.0000,-0.0208,0.0208,2.6470
3.93750,6.0000,0.0185,-0.0185,2.6487
3.96875,6.0000,0.0642,-0.0642,2.6392
4.00000,6.0000,0.0647,-0.0647,2.6403
4.03125,6.0000,0.0420,-0.0420,2.6463
4.06250,6.0000,-0.0066,0.0066,2.6483
4.09375,6.0000,-0.0669,0.0669,2.6547
4.12500,6.0000,-0.0869,0.0869,2.6526
4.15625,6.0000,-0.0632,0.0632,2.6490
4.18750,6.0000,-0.0007,0.0007,2.6440
4.21875,6.0000,0.0619,-0.0619,2.6395
4.25000,6.0000,0.0878,-0.0878,2.6412
4.28125,6.0000,0.0687,-0.0687,2.6399
4.31250,6.0000,0.0106,-0.0106,2.6418
4.34375,6.0000,-0.0383,0.0383,2.6462
4.37500,6.0000,-0.0566,0.0566,2.6477
4.40625,6.0000,-0.0519,0.0519,2.6484
4.43750,6.0000,-0.0248,0.0248,2.6490
4.46875,6.0000,0.0173,-0.0173,2.6432
4.50000,6.0000,0.0520,-0.0520,2.6476
4.53125,6.0000,0.0736,-0.0736,2.6449
4.56250,6.0000,0.0402,-0.0402,2.6480
4.59375,6.0000,-0.0150,0.0150,2.6530
4.62500,6.0000,-0.0641,0.0641,2.6488
4.65625,6.0000,-0.0877,0.0877,2.6538
4.68750,6.0000,-0.0532,0.0532,2.6447
4.71875,6.0000,-0.0083,0.0083,2.6459
4.75000,6.0000,0.0501,-0.0501,2.6398
4.78125,6.0000,0.0742,-0.0742,2.6425
4.81250,6.0000,0.0700,-0.0700,2.6427
4.84375,6.0000,0.0268,-0.0268,2.6462
4.87500,6.0000,-0.0263,0.0263,2.6495
4.90625,6.0000,-0.0653,0.0653,2.6431
4.93750,6.0000,-0.0728,0.0728,2.6453
4.96875,6.0000,-0.0223,0.0223,2.6415
5.00000,6.0000,0.0328,-0.0328,2.6424
5.03125,6.0000,0.0692,-0.0692,2.6398
5.06250,6.0000,0.0681,-0.0681,2.6412
5.09375,6.0000,0.0478,-0.0478,2.6399
5.12500,6.0000,0.0124,-0.0124,2.6394
5.15625,6.0000,-0.0211,0.0211,2.6452
5.18750,6.0000,-0.0395,0.0395,2.6431
5.21875,6.0000,-0.0496,0.0496,2.6422
5.25000,6.0000,-0.0214,0.0214,2.6439
5.28125,6.0000,0.0351,-0.0351,2.6346
5.31250,6.0000,0.0715,-0.0715,2.6398
5.34375,6.0000,0.0916,-0.0916,2.6369
5.37500,6.0000,0.0538,-0.0538,2.6471
5.40625,6.0000,-0.0009,0.0009,2.6481
5.43750,6.0000,-0.0640,0.0640,2.6594
5.46875,6.0000,-0.0830,0.0830,2.6571
5.50000,6.0000,-0.0780,0.0780,2.6570
5.53125,6.0000,-0.0328,0.0328,2.6552
5.56250,6.0000,0.0218,-0.0218,2.6467
5.59375,6.0000,0.0507,-0.0507,2.6517
5.62500,6.0000,0.0582,-0.0582,2.6465
5.65625,6.0000,0.0116,-0.0116,2.6533
5.68750,6.0000,-0.0364,0.0364,2.6510
5.71875,6.0000,-0.0782,0.0782,2.6548
5.75000,6.0000,-0.0747,0.0747,2.6516
5.78125,6.0000,-0.0447,0.0447,2.6531
5.81250,6.0000,0.0049,-0.0049,2.6495
5.84375,6.0000,0.0383,-0.0383,2.6526
5.87500,6.0000,0.0518,-0.0518,2.6535
5.90625,6.0000,0.0260,-0.0260,2.6558
5.93750,6.0000,-0.0219,0.0219,2.6586
5.96875,6.0000,-0.0675,0.0675,2.6580
6.00000,6.0000,-0.0912,0.0912,2.6558
6.03125,6.0000,-0.0763,0.0763,2.6524
6.06250,6.0000,-0.0294,0.0294,2.6490
6.09375,6.0000,0.0244,-0.0244,2.6393
6.12500,6.0000,0.0580,-0.0580,2.6397
6.15625,6.0000,0.0782,-0.0782,2.6354
6.18750,6.0000,0.0554,-0.0554,2.6356
6.21875,6.0000,0.0133,-0.0133,2.6435
6.25000,6.0000,-0.0254,0.0254,2.6355
6.28125,6.0000,-0.0589,0.0589,2.6454
6.31250,6.0000,-0.0262,0.0262,2.6320
6.34375,6.0000,0.0105,-0.0105,2.6365
6.37500,6.0000,0.0757,-0.0757,2.6266
6.40625,6.0000,0.0977,-0.0977,2.6296
6.43750,6.0000,0.0961,-0.0961,2.6256
6.46875,6.0000,0.0555,-0.0555,2.6265
6.50000,6.0000,0.0154,-0.0154,2.6286
6.53125,6.0000,-0.0082,0.0082,2.6274
6.56250,6.0000,-0.0122,0.0122,2.6309
6.59375,6.0000,0.0141,-0.0141,2.6278
6.62500,6.0000,0.0471,-0.0471,2.6293
6.65625,6.0000,0.0857,-0.0857,2.6280
6.68750,6.0000,0.0992,-0.0992,2.6298
6.71875,6.0000,0.0819,-0.0819,2.6366
6.75000,6.0000,0.0366,-0.0366,2.6392
6.78125,6.0000,-0.0253,0.0253,2.6445
6.81250,6.0000,-0.0583,0.0583,2.6489
6.84375,6.0000,-0.0521,0.0521,2.6448
6.87500,6.0000,-0.0217,0.0217,2.6451
6.90625,6.0000,0.0311,-0.0311,2.6409
6.93750,6.0000,0.0658,-0.0658,2.6360
