time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0031
0.03125,0.0000,0.0000,0.0000,-0.0011
0.06250,0.0000,-0.0096,0.0096,0.0036
0.09375,0.0000,0.0005,-0.0005,0.0021
0.12500,0.0000,-0.0044,0.0044,0.0022
0.15625,0.0000,-0.0082,0.0082,0.0085
0.18750,0.0000,-0.0061,0.0061,0.0004
0.21875,0.0000,-0.0227,0.0227,0.0065
0.25000,0.0000,-0.0040,0.0040,-0.0017
0.28125,0.0000,-0.0054,0.0054,0.0004
0.31250,0.0000,0.0069,-0.0069,-0.0062
0.34375,0.0000,0.0051,-0.0051,-0.0008
0.37500,0.0000,0.0164,-0.0164,-0.0091
0.40625,0.0000,0.0037,-0.0037,-0.0037
0.43750,0.0000,0.0174,-0.0174,-0.0020
0.46875,0.0000,0.0133,-0.0133,-0.0028
0.50000,0.0000,-0.0026,0.0026,0.0038
0.53125,0.0000,-0.0020,0.0020,0.0017
0.56250,0.0000,-0.0107,0.0107,0.0086
0.59375,0.0000,-0.0068,0.0068,0.0065
0.62500,0.0000,-0.0206,0.0206,0.0104
0.65625,0.0000,-0.0210,0.0210,0.0094
0.68750,0.0000,-0.0239,0.0239,0.0096
0.71875,0.0000,-0.0218,0.0218,0.0096
0.75000,0.0000,-0.0201,0.0201,0.0065
0.78125,0.0000,-0.0210,0.0210,0.0046
0.81250,0.0000,-0.0127,0.0127,0.0021
0.84375,0.0000,-0.0031,0.0031,-0.0005
0.87500,0.0000,0.0021,-0.0021,-0.0029
0.90625,0.0000,0.0053,-0.0053,0.0011
0.93750,0.0000,0.0096,-0.0096,-0.0036
0.96875,0.0000,-0.0046,0.0046,-0.0021
1.00000,6.0000,6.0021,-6.0021,0.2884
1.03125,6.0000,6.0093,-6.0093,0.4719
1.06250,6.0000,5.0966,-5.0966,1.0004
1.09375,6.0000,4.2271,-4.2271,1.4001
1.12500,6.0000,2.9401,-2.9401,1.7919
1.15625,6.0000,1.9159,-1.9159,2.0832
1.18750,6.0000,1.3154,-1.3154,2.3086
1.21875,6.0000,0.9978,-0.9978,2.4566
1.25000,6.0000,0.6744,-0.6744,2.5632
1.28125,6.0000,0.3618,-0.3618,2.6301
1.31250,6.0000,0.1429,-0.1429,2.6804
1.34375,6.0000,0.0377,-0.0377,2.7079
1.37500,6.0000,-0.0519,0.0519,2.7199
1.40625,6.0000,-0.1251,0.1251,2.7204
1.43750,6.0000,-0.1207,0.1207,2.7145
1.46875,6.0000,-0.0323,0.0323,2.7073
1.50000,6.0000,0.0646,-0.0646,2.7032
1.53125,6.0000,0.0991,-0.0991,2.7007
1.56250,6.0000,0.0653,-0.0653,2.7010
1.59375,6.0000,0.0106,-0.0106,2.7073
1.62500,6.0000,-0.0355,0.0355,2.7084
1.65625,6.0000,-0.0807,0.0807,2.7111
1.68750,6.0000,-0.0890,0.0890,2.7106
1.71875,6.0000,-0.0537,0.0537,2.7049
1.75000,6.0000,0.0095,-0.0095,2.7007
1.78125,6.0000,0.0753,-0.0753,2.6955
1.81250,6.0000,0.0996,-0.0996,2.6997
1.84375,6.0000,0.0764,-0.0764,2.6979
1.87500,6.0000,0.0029,-0.0029,2.7111
1.90625,6.0000,-0.0517,0.0517,2.7070
1.93750,6.0000,-0.1024,0.1024,2.7147
1.96875,6.0000,-0.0796,0.0796,2.7097
2.00000,6.0000,-0.0358,0.0358,2.7052
2.03125,6.0000,0.0277,-0.0277,2.7037
2.06250,6.0000,0.0808,-0.0808,2.7005
2.09375,6.0000,0.0825,-0.0825,2.7010
2.12500,6.0000,0.0435,-0.0435,2.7042
2.15625,6.0000,-0.0149,0.0149,2.7064
2.18750,6.0000,-0.0684,0.0684,2.7055
2.21875,6.0000,-0.0871,0.0871,2.7060
2.25000,6.0000,-0.0537,0.0537,2.7001
2.28125,6.0000,0.0021,-0.0021,2.6959
2.31250,6.0000,0.0666,-0.0666,2.6907
2.34375,6.0000,0.1046,-0.1046,2.6918
2.37500,6.0000,0.1018,-0.1018,2.6973
2.40625,6.0000,0.0483,-0.0483,2.7047
2.43750,6.0000,-0.0317,0.0317,2.7118
2.46875,6.0000,-0.0918,0.0918,2.7162
2.50000,6.0000,-0.1030,0.1030,2.7123
2.53125,6.0000,-0.0679,0.0679,2.7017
2.56250,6.0000,0.0052,-0.0052,2.6930
2.59375,6.0000,0.0888,-0.0888,2.6827
2.62500,6.0000,0.1276,-0.1276,2.6788
2.65625,6.0000,0.1159,-0.1159,2.6859
2.68750,6.0000,0.0642,-0.0642,2.6865
2.71875,6.0000,-0.0186,0.0186,2.6957
2.75000,6.0000,-0.0555,0.0555,2.6962
2.78125,6.0000,-0.0536,0.0536,2.6933
2.81250,6.0000,-0.0071,0.0071,2.6947
2.84375,6.0000,0.0641,-0.0641,2.6847
2.87500,6.0000,0.1002,-0.1002,2.6907
2.90625,6.0000,0.1210,-0.1210,2.6916
2.93750,6.0000,0.0745,-0.0745,2.7001
2.96875,6.0000,0.0014,-0.0014,2.7008
3.00000,6.0000,-0.0686,0.0686,2.7076
3.03125,6.0000,-0.0794,0.0794,2.7025
3.06250,6.0000,-0.0589,0.0589,2.6977
3.09375,6.0000,0.0026,-0.0026,2.6935
3.12500,6.0000,0.0741,-0.0741,2.6856
3.15625,6.0000,0.1119,-0.1119,2.6875
3.18750,6.0000,0.1152,-0.1152,2.6891
3.21875,6.0000,0.0636,-0.0636,2.6946
3.25000,6.0000,-0.0072,0.0072,2.6998
3.28125,6.0000,-0.0609,0.0609,2.6985
3.31250,6.0000,-0.0729,0.0729,2.6958
3.34375,6.0000,-0.0271,0.0271,2.6937
3.37500,6.0000,0.0441,-0.0441,2.6913
3.40625,6.0000,0.0927,-0.0927,2.6917
3.43750,6.0000,0.1037,-0.1037,2.6974
3.46875,6.0000,0.0769,-0.0769,2.7047
3.50000,6.0000,0.0130,-0.0130,2.7118
3.53125,6.0000,-0.0609,0.0609,2.7162
3.56250,6.0000,-0.1063,0.1063,2.7123
3.59375,6.0000,-0.0998,0.0998,2.7109
3.62500,6.0000,-0.0346,0.0346,2.6988
3.65625,6.0000,0.0311,-0.0311,2.6993
3.68750,6.0000,0.0929,-0.0929,2.6926
3.71875,6.0000,0.0927,-0.0927,2.6974
3.75000,6.0000,0.0633,-0.0633,2.7019
3.78125,6.0000,0.0007,-0.0007,2.7064
3.81250,6.0000,-0.0631,0.0631,2.7146
3.84375,6.0000,-0.0907,0.0907,2.7155
3.87500,6.0000,-0.0858,0.0858,2.7186
3.90625,6.0000,-0.0387,0.0387,2.7086
3.93750,6.0000,0.0120,-0.0120,2.7091
3.96875,6.0000,0.0710,-0.0710,2.6994
4.00000,6.0000,0.0707,-0.0707,2.7017
4.03125,6.0000,0.0426,-0.0426,2.7099
4.06250,6.0000,-0.0174,0.0174,2.7131
4.09375,6.0000,-0.0920,0.0920,2.7188
4.12500,6.0000,-0.1135,0.1135,2.7149
4.15625,6.0000,-0.0815,0.0815,2.7071
4.18750,6.0000,-0.0068,0.0068,2.7032
4.21875,6.0000,0.0695,-0.0695,2.6945
4.25000,6.0000,0.0930,-0.0930,2.6971
4.28125,6.0000,0.0817,-0.0817,2.6962
4.31250,6.0000,0.0260,-0.0260,2.7022
4.34375,6.0000,-0.0298,0.0298,2.7064
4.37500,6.0000,-0.0732,0.0732,2.7116
4.40625,6.0000,-0.0808,0.0808,2.7105
4.43750,6.0000,-0.0534,0.0534,2.7111
4.46875,6.0000,0.0076,-0.0076,2.7015
4.50000,6.0000,0.0556,-0.0556,2.7077
4.53125,6.0000,0.0896,-0.0896,2.7022
4.56250,6.0000,0.0446,-0.0446,2.7066
4.59375,6.0000,-0.0116,0.0116,2.7118
4.62500,6.0000,-0.0621,0.0621,2.7102
4.65625,6.0000,-0.0953,0.0953,2.7139
