time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0008
0.03125,0.0000,0.0000,0.0000,0.0004
0.06250,0.0000,-0.0027,0.0027,0.0008
0.09375,0.0000,-0.0017,0.0017,0.0013
0.12500,0.0000,-0.0011,0.0011,0.0015
0.15625,0.0000,-0.0033,0.0033,0.0030
0.18750,0.0000,-0.0048,0.0048,0.0029
0.21875,0.0000,-0.0084,0.0084,0.0036
0.25000,0.0000,-0.0080,0.0080,0.0035
0.28125,0.0000,-0.0077,0.0077,0.0034
0.31250,0.0000,-0.0076,0.0076,0.0017
0.34375,0.0000,-0.0075,0.0075,0.0018
0.37500,0.0000,-0.0021,0.0021,0.0006
0.40625,0.0000,-0.0014,0.0014,-0.0004
0.43750,0.0000,-0.0009,0.0009,-0.0001
0.46875,0.0000,0.0021,-0.0021,-0.0014
0.50000,0.0000,0.0013,-0.0013,-0.0007
0.53125,0.0000,0.0035,-0.0035,-0.0010
0.56250,0.0000,0.0022,-0.0022,0.0002
0.59375,0.0000,0.0014,-0.0014,0.0008
0.62500,0.0000,-0.0017,0.0017,0.0017
0.65625,0.0000,-0.0038,0.0038,0.0031
0.68750,0.0000,-0.0051,0.0051,0.0038
0.71875,0.0000,-0.0085,0.0085,0.0056
0.75000,0.0000,-0.0107,0.0107,0.0058
0.78125,0.0000,-0.0148,0.0148,0.0066
0.81250,0.0000,-0.0147,0.0147,0.0066
0.84375,0.0000,-0.0147,0.0147,0.0066
0.87500,0.0000,-0.0147,0.0147,0.0058
0.90625,0.0000,-0.0147,0.0147,0.0063
0.93750,0.0000,-0.0120,0.0120,0.0058
0.96875,0.0000,-0.0130,0.0130,0.0053
1.00000,6.0000,5.9864,-5.9864,0.0832
1.03125,6.0000,5.9887,-5.9887,0.1953
1.06250,6.0000,5.7383,-5.7383,0.3803
1.09375,6.0000,5.3237,-5.3237,0.6102
1.12500,6.0000,4.8068,-4.8068,0.8630
1.15625,6.0000,4.2324,-4.2324,1.1234
1.18750,6.0000,3.6399,-3.6399,1.3789
1.21875,6.0000,3.0569,-3.0569,1.6197
1.25000,6.0000,2.5034,-2.5034,1.8415
1.28125,6.0000,1.9976,-1.9976,2.0396
1.31250,6.0000,1.5429,-1.5429,2.2135
1.34375,6.0000,1.1440,-1.1440,2.3630
1.37500,6.0000,0.8010,-0.8010,2.4887
1.40625,6.0000,0.5110,-0.5110,2.5928
1.43750,6.0000,0.2723,-0.2723,2.6766
1.46875,6.0000,0.0785,-0.0785,2.7426
1.50000,6.0000,-0.0742,0.0742,2.7937
1.53125,6.0000,-0.1906,0.1906,2.8303
1.56250,6.0000,-0.2788,0.2788,2.8556
1.59375,6.0000,-0.3381,0.3381,2.8709
1.62500,6.0000,-0.3737,0.3737,2.8787
1.65625,6.0000,-0.3912,0.3912,2.8802
1.68750,6.0000,-0.3966,0.3966,2.8777
1.71875,6.0000,-0.3912,0.3912,2.8710
1.75000,6.0000,-0.3784,0.3784,2.8624
1.78125,6.0000,-0.3578,0.3578,2.8517
1.81250,6.0000,-0.3342,0.3342,2.8407
1.84375,6.0000,-0.3082,0.3082,2.8275
1.87500,6.0000,-0.2829,0.2829,2.8161
1.90625,6.0000,-0.2525,0.2525,2.8041
1.93750,6.0000,-0.2261,0.2261,2.7940
1.96875,6.0000,-0.2020,0.2020,2.7848
2.00000,6.0000,-0.1817,0.1817,2.7758
2.03125,6.0000,-0.1639,0.1639,2.7686
2.06250,6.0000,-0.1446,0.1446,2.7617
2.09375,6.0000,-0.1293,0.1293,2.7553
2.12500,6.0000,-0.1166,0.1166,2.7491
2.15625,6.0000,-0.1032,0.1032,2.7433
2.18750,6.0000,-0.0890,0.0890,2.7385
2.21875,6.0000,-0.0763,0.0763,2.7337
2.25000,6.0000,-0.0674,0.0674,2.7298
2.28125,6.0000,-0.0586,0.0586,2.7266
2.31250,6.0000,-0.0499,0.0499,2.7238
2.34375,6.0000,-0.0437,0.0437,2.7217
2.37500,6.0000,-0.0390,0.0390,2.7201
2.40625,6.0000,-0.0353,0.0353,2.7196
2.43750,6.0000,-0.0325,0.0325,2.7188
2.46875,6.0000,-0.0327,0.0327,2.7194
2.50000,6.0000,-0.0322,0.0322,2.7193
2.53125,6.0000,-0.0339,0.0339,2.7187
2.56250,6.0000,-0.0343,0.0343,2.7174
2.59375,6.0000,-0.0313,0.0313,2.7159
2.62500,6.0000,-0.0261,0.0261,2.7132
2.65625,6.0000,-0.0220,0.0220,2.7114
2.68750,6.0000,-0.0162,0.0162,2.7094
2.71875,6.0000,-0.0118,0.0118,2.7087
2.75000,6.0000,-0.0083,0.0083,2.7085
2.78125,6.0000,-0.0081,0.0081,2.7085
2.81250,6.0000,-0.0099,0.0099,2.7096
2.84375,6.0000,-0.0104,0.0104,2.7098
2.87500,6.0000,-0.0127,0.0127,2.7102
2.90625,6.0000,-0.0135,0.0135,2.7117
2.93750,6.0000,-0.0134,0.0134,2.7129
2.96875,6.0000,-0.0179,0.0179,2.7135
3.00000,6.0000,-0.0228,0.0228,2.7150
3.03125,6.0000,-0.0225,0.0225,2.7167
3.06250,6.0000,-0.0243,0.0243,2.7176
3.09375,6.0000,-0.0301,0.0301,2.7181
3.12500,6.0000,-0.0331,0.0331,2.7175
3.15625,6.0000,-0.0317,0.0317,2.7173
3.18750,6.0000,-0.0274,0.0274,2.7169
3.21875,6.0000,-0.0266,0.0266,2.7159
3.25000,6.0000,-0.0280,0.0280,2.7156
3.28125,6.0000,-0.0256,0.0256,2.7146
3.31250,6.0000,-0.0233,0.0233,2.7136
3.34375,6.0000,-0.0212,0.0212,2.7135
3.37500,6.0000,-0.0190,0.0190,2.7137
3.40625,6.0000,-0.0196,0.0196,2.7148
3.43750,6.0000,-0.0220,0.0220,2.7163
3.46875,6.0000,-0.0254,0.0254,2.7181
3.50000,6.0000,-0.0295,0.0295,2.7202
3.53125,6.0000,-0.0340,0.0340,2.7215
3.56250,6.0000,-0.0389,0.0389,2.7226
3.59375,6.0000,-0.0412,0.0412,2.7238
3.62500,6.0000,-0.0420,0.0420,2.7240
3.65625,6.0000,-0.0444,0.0444,2.7252
3.68750,6.0000,-0.0452,0.0452,2.7246
3.71875,6.0000,-0.0476,0.0476,2.7238
3.75000,6.0000,-0.0457,0.0457,2.7234
3.78125,6.0000,-0.0411,0.0411,2.7221
3.81250,6.0000,-0.0400,0.0400,2.7223
3.84375,6.0000,-0.0386,0.0386,2.7227
3.87500,6.0000,-0.0396,0.0396,2.7238
3.90625,6.0000,-0.0421,0.0421,2.7229
