time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0010
0.03125,0.0000,0.0000,0.0000,0.0003
0.06250,0.0000,-0.0029,0.0029,0.0009
0.09375,0.0000,-0.0023,0.0023,0.0016
0.12500,0.0000,-0.0015,0.0015,0.0016
0.15625,0.0000,-0.0034,0.0034,0.0034
0.18750,0.0000,-0.0051,0.0051,0.0031
0.21875,0.0000,-0.0096,0.0096,0.0040
0.25000,0.0000,-0.0099,0.0099,0.0038
0.28125,0.0000,-0.0091,0.0091,0.0037
0.31250,0.0000,-0.0078,0.0078,0.0016
0.34375,0.0000,-0.0073,0.0073,0.0021
0.37500,0.0000,-0.0021,0.0021,0.0005
0.40625,0.0000,-0.0010,0.0010,-0.0007
0.43750,0.0000,-0.0002,0.0002,-0.0001
0.46875,0.0000,0.0026,-0.0026,-0.0018
0.50000,0.0000,0.0015,-0.0015,-0.0007
0.53125,0.0000,0.0036,-0.0036,-0.0012
0.56250,0.0000,0.0026,-0.0026,0.0003
0.59375,0.0000,0.0019,-0.0019,0.0008
0.62500,0.0000,-0.0018,0.0018,0.0019
0.65625,0.0000,-0.0047,0.0047,0.0036
0.68750,0.0000,-0.0064,0.0064,0.0042
0.71875,0.0000,-0.0098,0.0098,0.0063
0.75000,0.0000,-0.0122,0.0122,0.0063
0.78125,0.0000,-0.0169,0.0169,0.0073
0.81250,0.0000,-0.0174,0.0174,0.0072
0.84375,0.0000,-0.0167,0.0167,0.0071
0.87500,0.0000,-0.0156,0.0156,0.0061
0.90625,0.0000,-0.0151,0.0151,0.0068
0.93750,0.0000,-0.0128,0.0128,0.0062
0.96875,0.0000,-0.0142,0.0142,0.0055
1.00000,6.0000,5.9849,-5.9849,0.1019
1.03125,6.0000,5.9872,-5.9872,0.2227
1.06250,6.0000,5.7150,-5.7150,0.4280
1.09375,6.0000,5.2193,-5.2193,0.6825
1.12500,6.0000,4.5756,-4.5756,0.9578
1.15625,6.0000,3.8920,-3.8920,1.2377
1.18750,6.0000,3.2535,-3.2535,1.5059
1.21875,6.0000,2.6683,-2.6683,1.7522
1.25000,6.0000,2.1150,-2.1150,1.9726
1.28125,6.0000,1.5949,-1.5949,2.1639
1.31250,6.0000,1.1301,-1.1301,2.3260
1.34375,6.0000,0.7394,-0.7394,2.4599
1.37500,6.0000,0.4200,-0.4200,2.5681
1.40625,6.0000,0.1614,-0.1614,2.6522
1.43750,6.0000,-0.0402,0.0402,2.7154
1.46875,6.0000,-0.1801,0.1801,2.7597
1.50000,6.0000,-0.2633,0.2633,2.7903
1.53125,6.0000,-0.3084,0.3084,2.8068
1.56250,6.0000,-0.3433,0.3433,2.8141
1.59375,6.0000,-0.3736,0.3736,2.8136
1.62500,6.0000,-0.3939,0.3939,2.8077
1.65625,6.0000,-0.3958,0.3958,2.7981
1.68750,6.0000,-0.3772,0.3772,2.7862
1.71875,6.0000,-0.3427,0.3427,2.7716
1.75000,6.0000,-0.2980,0.2980,2.7576
1.78125,6.0000,-0.2458,0.2458,2.7423
1.81250,6.0000,-0.1987,0.1987,2.7295
1.84375,6.0000,-0.1638,0.1638,2.7154
1.87500,6.0000,-0.1492,0.1492,2.7056
1.90625,6.0000,-0.1414,0.1414,2.6958
1.93750,6.0000,-0.1361,0.1361,2.6883
1.96875,6.0000,-0.1221,0.1221,2.6831
2.00000,6.0000,-0.0978,0.0978,2.6780
2.03125,6.0000,-0.0714,0.0714,2.6750
2.06250,6.0000,-0.0468,0.0468,2.6732
2.09375,6.0000,-0.0334,0.0334,2.6705
2.12500,6.0000,-0.0363,0.0363,2.6687
2.15625,6.0000,-0.0472,0.0472,2.6669
