time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0008
0.03125,0.0000,0.0000,0.0000,0.0004
0.06250,0.0000,-0.0026,0.0026,0.0008
0.09375,0.0000,-0.0019,0.0019,0.0013
0.12500,0.0000,-0.0012,0.0012,0.0015
0.15625,0.0000,-0.0031,0.0031,0.0030
0.18750,0.0000,-0.0047,0.0047,0.0029
0.21875,0.0000,-0.0085,0.0085,0.0036
0.25000,0.0000,-0.0084,0.0084,0.0035
0.28125,0.0000,-0.0078,0.0078,0.0034
0.31250,0.0000,-0.0072,0.0072,0.0017
0.34375,0.0000,-0.0072,0.0072,0.0018
0.37500,0.0000,-0.0023,0.0023,0.0006
0.40625,0.0000,-0.0011,0.0011,-0.0004
0.43750,0.0000,-0.0005,0.0005,-0.0001
0.46875,0.0000,0.0019,-0.0019,-0.0014
0.50000,0.0000,0.0010,-0.0010,-0.0007
0.53125,0.0000,0.0032,-0.0032,-0.0010
0.56250,0.0000,0.0023,-0.0023,0.0002
0.59375,0.0000,0.0016,-0.0016,0.0008
0.62500,0.0000,-0.0016,0.0016,0.0017
0.65625,0.0000,-0.0039,0.0039,0.0031
0.68750,0.0000,-0.0052,0.0052,0.0038
0.71875,0.0000,-0.0084,0.0084,0.0056
0.75000,0.0000,-0.0108,0.0108,0.0058
0.78125,0.0000,-0.0151,0.0151,0.0066
0.81250,0.0000,-0.0152,0.0152,0.0066
0.84375,0.0000,-0.0147,0.0147,0.0066
0.87500,0.0000,-0.0142,0.0142,0.0058
0.90625,0.0000,-0.0143,0.0143,0.0063
0.93750,0.0000,-0.0120,0.0120,0.0058
0.96875,0.0000,-0.0129,0.0129,0.0053
1.00000,6.0000,5.9864,-5.9864,0.0832
1.03125,6.0000,5.9882,-5.9882,0.1953
1.06250,6.0000,5.7449,-5.7449,0.3803
1.09375,6.0000,5.3150,-5.3150,0.6110
1.12500,6.0000,4.7707,-4.7707,0.8641
1.15625,6.0000,4.1848,-4.1848,1.1253
1.18750,6.0000,3.6067,-3.6067,1.3805
1.21875,6.0000,3.0450,-3.0450,1.6212
1.25000,6.0000,2.5060,-2.5060,1.8417
1.28125,6.0000,2.0040,-2.0040,2.0390
1.31250,6.0000,1.5506,-1.5506,2.2119
1.34375,6.0000,1.1465,-1.1465,2.3608
1.37500,6.0000,0.7918,-0.7918,2.4861
1.40625,6.0000,0.4911,-0.4911,2.5900
1.43750,6.0000,0.2522,-0.2522,2.6736
1.46875,6.0000,0.0711,-0.0711,2.7395
1.50000,6.0000,-0.0640,0.0640,2.7906
1.53125,6.0000,-0.1674,0.1674,2.8272
1.56250,6.0000,-0.2520,0.2520,2.8524
1.59375,6.0000,-0.3178,0.3178,2.8686
1.62500,6.0000,-0.3662,0.3662,2.8768
1.65625,6.0000,-0.3994,0.3994,2.8800
1.68750,6.0000,-0.4143,0.4143,2.8785
1.71875,6.0000,-0.4106,0.4106,2.8730
1.75000,6.0000,-0.3891,0.3891,2.8653
1.78125,6.0000,-0.3555,0.3555,2.8543
1.81250,6.0000,-0.3223,0.3223,2.8434
1.84375,6.0000,-0.2936,0.2936,2.8307
1.87500,6.0000,-0.2760,0.2760,2.8195
1.90625,6.0000,-0.2620,0.2620,2.8081
1.93750,6.0000,-0.2498,0.2498,2.7977
1.96875,6.0000,-0.2319,0.2319,2.7886
2.00000,6.0000,-0.2051,0.2051,2.7791
2.03125,6.0000,-0.1735,0.1735,2.7709
2.06250,6.0000,-0.1398,0.1398,2.7634
2.09375,6.0000,-0.1131,0.1131,2.7559
2.12500,6.0000,-0.0996,0.0996,2.7491
2.15625,6.0000,-0.0952,0.0952,2.7428
2.18750,6.0000,-0.0941,0.0941,2.7376
2.21875,6.0000,-0.0912,0.0912,2.7325
2.25000,6.0000,-0.0836,0.0836,2.7283
2.28125,6.0000,-0.0673,0.0673,2.7241
2.31250,6.0000,-0.0453,0.0453,2.7207
2.34375,6.0000,-0.0233,0.0233,2.7177
2.37500,6.0000,-0.0103,0.0103,2.7162
2.40625,6.0000,-0.0092,0.0092,2.7156
2.43750,6.0000,-0.0198,0.0198,2.7160
2.46875,6.0000,-0.0347,0.0347,2.7172
2.50000,6.0000,-0.0459,0.0459,2.7180
2.53125,6.0000,-0.0488,0.0488,2.7170
2.56250,6.0000,-0.0411,0.0411,2.7154
2.59375,6.0000,-0.0225,0.0225,2.7130
2.62500,6.0000,-0.0039,0.0039,2.7097
2.65625,6.0000,0.0055,-0.0055,2.7081
2.68750,6.0000,0.0060,-0.0060,2.7059
2.71875,6.0000,-0.0042,0.0042,2.7054
2.75000,6.0000,-0.0144,0.0144,2.7053
2.78125,6.0000,-0.0204,0.0204,2.7051
2.81250,6.0000,-0.0186,0.0186,2.7059
2.84375,6.0000,-0.0077,0.0077,2.7058
2.87500,6.0000,0.0042,-0.0042,2.7058
2.90625,6.0000,0.0135,-0.0135,2.7070
2.93750,6.0000,0.0151,-0.0151,2.7077
2.96875,6.0000,0.0033,-0.0033,2.7079
3.00000,6.0000,-0.0142,0.0142,2.7090
3.03125,6.0000,-0.0249,0.0249,2.7102
3.06250,6.0000,-0.0290,0.0290,2.7107
3.09375,6.0000,-0.0277,0.0277,2.7108
3.12500,6.0000,-0.0183,0.0183,2.7097
3.15625,6.0000,-0.0040,0.0040,2.7090
3.18750,6.0000,0.0087,-0.0087,2.7082
3.21875,6.0000,0.0094,-0.0094,2.7075
3.25000,6.0000,-0.0012,0.0012,2.7072
3.28125,6.0000,-0.0146,0.0146,2.7073
3.31250,6.0000,-0.0228,0.0228,2.7068
3.34375,6.0000,-0.0239,0.0239,2.7073
3.37500,6.0000,-0.0154,0.0154,2.7078
3.40625,6.0000,-0.0043,0.0043,2.7088
3.43750,6.0000,0.0043,-0.0043,2.7102
3.46875,6.0000,0.0057,-0.0057,2.7126
3.50000,6.0000,-0.0022,0.0022,2.7147
3.53125,6.0000,-0.0197,0.0197,2.7173
3.56250,6.0000,-0.0380,0.0380,2.7188
3.59375,6.0000,-0.0506,0.0506,2.7207
3.62500,6.0000,-0.0514,0.0514,2.7212
3.65625,6.0000,-0.0448,0.0448,2.7224
3.68750,6.0000,-0.0332,0.0332,2.7217
3.71875,6.0000,-0.0260,0.0260,2.7215
3.75000,6.0000,-0.0220,0.0220,2.7211
3.78125,6.0000,-0.0257,0.0257,2.7202
3.81250,6.0000,-0.0368,0.0368,2.7205
3.84375,6.0000,-0.0470,0.0470,2.7208
3.87500,6.0000,-0.0530,0.0530,2.7218
3.90625,6.0000,-0.0515,0.0515,2.7206
