time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0008
0.03125,0.0000,0.0000,0.0000,0.0019
0.06250,0.0000,-0.0026,0.0026,0.0000
0.09375,0.0000,-0.0068,0.0068,0.0009
0.12500,0.0000,-0.0006,0.0006,0.0027
0.15625,0.0000,0.0021,-0.0021,0.0036
0.18750,0.0000,-0.0074,0.0074,0.0047
0.21875,0.0000,-0.0154,0.0154,0.0028
0.25000,0.0000,-0.0146,0.0146,0.0028
0.28125,0.0000,-0.0027,0.0027,0.0028
0.31250,0.0000,0.0010,-0.0010,0.0011
0.34375,0.0000,-0.0065,0.0065,-0.0018
0.37500,0.0000,-0.0065,0.0065,0.0000
0.40625,0.0000,0.0081,-0.0081,-0.0008
0.43750,0.0000,0.0075,-0.0075,-0.0019
0.46875,0.0000,-0.0007,0.0007,0.0000
0.50000,0.0000,0.0001,-0.0001,0.0008
0.53125,0.0000,0.0005,-0.0005,0.0027
0.56250,0.0000,-0.0025,0.0025,0.0036
0.59375,0.0000,-0.0098,0.0098,0.0055
0.62500,0.0000,-0.0129,0.0129,0.0055
0.65625,0.0000,-0.0145,0.0145,0.0064
0.68750,0.0000,-0.0130,0.0130,0.0083
0.71875,0.0000,-0.0139,0.0139,0.0083
0.75000,0.0000,-0.0213,0.0213,0.0075
0.78125,0.0000,-0.0234,0.0234,0.0048
0.81250,0.0000,-0.0162,0.0162,0.0029
0.84375,0.0000,-0.0036,0.0036,0.0029
0.87500,0.0000,0.0014,-0.0014,0.0020
0.90625,0.0000,-0.0059,0.0059,0.0010
0.93750,0.0000,-0.0095,0.0095,0.0028
0.96875,0.0000,-0.0021,0.0021,0.0020
1.00000,6.0000,5.9973,-5.9973,0.0802
1.03125,6.0000,5.9944,-5.9944,0.3406
1.06250,6.0000,5.7501,-5.7501,0.6038
1.09375,6.0000,4.8536,-4.8536,0.8647
1.12500,6.0000,3.8935,-3.8935,1.1094
1.15625,6.0000,3.3937,-3.3937,1.3128
1.18750,6.0000,3.1542,-3.1542,1.4834
1.21875,6.0000,2.7997,-2.7997,1.6347
1.25000,6.0000,2.3169,-2.3169,1.7714
1.28125,6.0000,1.9326,-1.9326,1.8908
1.31250,6.0000,1.7224,-1.7224,1.9915
1.34375,6.0000,1.5563,-1.5563,2.0781
1.37500,6.0000,1.3366,-1.3366,2.1562
1.40625,6.0000,1.1098,-1.1098,2.2257
1.43750,6.0000,0.9464,-0.9464,2.2859
1.46875,6.0000,0.8371,-0.8371,2.3357
1.50000,6.0000,0.7300,-0.7300,2.3786
1.53125,6.0000,0.6166,-0.6166,2.4169
1.56250,6.0000,0.5206,-0.5206,2.4466
1.59375,6.0000,0.4501,-0.4501,2.4705
1.62500,6.0000,0.4024,-0.4024,2.4941
1.65625,6.0000,0.3625,-0.3625,2.5166
1.68750,6.0000,0.3097,-0.3097,2.5363
1.71875,6.0000,0.2498,-0.2498,2.5522
1.75000,6.0000,0.2059,-0.2059,2.5642
1.78125,6.0000,0.1844,-0.1844,2.5752
1.81250,6.0000,0.1714,-0.1714,2.5850
1.84375,6.0000,0.1482,-0.1482,2.5941
1.87500,6.0000,0.1187,-0.1187,2.5992
1.90625,6.0000,0.0968,-0.0968,2.6070
1.93750,6.0000,0.0949,-0.0949,2.6130
1.96875,6.0000,0.0856,-0.0856,2.6197
2.00000,6.0000,0.0652,-0.0652,2.6266
2.03125,6.0000,0.0438,-0.0438,2.6296
2.06250,6.0000,0.0297,-0.0297,2.6335
2.09375,6.0000,0.0307,-0.0307,2.6375
2.12500,6.0000,0.0293,-0.0293,2.6369
2.15625,6.0000,0.0155,-0.0155,2.6352
2.18750,6.0000,0.0136,-0.0136,2.6362
2.21875,6.0000,0.0282,-0.0282,2.6382
2.25000,6.0000,0.0318,-0.0318,2.6383
2.28125,6.0000,0.0162,-0.0162,2.6384
2.31250,6.0000,0.0077,-0.0077,2.6393
2.34375,6.0000,0.0158,-0.0158,2.6412
2.37500,6.0000,0.0221,-0.0221,2.6413
2.40625,6.0000,0.0123,-0.0123,2.6422
2.43750,6.0000,0.0041,-0.0041,2.6441
2.46875,6.0000,0.0055,-0.0055,2.6441
2.50000,6.0000,0.0060,-0.0060,2.6442
2.53125,6.0000,0.0050,-0.0050,2.6425
2.56250,6.0000,0.0042,-0.0042,2.6379
2.59375,6.0000,0.0098,-0.0098,2.6360
2.62500,6.0000,0.0267,-0.0267,2.6351
2.65625,6.0000,0.0346,-0.0346,2.6332
2.68750,6.0000,0.0277,-0.0277,2.6332
2.71875,6.0000,0.0255,-0.0255,2.6332
2.75000,6.0000,0.0299,-0.0299,2.6331
2.78125,6.0000,0.0331,-0.0331,2.6331
2.81250,6.0000,0.0311,-0.0311,2.6339
2.84375,6.0000,0.0282,-0.0282,2.6358
2.87500,6.0000,0.0259,-0.0259,2.6358
2.90625,6.0000,0.0215,-0.0215,2.6367
2.93750,6.0000,0.0215,-0.0215,2.6386
2.96875,6.0000,0.0221,-0.0221,2.6369
3.00000,6.0000,0.0164,-0.0164,2.6332
3.03125,6.0000,0.0191,-0.0191,2.6340
3.06250,6.0000,0.0360,-0.0360,2.6358
3.09375,6.0000,0.0374,-0.0374,2.6350
3.12500,6.0000,0.0198,-0.0198,2.6323
3.15625,6.0000,0.0151,-0.0151,2.6312
3.18750,6.0000,0.0348,-0.0348,2.6331
3.21875,6.0000,0.0485,-0.0485,2.6322
3.25000,6.0000,0.0332,-0.0332,2.6303
3.28125,6.0000,0.0204,-0.0204,2.6303
3.31250,6.0000,0.0329,-0.0329,2.6303
3.34375,6.0000,0.0468,-0.0468,2.6311
3.37500,6.0000,0.0426,-0.0426,2.6338
3.40625,6.0000,0.0284,-0.0284,2.6366
3.43750,6.0000,0.0180,-0.0180,2.6393
3.46875,6.0000,0.0161,-0.0161,2.6421
3.50000,6.0000,0.0144,-0.0144,2.6441
3.53125,6.0000,0.0066,-0.0066,2.6441
3.56250,6.0000,-0.0010,0.0010,2.6433
3.59375,6.0000,0.0018,-0.0018,2.6423
3.62500,6.0000,0.0109,-0.0109,2.6442
3.65625,6.0000,0.0152,-0.0152,2.6451
3.68750,6.0000,0.0042,-0.0042,2.6461
3.71875,6.0000,-0.0056,0.0056,2.6434
3.75000,6.0000,-0.0043,0.0043,2.6416
3.78125,6.0000,0.0116,-0.0116,2.6415
3.81250,6.0000,0.0223,-0.0223,2.6424
3.84375,6.0000,0.0144,-0.0144,2.6451
3.87500,6.0000,0.0013,-0.0013,2.6479
3.90625,6.0000,-0.0062,0.0062,2.6481
3.93750,6.0000,-0.0078,0.0078,2.6435
3.96875,6.0000,-0.0036,0.0036,2.6416
4.00000,6.0000,0.0133,-0.0133,2.6407
4.03125,6.0000,0.0222,-0.0222,2.6405
4.06250,6.0000,0.0157,-0.0157,2.6451
4.09375,6.0000,0.0076,-0.0076,2.6462
4.12500,6.0000,-0.0049,0.0049,2.6443
4.15625,6.0000,-0.0067,0.0067,2.6443
4.18750,6.0000,0.0076,-0.0076,2.6452
4.21875,6.0000,0.0139,-0.0139,2.6462
4.25000,6.0000,0.0031,-0.0031,2.6435
4.28125,6.0000,-0.0086,0.0086,2.6416
4.31250,6.0000,0.0036,-0.0036,2.6416
4.34375,6.0000,0.0224,-0.0224,2.6416
4.37500,6.0000,0.0202,-0.0202,2.6424
4.40625,6.0000,0.0058,-0.0058,2.6443
4.43750,6.0000,-0.0004,0.0004,2.6451
4.46875,6.0000,0.0021,-0.0021,2.6462
4.50000,6.0000,0.0048,-0.0048,2.6443
4.53125,6.0000,0.0007,-0.0007,2.6443
4.56250,6.0000,0.0031,-0.0031,2.6435
4.59375,6.0000,0.0069,-0.0069,2.6416
4.62500,6.0000,0.0092,-0.0092,2.6416
4.65625,6.0000,0.0131,-0.0131,2.6424
4.68750,6.0000,0.0128,-0.0128,2.6443
4.71875,6.0000,0.0073,-0.0073,2.6443
4.75000,6.0000,-0.0003,0.0003,2.6443
4.78125,6.0000,0.0010,-0.0010,2.6451
4.81250,6.0000,0.0070,-0.0070,2.6470
4.84375,6.0000,0.0055,-0.0055,2.6454
4.87500,6.0000,-0.0053,0.0053,2.6416
4.90625,6.0000,-0.0029,0.0029,2.6407
4.93750,6.0000,0.0176,-0.0176,2.6397
4.96875,6.0000,0.0258,-0.0258,2.6424
5.00000,6.0000,0.0171,-0.0171,2.6443
5.03125,6.0000,-0.0004,0.0004,2.6434
5.06250,6.0000,-0.0061,0.0061,2.6407
5.09375,6.0000,0.0072,-0.0072,2.6388
5.12500,6.0000,0.0246,-0.0246,2.6379
