time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0008
0.03125,0.0000,0.0000,0.0000,0.0019
0.06250,0.0000,-0.0024,0.0024,0.0000
0.09375,0.0000,-0.0067,0.0067,0.0009
0.12500,0.0000,-0.0019,0.0019,0.0027
0.15625,0.0000,0.0019,-0.0019,0.0036
0.18750,0.0000,-0.0051,0.0051,0.0047
0.21875,0.0000,-0.0143,0.0143,0.0028
0.25000,0.0000,-0.0171,0.0171,0.0028
0.28125,0.0000,-0.0061,0.0061,0.0028
0.31250,0.0000,0.0023,-0.0023,0.0011
0.34375,0.0000,-0.0014,0.0014,-0.0018
0.37500,0.0000,-0.0053,0.0053,0.0000
0.40625,0.0000,0.0034,-0.0034,-0.0008
0.43750,0.0000,0.0057,-0.0057,-0.0019
0.46875,0.0000,0.0024,-0.0024,0.0000
0.50000,0.0000,0.0017,-0.0017,0.0008
0.53125,0.0000,-0.0014,0.0014,0.0027
0.56250,0.0000,-0.0046,0.0046,0.0036
0.59375,0.0000,-0.0091,0.0091,0.0055
0.62500,0.0000,-0.0112,0.0112,0.0055
0.65625,0.0000,-0.0141,0.0141,0.0064
0.68750,0.0000,-0.0142,0.0142,0.0083
0.71875,0.0000,-0.0145,0.0145,0.0083
0.75000,0.0000,-0.0203,0.0203,0.0075
0.78125,0.0000,-0.0234,0.0234,0.0048
0.81250,0.0000,-0.0183,0.0183,0.0029
0.84375,0.0000,-0.0051,0.0051,0.0029
0.87500,0.0000,0.0039,-0.0039,0.0020
0.90625,0.0000,-0.0012,0.0012,0.0010
0.93750,0.0000,-0.0091,0.0091,0.0028
0.96875,0.0000,-0.0070,0.0070,0.0020
1.00000,6.0000,5.9946,-5.9946,0.0802
1.03125,6.0000,5.9962,-5.9962,0.3406
1.06250,6.0000,5.7741,-5.7741,0.6038
1.09375,6.0000,4.9099,-4.9099,0.8647
1.12500,6.0000,3.8584,-3.8584,1.1102
1.15625,6.0000,3.2196,-3.2196,1.3147
1.18750,6.0000,3.0182,-3.0182,1.4809
1.21875,6.0000,2.8693,-2.8693,1.6249
1.25000,6.0000,2.5138,-2.5138,1.7594
1.28125,6.0000,2.0437,-2.0437,1.8850
1.31250,6.0000,1.6694,-1.6694,1.9931
1.34375,6.0000,1.4461,-1.4461,2.0827
1.37500,6.0000,1.2824,-1.2824,2.1572
1.40625,6.0000,1.1032,-1.1032,2.2221
1.43750,6.0000,0.9337,-0.9337,2.2804
1.46875,6.0000,0.8260,-0.8260,2.3302
1.50000,6.0000,0.7683,-0.7683,2.3731
1.53125,6.0000,0.7032,-0.7032,2.4121
1.56250,6.0000,0.5926,-0.5926,2.4455
1.59375,6.0000,0.4520,-0.4520,2.4740
1.62500,6.0000,0.3352,-0.3352,2.4995
1.65625,6.0000,0.2747,-0.2747,2.5212
1.68750,6.0000,0.2541,-0.2541,2.5382
1.71875,6.0000,0.2451,-0.2451,2.5514
1.75000,6.0000,0.2391,-0.2391,2.5615
1.78125,6.0000,0.2356,-0.2356,2.5724
1.81250,6.0000,0.2245,-0.2245,2.5823
1.84375,6.0000,0.1825,-0.1825,2.5922
1.87500,6.0000,0.1146,-0.1146,2.5991
1.90625,6.0000,0.0507,-0.0507,2.6070
1.93750,6.0000,0.0284,-0.0284,2.6121
1.96875,6.0000,0.0442,-0.0442,2.6152
2.00000,6.0000,0.0774,-0.0774,2.6175
2.03125,6.0000,0.1058,-0.1058,2.6195
2.06250,6.0000,0.1150,-0.1150,2.6260
2.09375,6.0000,0.0994,-0.0994,2.6327
2.12500,6.0000,0.0504,-0.0504,2.6349
2.15625,6.0000,-0.0125,0.0125,2.6359
2.18750,6.0000,-0.0436,0.0436,2.6380
2.21875,6.0000,-0.0282,0.0282,2.6373
2.25000,6.0000,0.0070,-0.0070,2.6346
2.28125,6.0000,0.0421,-0.0421,2.6328
2.31250,6.0000,0.0713,-0.0713,2.6337
2.34375,6.0000,0.0844,-0.0844,2.6365
2.37500,6.0000,0.0654,-0.0654,2.6393
2.40625,6.0000,0.0163,-0.0163,2.6420
2.43750,6.0000,-0.0337,0.0337,2.6440
2.46875,6.0000,-0.0549,0.0549,2.6441
2.50000,6.0000,-0.0391,0.0391,2.6433
2.53125,6.0000,0.0009,-0.0009,2.6397
2.56250,6.0000,0.0412,-0.0412,2.6351
2.59375,6.0000,0.0696,-0.0696,2.6332
2.62500,6.0000,0.0794,-0.0794,2.6332
2.65625,6.0000,0.0598,-0.0598,2.6340
2.68750,6.0000,0.0163,-0.0163,2.6359
2.71875,6.0000,-0.0240,0.0240,2.6359
2.75000,6.0000,-0.0365,0.0365,2.6359
2.78125,6.0000,-0.0108,0.0108,2.6350
2.81250,6.0000,0.0336,-0.0336,2.6331
2.84375,6.0000,0.0700,-0.0700,2.6331
2.87500,6.0000,0.0843,-0.0843,2.6339
2.90625,6.0000,0.0696,-0.0696,2.6375
2.93750,6.0000,0.0333,-0.0333,2.6421
2.96875,6.0000,-0.0130,0.0130,2.6432
3.00000,6.0000,-0.0501,0.0501,2.6414
3.03125,6.0000,-0.0497,0.0497,2.6414
3.06250,6.0000,-0.0070,0.0070,2.6406
3.09375,6.0000,0.0410,-0.0410,2.6379
3.12500,6.0000,0.0650,-0.0650,2.6351
3.15625,6.0000,0.0662,-0.0662,2.6349
3.18750,6.0000,0.0541,-0.0541,2.6395
3.21875,6.0000,0.0270,-0.0270,2.6405
3.25000,6.0000,-0.0200,0.0200,2.6378
3.28125,6.0000,-0.0502,0.0502,2.6351
3.31250,6.0000,-0.0279,0.0279,2.6324
3.34375,6.0000,0.0304,-0.0304,2.6304
3.37500,6.0000,0.0802,-0.0802,2.6312
3.40625,6.0000,0.0934,-0.0934,2.6348
3.43750,6.0000,0.0705,-0.0705,2.6402
3.46875,6.0000,0.0285,-0.0285,2.6457
3.50000,6.0000,-0.0164,0.0164,2.6504
3.53125,6.0000,-0.0509,0.0509,2.6515
3.56250,6.0000,-0.0641,0.0641,2.6489
3.59375,6.0000,-0.0449,0.0449,2.6470
3.62500,6.0000,0.0038,-0.0038,2.6462
3.65625,6.0000,0.0484,-0.0484,2.6452
3.68750,6.0000,0.0581,-0.0581,2.6471
3.71875,6.0000,0.0351,-0.0351,2.6471
3.75000,6.0000,-0.0060,0.0060,2.6479
3.78125,6.0000,-0.0371,0.0371,2.6498
3.81250,6.0000,-0.0486,0.0486,2.6499
3.84375,6.0000,-0.0454,0.0454,2.6499
3.87500,6.0000,-0.0254,0.0254,2.6499
3.90625,6.0000,0.0067,-0.0067,2.6482
3.93750,6.0000,0.0345,-0.0345,2.6436
3.96875,6.0000,0.0447,-0.0447,2.6417
4.00000,6.0000,0.0390,-0.0390,2.6417
4.03125,6.0000,0.0138,-0.0138,2.6433
4.06250,6.0000,-0.0219,0.0219,2.6471
4.09375,6.0000,-0.0469,0.0469,2.6462
4.12500,6.0000,-0.0475,0.0475,2.6435
4.15625,6.0000,-0.0117,0.0117,2.6408
4.18750,6.0000,0.0418,-0.0418,2.6397
4.21875,6.0000,0.0752,-0.0752,2.6416
4.25000,6.0000,0.0650,-0.0650,2.6416
4.28125,6.0000,0.0192,-0.0192,2.6424
4.31250,6.0000,-0.0215,0.0215,2.6451
4.34375,6.0000,-0.0365,0.0365,2.6470
4.37500,6.0000,-0.0357,0.0357,2.6470
4.40625,6.0000,-0.0261,0.0261,2.6462
4.43750,6.0000,-0.0022,0.0022,2.6452
4.46875,6.0000,0.0317,-0.0317,2.6462
4.50000,6.0000,0.0544,-0.0544,2.6452
4.53125,6.0000,0.0413,-0.0413,2.6479
4.56250,6.0000,0.0051,-0.0051,2.6490
4.59375,6.0000,-0.0373,0.0373,2.6471
4.62500,6.0000,-0.0586,0.0586,2.6463
4.65625,6.0000,-0.0415,0.0415,2.6444
4.68750,6.0000,-0.0043,0.0043,2.6435
4.71875,6.0000,0.0307,-0.0307,2.6408
4.75000,6.0000,0.0479,-0.0479,2.6389
4.78125,6.0000,0.0523,-0.0523,2.6405
4.81250,6.0000,0.0438,-0.0438,2.6451
4.84375,6.0000,0.0126,-0.0126,2.6462
4.87500,6.0000,-0.0360,0.0360,2.6443
4.90625,6.0000,-0.0603,0.0603,2.6426
4.93750,6.0000,-0.0338,0.0338,2.6388
4.96875,6.0000,0.0187,-0.0187,2.6388
5.00000,6.0000,0.0621,-0.0621,2.6388
5.03125,6.0000,0.0670,-0.0670,2.6379
5.06250,6.0000,0.0443,-0.0443,2.6360
5.09375,6.0000,0.0210,-0.0210,2.6360
5.12500,6.0000,0.0095,-0.0095,2.6360
