time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0008
0.03125,0.0000,0.0000,0.0000,0.0019
0.06250,0.0000,-0.0025,0.0025,0.0000
0.09375,0.0000,-0.0069,0.0069,0.0009
0.12500,0.0000,-0.0013,0.0013,0.0027
0.15625,0.0000,0.0022,-0.0022,0.0036
0.18750,0.0000,-0.0061,0.0061,0.0047
0.21875,0.0000,-0.0151,0.0151,0.0028
0.25000,0.0000,-0.0164,0.0164,0.0028
0.28125,0.0000,-0.0043,0.0043,0.0028
0.31250,0.0000,0.0024,-0.0024,0.0011
0.34375,0.0000,-0.0034,0.0034,-0.0018
0.37500,0.0000,-0.0064,0.0064,0.0000
0.40625,0.0000,0.0052,-0.0052,-0.0008
0.43750,0.0000,0.0070,-0.0070,-0.0019
0.46875,0.0000,0.0013,-0.0013,0.0000
0.50000,0.0000,0.0004,-0.0004,0.0008
0.53125,0.0000,-0.0013,0.0013,0.0027
0.56250,0.0000,-0.0036,0.0036,0.0036
0.59375,0.0000,-0.0087,0.0087,0.0055
0.62500,0.0000,-0.0116,0.0116,0.0055
0.65625,0.0000,-0.0146,0.0146,0.0064
0.68750,0.0000,-0.0139,0.0139,0.0083
0.71875,0.0000,-0.0140,0.0140,0.0083
0.75000,0.0000,-0.0205,0.0205,0.0075
0.78125,0.0000,-0.0237,0.0237,0.0048
0.81250,0.0000,-0.0178,0.0178,0.0029
0.84375,0.0000,-0.0042,0.0042,0.0029
0.87500,0.0000,0.0036,-0.0036,0.0020
0.90625,0.0000,-0.0030,0.0030,0.0010
0.93750,0.0000,-0.0098,0.0098,0.0028
0.96875,0.0000,-0.0054,0.0054,0.0020
1.00000,6.0000,5.9959,-5.9959,0.0802
1.03125,6.0000,5.9956,-5.9956,0.3406
1.06250,6.0000,5.7594,-5.7594,0.6038
1.09375,6.0000,4.8658,-4.8658,0.8647
1.12500,6.0000,3.8407,-3.8407,1.1102
1.15625,6.0000,3.2732,-3.2732,1.3147
1.18750,6.0000,3.0854,-3.0854,1.4817
1.21875,6.0000,2.8638,-2.8638,1.6284
1.25000,6.0000,2.4449,-2.4449,1.7649
1.28125,6.0000,1.9978,-1.9978,1.8896
1.31250,6.0000,1.6907,-1.6907,1.9950
1.34375,6.0000,1.4890,-1.4890,2.0827
1.37500,6.0000,1.2878,-1.2878,2.1581
1.40625,6.0000,1.0750,-1.0750,2.2249
1.43750,6.0000,0.9150,-0.9150,2.2824
1.46875,6.0000,0.8325,-0.8325,2.3302
1.50000,6.0000,0.7800,-0.7800,2.3731
1.53125,6.0000,0.7010,-0.7010,2.4122
1.56250,6.0000,0.5797,-0.5797,2.4455
1.59375,6.0000,0.4479,-0.4479,2.4740
1.62500,6.0000,0.3483,-0.3483,2.4995
1.65625,6.0000,0.2908,-0.2908,2.5212
1.68750,6.0000,0.2556,-0.2556,2.5382
1.71875,6.0000,0.2326,-0.2326,2.5514
1.75000,6.0000,0.2283,-0.2283,2.5615
1.78125,6.0000,0.2359,-0.2359,2.5724
1.81250,6.0000,0.2301,-0.2301,2.5823
1.84375,6.0000,0.1842,-0.1842,2.5922
1.87500,6.0000,0.1136,-0.1136,2.5991
1.90625,6.0000,0.0543,-0.0543,2.6070
1.93750,6.0000,0.0369,-0.0369,2.6121
1.96875,6.0000,0.0477,-0.0477,2.6161
2.00000,6.0000,0.0700,-0.0700,2.6202
2.03125,6.0000,0.0912,-0.0912,2.6222
2.06250,6.0000,0.0996,-0.0996,2.6279
2.09375,6.0000,0.0923,-0.0923,2.6328
2.12500,6.0000,0.0542,-0.0542,2.6349
2.15625,6.0000,0.0001,-0.0001,2.6359
2.18750,6.0000,-0.0323,0.0323,2.6388
2.21875,6.0000,-0.0267,0.0267,2.6400
2.25000,6.0000,-0.0044,0.0044,2.6374
2.28125,6.0000,0.0211,-0.0211,2.6356
2.31250,6.0000,0.0541,-0.0541,2.6365
2.34375,6.0000,0.0785,-0.0785,2.6393
2.37500,6.0000,0.0662,-0.0662,2.6421
2.40625,6.0000,0.0170,-0.0170,2.6448
2.43750,6.0000,-0.0340,0.0340,2.6468
2.46875,6.0000,-0.0556,0.0556,2.6469
2.50000,6.0000,-0.0439,0.0439,2.6461
2.53125,6.0000,-0.0122,0.0122,2.6417
2.56250,6.0000,0.0222,-0.0222,2.6352
2.59375,6.0000,0.0562,-0.0562,2.6333
2.62500,6.0000,0.0829,-0.0829,2.6332
2.65625,6.0000,0.0727,-0.0727,2.6340
2.68750,6.0000,0.0261,-0.0261,2.6359
2.71875,6.0000,-0.0201,0.0201,2.6359
2.75000,6.0000,-0.0352,0.0352,2.6359
2.78125,6.0000,-0.0120,0.0120,2.6350
2.81250,6.0000,0.0261,-0.0261,2.6331
2.84375,6.0000,0.0571,-0.0571,2.6331
2.87500,6.0000,0.0752,-0.0752,2.6331
2.90625,6.0000,0.0720,-0.0720,2.6348
2.93750,6.0000,0.0481,-0.0481,2.6394
2.96875,6.0000,0.0095,-0.0095,2.6405
3.00000,6.0000,-0.0328,0.0328,2.6386
3.03125,6.0000,-0.0445,0.0445,2.6395
3.06250,6.0000,-0.0108,0.0108,2.6405
3.09375,6.0000,0.0315,-0.0315,2.6378
3.12500,6.0000,0.0512,-0.0512,2.6351
3.15625,6.0000,0.0592,-0.0592,2.6340
3.18750,6.0000,0.0619,-0.0619,2.6367
3.21875,6.0000,0.0462,-0.0462,2.6386
3.25000,6.0000,0.0020,-0.0020,2.6386
3.28125,6.0000,-0.0388,0.0388,2.6386
3.31250,6.0000,-0.0370,0.0370,2.6378
3.34375,6.0000,0.0019,-0.0019,2.6359
3.37500,6.0000,0.0448,-0.0448,2.6359
3.40625,6.0000,0.0689,-0.0689,2.6367
3.43750,6.0000,0.0660,-0.0660,2.6403
3.46875,6.0000,0.0435,-0.0435,2.6458
3.50000,6.0000,0.0060,-0.0060,2.6505
3.53125,6.0000,-0.0383,0.0383,2.6524
3.56250,6.0000,-0.0670,0.0670,2.6516
3.59375,6.0000,-0.0590,0.0590,2.6498
3.62500,6.0000,-0.0180,0.0180,2.6490
3.65625,6.0000,0.0264,-0.0264,2.6471
3.68750,6.0000,0.0442,-0.0442,2.6463
3.71875,6.0000,0.0369,-0.0369,2.6444
3.75000,6.0000,0.0159,-0.0159,2.6452
3.78125,6.0000,-0.0051,0.0051,2.6471
3.81250,6.0000,-0.0284,0.0284,2.6480
3.84375,6.0000,-0.0472,0.0472,2.6499
3.87500,6.0000,-0.0415,0.0415,2.6499
3.90625,6.0000,-0.0129,0.0129,2.6474
3.93750,6.0000,0.0225,-0.0225,2.6409
3.96875,6.0000,0.0478,-0.0478,2.6389
4.00000,6.0000,0.0599,-0.0599,2.6389
4.03125,6.0000,0.0409,-0.0409,2.6414
4.06250,6.0000,-0.0018,0.0018,2.6479
4.09375,6.0000,-0.0409,0.0409,2.6489
4.12500,6.0000,-0.0605,0.0605,2.6462
4.15625,6.0000,-0.0386,0.0386,2.6435
4.18750,6.0000,0.0160,-0.0160,2.6425
4.21875,6.0000,0.0607,-0.0607,2.6435
4.25000,6.0000,0.0629,-0.0629,2.6416
4.28125,6.0000,0.0290,-0.0290,2.6424
4.31250,6.0000,0.0005,-0.0005,2.6451
4.34375,6.0000,-0.0162,0.0162,2.6470
4.37500,6.0000,-0.0339,0.0339,2.6471
4.40625,6.0000,-0.0438,0.0438,2.6462
4.43750,6.0000,-0.0249,0.0249,2.6452
4.46875,6.0000,0.0180,-0.0180,2.6462
4.50000,6.0000,0.0527,-0.0527,2.6452
4.53125,6.0000,0.0482,-0.0482,2.6479
4.56250,6.0000,0.0193,-0.0193,2.6498
4.59375,6.0000,-0.0190,0.0190,2.6499
4.62500,6.0000,-0.0472,0.0472,2.6490
4.65625,6.0000,-0.0509,0.0509,2.6472
4.68750,6.0000,-0.0318,0.0318,2.6463
4.71875,6.0000,0.0005,-0.0005,2.6436
4.75000,6.0000,0.0287,-0.0287,2.6417
4.78125,6.0000,0.0484,-0.0484,2.6425
4.81250,6.0000,0.0512,-0.0512,2.6452
4.84375,6.0000,0.0261,-0.0261,2.6462
4.87500,6.0000,-0.0183,0.0183,2.6444
4.90625,6.0000,-0.0481,0.0481,2.6435
4.93750,6.0000,-0.0374,0.0374,2.6416
4.96875,6.0000,-0.0046,0.0046,2.6416
5.00000,6.0000,0.0269,-0.0269,2.6416
5.03125,6.0000,0.0417,-0.0417,2.6407
5.06250,6.0000,0.0436,-0.0436,2.6388
5.09375,6.0000,0.0394,-0.0394,2.6388
5.12500,6.0000,0.0284,-0.0284,2.6388
