time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0008
0.03125,0.0000,0.0000,0.0000,0.0004
0.06250,0.0000,-0.0027,0.0027,0.0008
0.09375,0.0000,-0.0017,0.0017,0.0013
0.12500,0.0000,-0.0011,0.0011,0.0015
0.15625,0.0000,-0.0033,0.0033,0.0030
0.18750,0.0000,-0.0048,0.0048,0.0029
0.21875,0.0000,-0.0084,0.0084,0.0036
0.25000,0.0000,-0.0080,0.0080,0.0035
0.28125,0.0000,-0.0077,0.0077,0.0034
0.31250,0.0000,-0.0076,0.0076,0.0017
0.34375,0.0000,-0.0075,0.0075,0.0018
0.37500,0.0000,-0.0021,0.0021,0.0006
0.40625,0.0000,-0.0014,0.0014,-0.0004
0.43750,0.0000,-0.0009,0.0009,-0.0001
0.46875,0.0000,0.0021,-0.0021,-0.0014
0.50000,0.0000,0.0013,-0.0013,-0.0007
0.53125,0.0000,0.0035,-0.0035,-0.0010
0.56250,0.0000,0.0022,-0.0022,0.0002
0.59375,0.0000,0.0014,-0.0014,0.0008
0.62500,0.0000,-0.0017,0.0017,0.0017
0.65625,0.0000,-0.0038,0.0038,0.0031
0.68750,0.0000,-0.0051,0.0051,0.0038
0.71875,0.0000,-0.0085,0.0085,0.0056
0.75000,0.0000,-0.0107,0.0107,0.0058
0.78125,0.0000,-0.0148,0.0148,0.0066
0.81250,0.0000,-0.0147,0.0147,0.0066
0.84375,0.0000,-0.0147,0.0147,0.0066
0.87500,0.0000,-0.0147,0.0147,0.0058
0.90625,0.0000,-0.0147,0.0147,0.0063
0.93750,0.0000,-0.0120,0.0120,0.0058
0.96875,0.0000,-0.0130,0.0130,0.0053
1.00000,6.0000,5.9864,-5.9864,0.0832
1.03125,6.0000,5.9887,-5.9887,0.1952
1.06250,6.0000,5.7383,-5.7383,0.3800
1.09375,6.0000,5.3240,-5.3240,0.6095
1.12500,6.0000,4.8079,-4.8079,0.8617
1.15625,6.0000,4.2347,-4.2347,1.1214
1.18750,6.0000,3.6437,-3.6437,1.3760
1.21875,6.0000,3.0625,-3.0625,1.6163
1.25000,6.0000,2.5115,-2.5115,1.8370
1.28125,6.0000,2.0062,-2.0062,2.0337
1.31250,6.0000,1.5540,-1.5540,2.2054
1.34375,6.0000,1.1595,-1.1595,2.3517
1.37500,6.0000,0.8229,-0.8229,2.4729
1.40625,6.0000,0.5420,-0.5420,2.5715
1.43750,6.0000,0.3150,-0.3150,2.6493
1.46875,6.0000,0.1358,-0.1358,2.7086
1.50000,6.0000,-0.0024,0.0024,2.7529
1.53125,6.0000,-0.1039,0.1039,2.7825
1.56250,6.0000,-0.1765,0.1765,2.8008
1.59375,6.0000,-0.2202,0.2202,2.8099
1.62500,6.0000,-0.2401,0.2401,2.8122
1.65625,6.0000,-0.2449,0.2449,2.8100
1.68750,6.0000,-0.2400,0.2400,2.8042
1.71875,6.0000,-0.2289,0.2289,2.7955
1.75000,6.0000,-0.2112,0.2112,2.7853
1.78125,6.0000,-0.1867,0.1867,2.7735
1.81250,6.0000,-0.1604,0.1604,2.7628
1.84375,6.0000,-0.1330,0.1330,2.7508
1.87500,6.0000,-0.1103,0.1103,2.7412
1.90625,6.0000,-0.0852,0.0852,2.7315
1.93750,6.0000,-0.0638,0.0638,2.7238
1.96875,6.0000,-0.0449,0.0449,2.7180
2.00000,6.0000,-0.0302,0.0302,2.7129
2.03125,6.0000,-0.0208,0.0208,2.7098
2.06250,6.0000,-0.0122,0.0122,2.7073
2.09375,6.0000,-0.0067,0.0067,2.7049
2.12500,6.0000,-0.0032,0.0032,2.7019
2.15625,6.0000,0.0017,-0.0017,2.6998
2.18750,6.0000,0.0101,-0.0101,2.6981
2.21875,6.0000,0.0155,-0.0155,2.6969
2.25000,6.0000,0.0163,-0.0163,2.6959
2.28125,6.0000,0.0168,-0.0168,2.6954
2.31250,6.0000,0.0198,-0.0198,2.6954
2.34375,6.0000,0.0217,-0.0217,2.6952
2.37500,6.0000,0.0202,-0.0202,2.6956
2.40625,6.0000,0.0193,-0.0193,2.6967
2.43750,6.0000,0.0187,-0.0187,2.6972
2.46875,6.0000,0.0157,-0.0157,2.6981
2.50000,6.0000,0.0137,-0.0137,2.6986
2.53125,6.0000,0.0125,-0.0125,2.6973
2.56250,6.0000,0.0117,-0.0117,2.6960
2.59375,6.0000,0.0165,-0.0165,2.6943
2.62500,6.0000,0.0222,-0.0222,2.6918
2.65625,6.0000,0.0259,-0.0259,2.6904
2.68750,6.0000,0.0309,-0.0309,2.6890
2.71875,6.0000,0.0340,-0.0340,2.6880
2.75000,6.0000,0.0361,-0.0361,2.6874
2.78125,6.0000,0.0374,-0.0374,2.6871
2.81250,6.0000,0.0382,-0.0382,2.6877
2.84375,6.0000,0.0387,-0.0387,2.6879
2.87500,6.0000,0.0364,-0.0364,2.6885
2.90625,6.0000,0.0349,-0.0349,2.6898
2.93750,6.0000,0.0340,-0.0340,2.6912
2.96875,6.0000,0.0307,-0.0307,2.6917
3.00000,6.0000,0.0260,-0.0260,2.6935
3.03125,6.0000,0.0256,-0.0256,2.6956
3.06250,6.0000,0.0227,-0.0227,2.6972
3.09375,6.0000,0.0156,-0.0156,2.6984
3.12500,6.0000,0.0110,-0.0110,2.6986
3.15625,6.0000,0.0108,-0.0108,2.6991
3.18750,6.0000,0.0133,-0.0133,2.6988
3.21875,6.0000,0.0122,-0.0122,2.6982
3.25000,6.0000,0.0115,-0.0115,2.6973
3.28125,6.0000,0.0138,-0.0138,2.6963
3.31250,6.0000,0.0178,-0.0178,2.6951
3.34375,6.0000,0.0204,-0.0204,2.6952
3.37500,6.0000,0.0221,-0.0221,2.6959
3.40625,6.0000,0.0205,-0.0205,2.6975
3.43750,6.0000,0.0168,-0.0168,2.6997
3.46875,6.0000,0.0118,-0.0118,2.7024
3.50000,6.0000,0.0060,-0.0060,2.7044
3.53125,6.0000,-0.0004,0.0004,2.7063
3.56250,6.0000,-0.0045,0.0045,2.7066
3.59375,6.0000,-0.0071,0.0071,2.7078
3.62500,6.0000,-0.0061,0.0061,2.7079
3.65625,6.0000,-0.0081,0.0081,2.7093
3.68750,6.0000,-0.0094,0.0094,2.7092
3.71875,6.0000,-0.0128,0.0128,2.7090
3.75000,6.0000,-0.0124,0.0124,2.7086
3.78125,6.0000,-0.0095,0.0095,2.7069
3.81250,6.0000,-0.0076,0.0076,2.7068
3.84375,6.0000,-0.0038,0.0038,2.7069
3.87500,6.0000,-0.0040,0.0040,2.7081
3.90625,6.0000,-0.0067,0.0067,2.7076
