time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0008
0.03125,0.0000,0.0000,0.0000,0.0004
0.06250,0.0000,-0.0024,0.0024,0.0008
0.09375,0.0000,-0.0021,0.0021,0.0013
0.12500,0.0000,-0.0013,0.0013,0.0015
0.15625,0.0000,-0.0029,0.0029,0.0030
0.18750,0.0000,-0.0045,0.0045,0.0029
0.21875,0.0000,-0.0085,0.0085,0.0036
0.25000,0.0000,-0.0087,0.0087,0.0035
0.28125,0.0000,-0.0080,0.0080,0.0034
0.31250,0.0000,-0.0071,0.0071,0.0017
0.34375,0.0000,-0.0069,0.0069,0.0018
0.37500,0.0000,-0.0025,0.0025,0.0006
0.40625,0.0000,-0.0012,0.0012,-0.0004
0.43750,0.0000,-0.0004,0.0004,-0.0001
0.46875,0.0000,0.0019,-0.0019,-0.0014
0.50000,0.0000,0.0011,-0.0011,-0.0007
0.53125,0.0000,0.0030,-0.0030,-0.0010
0.56250,0.0000,0.0024,-0.0024,0.0002
0.59375,0.0000,0.0017,-0.0017,0.0008
0.62500,0.0000,-0.0015,0.0015,0.0017
0.65625,0.0000,-0.0040,0.0040,0.0031
0.68750,0.0000,-0.0054,0.0054,0.0038
0.71875,0.0000,-0.0083,0.0083,0.0056
0.75000,0.0000,-0.0107,0.0107,0.0058
0.78125,0.0000,-0.0150,0.0150,0.0066
0.81250,0.0000,-0.0155,0.0155,0.0066
0.84375,0.0000,-0.0149,0.0149,0.0066
0.87500,0.0000,-0.0141,0.0141,0.0058
0.90625,0.0000,-0.0140,0.0140,0.0063
0.93750,0.0000,-0.0121,0.0121,0.0058
0.96875,0.0000,-0.0129,0.0129,0.0053
1.00000,6.0000,5.9864,-5.9864,0.0832
1.03125,6.0000,5.9881,-5.9881,0.1952
1.06250,6.0000,5.7576,-5.7576,0.3800
1.09375,6.0000,5.3292,-5.3292,0.6103
1.12500,6.0000,4.7723,-4.7723,0.8629
1.15625,6.0000,4.1770,-4.1770,1.1233
1.18750,6.0000,3.6028,-3.6028,1.3776
1.21875,6.0000,3.0516,-3.0516,1.6171
1.25000,6.0000,2.5169,-2.5169,1.8368
1.28125,6.0000,2.0122,-2.0122,2.0324
1.31250,6.0000,1.5559,-1.5559,2.2042
1.34375,6.0000,1.1571,-1.1571,2.3504
1.37500,6.0000,0.8096,-0.8096,2.4721
1.40625,6.0000,0.5162,-0.5162,2.5709
1.43750,6.0000,0.2858,-0.2858,2.6481
1.46875,6.0000,0.1189,-0.1189,2.7072
1.50000,6.0000,0.0039,-0.0039,2.7508
1.53125,6.0000,-0.0805,0.0805,2.7808
1.56250,6.0000,-0.1499,0.1499,2.7991
1.59375,6.0000,-0.2053,0.2053,2.8089
1.62500,6.0000,-0.2412,0.2412,2.8115
1.65625,6.0000,-0.2587,0.2587,2.8096
1.68750,6.0000,-0.2594,0.2594,2.8039
1.71875,6.0000,-0.2450,0.2450,2.7953
1.75000,6.0000,-0.2159,0.2159,2.7852
1.78125,6.0000,-0.1763,0.1763,2.7734
1.81250,6.0000,-0.1387,0.1387,2.7627
1.84375,6.0000,-0.1111,0.1111,2.7508
1.87500,6.0000,-0.0992,0.0992,2.7420
1.90625,6.0000,-0.0910,0.0910,2.7335
1.93750,6.0000,-0.0843,0.0843,2.7269
1.96875,6.0000,-0.0723,0.0723,2.7224
2.00000,6.0000,-0.0532,0.0532,2.7173
2.03125,6.0000,-0.0320,0.0320,2.7144
2.06250,6.0000,-0.0086,0.0086,2.7114
2.09375,6.0000,0.0055,-0.0055,2.7087
2.12500,6.0000,0.0067,-0.0067,2.7063
2.15625,6.0000,-0.0010,0.0010,2.7044
2.18750,6.0000,-0.0104,0.0104,2.7035
2.21875,6.0000,-0.0159,0.0159,2.7019
2.25000,6.0000,-0.0153,0.0153,2.7008
2.28125,6.0000,-0.0038,0.0038,2.6989
2.31250,6.0000,0.0142,-0.0142,2.6973
2.34375,6.0000,0.0320,-0.0320,2.6958
2.37500,6.0000,0.0402,-0.0402,2.6956
2.40625,6.0000,0.0358,-0.0358,2.6961
2.43750,6.0000,0.0203,-0.0203,2.6968
2.46875,6.0000,0.0026,-0.0026,2.6979
2.50000,6.0000,-0.0067,0.0067,2.6985
2.53125,6.0000,-0.0044,0.0044,2.6973
2.56250,6.0000,0.0070,-0.0070,2.6960
2.59375,6.0000,0.0257,-0.0257,2.6943
2.62500,6.0000,0.0413,-0.0413,2.6918
2.65625,6.0000,0.0458,-0.0458,2.6904
2.68750,6.0000,0.0411,-0.0411,2.6889
2.71875,6.0000,0.0296,-0.0296,2.6880
2.75000,6.0000,0.0195,-0.0195,2.6874
2.78125,6.0000,0.0172,-0.0172,2.6862
2.81250,6.0000,0.0245,-0.0245,2.6865
2.84375,6.0000,0.0407,-0.0407,2.6859
2.87500,6.0000,0.0540,-0.0540,2.6861
2.90625,6.0000,0.0603,-0.0603,2.6879
2.93750,6.0000,0.0566,-0.0566,2.6895
2.96875,6.0000,0.0400,-0.0400,2.6906
3.00000,6.0000,0.0197,-0.0197,2.6928
3.03125,6.0000,0.0080,-0.0080,2.6944
3.06250,6.0000,0.0050,-0.0050,2.6957
3.09375,6.0000,0.0100,-0.0100,2.6963
3.12500,6.0000,0.0202,-0.0202,2.6960
3.15625,6.0000,0.0315,-0.0315,2.6963
3.18750,6.0000,0.0383,-0.0383,2.6966
3.21875,6.0000,0.0330,-0.0330,2.6963
3.25000,6.0000,0.0174,-0.0174,2.6969
3.28125,6.0000,0.0035,-0.0035,2.6967
3.31250,6.0000,-0.0031,0.0031,2.6965
3.34375,6.0000,0.0011,-0.0011,2.6965
3.37500,6.0000,0.0130,-0.0130,2.6964
3.40625,6.0000,0.0261,-0.0261,2.6972
3.43750,6.0000,0.0346,-0.0346,2.6984
3.46875,6.0000,0.0326,-0.0326,2.7003
3.50000,6.0000,0.0200,-0.0200,2.7027
3.53125,6.0000,0.0013,-0.0013,2.7046
3.56250,6.0000,-0.0163,0.0163,2.7056
3.59375,6.0000,-0.0240,0.0240,2.7072
3.62500,6.0000,-0.0178,0.0178,2.7075
3.65625,6.0000,-0.0070,0.0070,2.7082
3.68750,6.0000,0.0037,-0.0037,2.7079
3.71875,6.0000,0.0082,-0.0082,2.7070
3.75000,6.0000,0.0067,-0.0067,2.7069
3.78125,6.0000,0.0007,-0.0007,2.7061
3.81250,6.0000,-0.0110,0.0110,2.7070
3.84375,6.0000,-0.0202,0.0202,2.7082
3.87500,6.0000,-0.0242,0.0242,2.7101
3.90625,6.0000,-0.0208,0.0208,2.7101
