time_s,base_tilt_deg,angle_deg,error_deg,command_deg
0.00000,0.0000,0.0000,0.0000,0.0010
0.03125,0.0000,0.0000,0.0000,0.0003
0.06250,0.0000,-0.0031,0.0031,0.0009
0.09375,0.0000,-0.0022,0.0022,0.0016
0.12500,0.0000,-0.0013,0.0013,0.0016
0.15625,0.0000,-0.0036,0.0036,0.0034
0.18750,0.0000,-0.0053,0.0053,0.0031
0.21875,0.0000,-0.0098,0.0098,0.0040
0.25000,0.0000,-0.0096,0.0096,0.0038
0.28125,0.0000,-0.0088,0.0088,0.0037
0.31250,0.0000,-0.0079,0.0079,0.0016
0.34375,0.0000,-0.0077,0.0077,0.0021
0.37500,0.0000,-0.0019,0.0019,0.0005
0.40625,0.0000,-0.0009,0.0009,-0.0007
0.43750,0.0000,-0.0003,0.0003,-0.0001
0.46875,0.0000,0.0026,-0.0026,-0.0018
0.50000,0.0000,0.0014,-0.0014,-0.0007
0.53125,0.0000,0.0037,-0.0037,-0.0012
0.56250,0.0000,0.0026,-0.0026,0.0003
0.59375,0.0000,0.0018,-0.0018,0.0008
0.62500,0.0000,-0.0020,0.0020,0.0019
0.65625,0.0000,-0.0046,0.0046,0.0036
0.68750,0.0000,-0.0061,0.0061,0.0042
0.71875,0.0000,-0.0098,0.0098,0.0063
0.75000,0.0000,-0.0123,0.0123,0.0063
0.78125,0.0000,-0.0171,0.0171,0.0073
0.81250,0.0000,-0.0171,0.0171,0.0072
0.84375,0.0000,-0.0164,0.0164,0.0071
0.87500,0.0000,-0.0156,0.0156,0.0061
0.90625,0.0000,-0.0154,0.0154,0.0068
0.93750,0.0000,-0.0128,0.0128,0.0062
0.96875,0.0000,-0.0141,0.0141,0.0055
1.00000,6.0000,5.9850,-5.9850,0.1019
1.03125,6.0000,5.9874,-5.9874,0.2226
1.06250,6.0000,5.6987,-5.6987,0.4277
1.09375,6.0000,5.1993,-5.1993,0.6817
1.12500,6.0000,4.5725,-4.5725,0.9565
1.15625,6.0000,3.9080,-3.9080,1.2346
1.18750,6.0000,3.2724,-3.2724,1.5015
1.21875,6.0000,2.6797,-2.6797,1.7467
1.25000,6.0000,2.1224,-2.1224,1.9662
1.28125,6.0000,1.6093,-1.6093,2.1561
1.31250,6.0000,1.1548,-1.1548,2.3167
1.34375,6.0000,0.7690,-0.7690,2.4477
1.37500,6.0000,0.4488,-0.4488,2.5516
1.40625,6.0000,0.1941,-0.1941,2.6304
1.43750,6.0000,0.0065,-0.0065,2.6874
1.46875,6.0000,-0.1147,0.1147,2.7259
1.50000,6.0000,-0.1825,0.1825,2.7503
1.53125,6.0000,-0.2189,0.2189,2.7623
1.56250,6.0000,-0.2453,0.2453,2.7648
1.59375,6.0000,-0.2651,0.2651,2.7618
1.62500,6.0000,-0.2721,0.2721,2.7537
1.65625,6.0000,-0.2676,0.2676,2.7432
1.68750,6.0000,-0.2498,0.2498,2.7313
1.71875,6.0000,-0.2188,0.2188,2.7176
1.75000,6.0000,-0.1765,0.1765,2.7050
1.78125,6.0000,-0.1258,0.1258,2.6918
1.81250,6.0000,-0.0829,0.0829,2.6817
1.84375,6.0000,-0.0546,0.0546,2.6707
1.87500,6.0000,-0.0471,0.0471,2.6644
1.90625,6.0000,-0.0448,0.0448,2.6583
1.93750,6.0000,-0.0465,0.0465,2.6547
1.96875,6.0000,-0.0424,0.0424,2.6525
2.00000,6.0000,-0.0301,0.0301,2.6502
2.03125,6.0000,-0.0120,0.0120,2.6491
2.06250,6.0000,0.0088,-0.0088,2.6488
2.09375,6.0000,0.0212,-0.0212,2.6472
2.12500,6.0000,0.0175,-0.0175,2.6463
2.15625,6.0000,0.0058,-0.0058,2.6454
